S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 61/1,T,DC,26,,,7.79,"=IF(H6>15,0)",140.127655,,9.93661111111111,78.17222222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17222222222223 9.93661111111111, 78.16922222222223 9.937138888888889)"
2,61/2,T,DC,26,61/1-61/2,335.3771704037181,1.96,"=IF(H7>15,0)",136.984314,"2°18'28"" L",9.937138888888889,78.16922222222223,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16922222222223 9.937138888888889, 78.16733333333333 9.93738888888889)"
3,61/3,S,DA,26,61/2-61/3,210.82130577449732,1.13,"=IF(H8>15,0)",135.424774,,9.93738888888889,78.16733333333333,GOOD,Available,110 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16733333333333 9.93738888888889, 78.16469444444445 9.937833333333334)"
4,61/4,S,DA,26,61/3-61/4,291.16189403407424,Not Taken,"=IF(H9>15,0)",135.424774,,9.937833333333334,78.16469444444445,GOOD,Available,"HT,LT",NH,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16469444444445 9.937833333333334, 78.16227777777779 9.938194444444445)"
5,61/5,S,DA,26,61/4-61/5,269.1121347485149,Not Taken,"=IF(H10>15,0)",135.424774,,9.938194444444445,78.16227777777779,GOOD,Available,,POND,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16227777777779 9.938194444444445, 78.15991666666667 9.938583333333334)"
6,61/6,S,DA,26,61/5-61/6,263.69826002325647,4.25,"=IF(H11>15,0)",132.378998,,9.938583333333334,78.15991666666667,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15991666666667 9.938583333333334, 78.15775000000001 9.938916666666668)"
7,61/7,T,DC,26,61/6-61/7,241.31492523209786,7.43,"=IF(H12>15,0)",133.705856,"11°21'20"" R",9.938916666666668,78.15775000000001,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15775000000001 9.938916666666668, 78.15552777777778 9.939722222222223)"
8,61/8,S,DA,26,61/7-61/8,258.45647346607444,9.53,"=IF(H13>15,0)",134.334763,,9.939722222222223,78.15552777777778,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15552777777778 9.939722222222223, 78.15352777777778 9.940416666666668)"
9,61/9,S,DA,26,61/8-61/9,232.3918119605051,4.79,"=IF(H14>15,0)",132.478072999999,,9.940416666666668,78.15352777777778,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15352777777778 9.940416666666668, 78.15141666666668 9.941222222222223)"
10,61/10,T,DC,26,61/9-61/10,249.6414077630913,15.09,"=IF(H15>15,0)",130.980453,"61°50'18"" L",9.941222222222223,78.15141666666668,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15141666666668 9.941222222222223, 78.15127777777778 9.94111111111111)"
11,Gantry (Industrial Estate SS),Gantry,H-POLE,12,61/10-Gantry,20.46126639673906,,,133.681839,,9.94111111111111,78.15127777777778,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1 . Shut down will be required in where earth wier are missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
