S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 76,T,DC,26,,,2.39,"=IF(H6>15,0)",143.426055999999,,9.956916666666666,78.19716666666667,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19716666666667 9.956916666666666, 78.19752777777778 9.955666666666666)"
2,76/1,T,DC,26,76LILO-76/1,143.77797484637284,1.08,"=IF(H7>15,0)",147.400665,"58°18'15"" R",9.955666666666666,78.19752777777778,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19752777777778 9.955666666666666, 78.19677777777778 9.95486111111111)"
3,76/2,T,DC,26,76/1-76/2,120.17681259009971,1.09,"=IF(H8>15,0)",148.169402999999,"91°33'33"" R",9.95486111111111,78.19677777777778,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19677777777778 9.95486111111111, 78.1966388888889 9.955)"
4,76/3,T,DC,26,76/2-76/3,21.441724821598044,1.14,"=IF(H9>15,0)",145.493621999999,"75°44'44"" L",9.955,78.1966388888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1966388888889 9.955, 78.19630555555555 9.954333333333333)"
5,76/4,T,DC,26,76/3-76/4,82.64260626458842,1.16,"=IF(H10>15,0)",141.902526999999,"83°46'36"" L",9.954333333333333,78.19630555555555,GOOD,Available,"HT,LT",Othakadai Main Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19630555555555 9.954333333333333, 78.19633333333334 9.954333333333333)"
6,Gantry (Othakadai SS),Gantry,H-POLE,12,76/4-Gantry,9,,,147.824768,,9.954333333333333,78.19633333333334,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1 . Shut down will be required in where earth wier are missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
