S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Urangampatti SS),2W,Gantry,H-POLE,12,,,,,119.433411,,9.914166667,78.22886111,GOOD,,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22886111111112 9.914166666666667, 78.22888888888889 9.914416666666668)"
2,33,,T,DC,26,Gantry-33,27.45523309,2.63,FALSE,124.803665,"94°43'30"" R",9.914416667,78.22888889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22888888888889 9.914416666666668, 78.23155555555556 9.914166666666667)"
3,34,,S,DA,26,33-34,295.5523433,1.9,FALSE,122.283607,,9.914166667,78.23155556,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23155555555556 9.914166666666667, 78.23408333333333 9.913916666666667)"
4,35,,S,DA,26,34-35,278.7020025,0.89,FALSE,121.324692,,9.913916667,78.23408333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23408333333333 9.913916666666667, 78.23663888888889 9.913694444444445)"
5,36,,T,DC,26,35-36,280.9497502,0.88,FALSE,121.989433,"30°23'55"" R",9.913694444,78.23663889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23663888888889 9.913694444444445, 78.23919444444445 9.911888888888889)"
6,37,,S,DA,26,36-37,345.1236852,0.7,FALSE,124.401108,,9.911888889,78.23919444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23919444444445 9.911888888888889, 78.24155555555555 9.910166666666667)"
7,38,,S,DA,26,37-38,322.7846412,0.98,FALSE,124.300362,,9.910166667,78.24155556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24155555555555 9.910166666666667, 78.24383333333333 9.908444444444445)"
8,39,,T,DC,26,38-39,313.246132,1.92,FALSE,120.156319,"0°39'29"" L",9.908444444,78.24383333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24383333333333 9.908444444444445, 78.24627777777778 9.906694444444446)"
9,40,,S,DA,26,39-40,330.456807,3.26,FALSE,118.538788,,9.906694444,78.24627778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24627777777778 9.906694444444446, 78.24861111111112 9.904972222222222)"
10,41,,S,DA,26,40-41,318.9002738,1.78,FALSE,116.625008,,9.904972222,78.24861111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24861111111112 9.904972222222222, 78.25094444444444 9.903277777777777)"
11,42,,S,DA,26,41-42,317.5300253,3.52,FALSE,117.527252,,9.903277778,78.25094444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25094444444444 9.903277777777777, 78.25294444444444 9.901777777777777)"
12,43,2W,T,DC,26,42-43,276.0777285,2.35,FALSE,117.027939,"5°15'44"" R",9.901777778,78.25294444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25294444444444 9.901777777777777, 78.25483333333334 9.900111111111112)"
13,44,,S,DA,26,43-44,278.1780192,3.66,FALSE,123.550949,,9.900111111,78.25483333,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25483333333334 9.900111111111112, 78.25677777777778 9.898416666666666)"
14,45,,S,DA,26,44-45,281.9469894,3.05,FALSE,125.54557,,9.898416667,78.25677778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25677777777778 9.898416666666666, 78.25875 9.896694444444444)"
15,46,,S,DA,26,45-46,288.613172,3.67,FALSE,126.031761,,9.896694444,78.25875,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25875 9.896694444444444, 78.26061111111112 9.895055555555555)"
16,47,,S,DA,26,46-47,274.8269494,1.6,FALSE,123.185013,,9.895055556,78.26061111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26061111111112 9.895055555555555, 78.26194444444444 9.892972222222221)"
17,48,,S,DA,26,47-48,272.432096,3.5,FALSE,118.069199,,9.892972222,78.26194444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26194444444444 9.892972222222221, 78.26330555555556 9.89086111111111)"
18,49,,S,DA,26,48-49,277.217489,1.6,FALSE,117.732033,,9.890861111,78.26330556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26330555555556 9.89086111111111, 78.26475 9.88861111111111)"
19,50,,T,DC,26,49-50,295.5205537,3.5,FALSE,117.732338,"2°39'12"" L",9.888611111,78.26475,GOOD,Available,HT-8NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26475 9.88861111111111, 78.26586111111111 9.887027777777778)"
20,LILO : 51 ,3W,T,DC,26,50-51,212.1030161,2.52,FALSE,124.87941,"5°53'4"" R",9.887027778,78.26586111,GOOD,Available,,,PLAIN, LILO at Nattarmangalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26586111111111 9.887027777777778, 78.26644444444445 9.885972222222222)"
21,52,,T,DC,26,51 -52,133.3805092,2.2,FALSE,120.75663,"3°13'30"" L",9.885972222,78.26644444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26644444444445 9.885972222222222, 78.26744444444445 9.88438888888889)"
22,53,,S,DA,26,52-53,206.6998043,3.11,FALSE,120.541595,,9.884388889,78.26744444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26744444444445 9.88438888888889, 78.26888888888888 9.882111111111112)"
23,54,,S,DA,26,53-54,298.8374086,3.7,FALSE,122.593666,,9.882111111,78.26888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26888888888888 9.882111111111112, 78.27033333333333 9.879861111111111)"
24,55,,S,DA,26,54-55,296.0222437,6.14,FALSE,119.251877,,9.879861111,78.27033333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27033333333333 9.879861111111111, 78.27183333333333 9.877500000000001)"
25,56,,T,DC,26,55-56,308.2909629,2.24,FALSE,119.082733,"0°12'21"" R",9.8775,78.27183333,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27183333333333 9.877500000000001, 78.2731388888889 9.875444444444446)"
26,57,,S,DA,26,56-57,269.6335162,5.42,FALSE,120.992043,,9.875444444,78.27313889,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2731388888889 9.875444444444446, 78.27463888888889 9.873083333333334)"
27,58,,S,DA,26,57-58,305.9891561,1.06,FALSE,123.319397,,9.873083333,78.27463889,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27463888888889 9.873083333333334, 78.27541666666667 9.871861111111112)"
28,LILO : 59/1  ,3W,T,DC,26,58-59/1,162.2919074,4.69,FALSE,123.750748,"2°18'41"" R",9.871861111,78.27541667,GOOD,Available,,,PLAIN,LILO at Nelmudikarrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27541666666667 9.871861111111112, 78.27605555555556 9.870750000000001)"
29,60,,S,DA,26,59/1-60,141.5829827,3.22,FALSE,120.063492,,9.87075,78.27605556,GOOD,Available,"HT,LT",Madurai - Sivagangai Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27605555555556 9.870750000000001, 78.27688888888889 9.869305555555556)"
30,61,,T,DC,26,60-61,184.4743805,1.49,FALSE,121.316391,"72°45'5"" L",9.869305556,78.27688889,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27688888888889 9.869305555555556, 78.27788888888888 9.869527777777778)"
31,62,,T,DC,26,61-62,111.6454351,5.64,FALSE,121.799911,"80°27'17"" R",9.869527778,78.27788889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27788888888888 9.869527777777778, 78.27794444444444 9.868333333333334)"
32,63,,T,DC,26,62-63,132.9347024,2.63,FALSE,121.012192,"61°56'0"" L",9.868333333,78.27794444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27794444444444 9.868333333333334, 78.27986111111112 9.86738888888889)"
33,64,,S,DA,26,63-64,235.1878804,4.58,FALSE,119.837341,,9.867388889,78.27986111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27986111111112 9.86738888888889, 78.28216666666667 9.866138888888889)"
