S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 59/1,T,DC,26,,,4.69,"=IF(H6>15,0)",123.750748,,9.871861111111112,78.27541666666667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27541666666667 9.871861111111112, 78.27419444444445 9.870805555555556)"
2,59/2,T,DC,26,59/1-59/2,177.7890913553894,12.8,"=IF(H7>15,0)",124.557937999999,"46°37'41"" L",9.870805555555556,78.27419444444445,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27419444444445 9.870805555555556, 78.27411111111111 9.868166666666667)"
3,59/3,S,DA,26,"=B7&""-""&B8",290.84595678119376,2.49,"=IF(H8>15,0)",121.970894,,9.868166666666667,78.27411111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27411111111111 9.868166666666667, 78.27402777777777 9.865555555555556)"
4,59/4,S,DA,26,"=B8&""-""&B9",289.1085931206977,1.4,"=IF(H9>15,0)",118.882896,,9.865555555555556,78.27402777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27402777777777 9.865555555555556, 78.27391666666666 9.86275)"
5,59/5,S,DA,26,"=B9&""-""&B10",312.50788719040827,3.93,"=IF(H10>15,0)",113.337715,,9.86275,78.27391666666666,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27391666666666 9.86275, 78.27380555555555 9.860055555555554)"
6,59/6,S,DA,26,"=B10&""-""&B11",296.87602861052176,5.56,"=IF(H11>15,0)",109.712067,,9.860055555555554,78.27380555555555,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27380555555555 9.860055555555554, 78.27372222222222 9.857999999999999)"
7,59/7,T,DC,26,"=B11&""-""&B12",228.0277441746386,11.3,"=IF(H12>15,0)",109.331635,"46°24'10"" R",9.857999999999999,78.27372222222222,GOOD,Available,"HT,LT",Sivagangai - Thirupuvanam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27372222222222 9.857999999999999, 78.27158333333334 9.856083333333332)"
8,59/8,S,DA,26,"=B12&""-""&B13",316.3372292966152,1.05,"=IF(H13>15,0)",110.696938,,9.856083333333332,78.27158333333334,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27158333333334 9.856083333333332, 78.27005555555556 9.85475)"
9,59/9,S,DA,26,"=B13&""-""&B14",224.22645157184564,7.6,"=IF(H14>15,0)",108.395187,,9.85475,78.27005555555556,GOOD,Available,"110 KV,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27005555555556 9.85475, 78.26811111111111 9.853055555555555)"
10,59/10,S,DA,26,"=B14&""-""&B15",283.25849504431125,5.32,"=IF(H15>15,0)",111.943603999999,,9.853055555555555,78.26811111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26811111111111 9.853055555555555, 78.26630555555556 9.851416666666667)"
11,59/11,T,DC,26,"=B15&""-""&B16",270.21231342130375,5.02,"=IF(H16>15,0)",108.566483,"27°41'47"" R",9.851416666666667,78.26630555555556,GOOD,Available,LT,Sivagangai - Thirupuvanam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26630555555556 9.851416666666667, 78.26369444444444 9.850722222222222)"
12,59/12,S,DA,26,"=B16&""-""&B17",297.25399753434885,6.26,"=IF(H17>15,0)",113.067581,,9.850722222222222,78.26369444444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26369444444444 9.850722222222222, 78.2615 9.850111111111111)"
