S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pasumalai SS),2W,H-POLE,H-POLE,12,,,,FALSE,126.836349,,9.905916667,78.08327778,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08327777777778 9.905916666666666, 78.08333333333333 9.906027777777778)"
2,1,,T,DC,26,Gantry -1 ,15.88842024,1.67,FALSE,131.384735,"6°24'60"" R",9.906027778,78.08333333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08333333333333 9.906027777777778, 78.08388888888888 9.907305555555556)"
3,01A,,T,DC,26,4 - 5,151.8402163,1.04,0,134.011093,"9°46'51"" L",9.907305556,78.08388889,GOOD,AVAILABLE,"HT, LT",Railway,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08388888888888 9.907305555555556, 78.08394444444444 9.907527777777778)"
4,2,,T,SC,22,5 - 6,25.09402645,1.38,0,137.442749,"9°53'6"" L",9.907527778,78.08394444,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08394444444444 9.907527777777778, 78.08413888888889 9.9105)"
5,3,,S,SA,22,6 - 7,332.4918863,6.18,0,142.839066,,9.9105,78.08413889,GOOD,AVAILABLE,LT,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08413888888889 9.9105, 78.08433333333333 9.913361111111112)"
6,4,,T,SC,22,7 - 8,316.4508953,13.93,FALSE,144.209137,"5°48'17"" R",9.913361111,78.08433333,GOOD,AVAILABLE,LT - 2No,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08433333333333 9.913361111111112, 78.08483333333332 9.916222222222222)"
7,5,,S,SA,22,8 - 9,321.6566652,∞,FALSE,144.589661,,9.916222222,78.08483333,GOOD,AVAILABLE,"HT, LT",Main road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08483333333332 9.916222222222222, 78.08530555555555 9.918805555555554)"
8,6,,S,SA,22,9 - 10,288.6077013,Not Taken,FALSE,144.621002,,9.918805556,78.08530556,GOOD,AVAILABLE,"HT, LT -2No",Road,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08530555555555 9.918805555555554, 78.08583333333333 9.92175)"
9,7,,S,SA,22,10 - 11,331.7632578,∞,FALSE,145.206772,,9.92175,78.08583333,GOOD,AVAILABLE,,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08583333333333 9.92175, 78.08633333333333 9.924583333333333)"
10,8,,S,SA,22,11 - 12,317.7956571,5.6,FALSE,148.635803,,9.924583333,78.08633333,GOOD,AVAILABLE,LT,Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08633333333333 9.924583333333333, 78.0868611111111 9.927444444444443)"
