S.No,Tower No.,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Thirumangalam SS),GANTRY,,H Pole,12,,,,,129.694121999999,,9.827003858478136,77.97745297275146,Good,,,,Plain,,,=12+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97745297275146 9.827003858478136, 77.97776997632762 9.827567876713331)"
2,64,B+0,9°30'52''RT,"=IF(C7=""A+0"",""S"",IF(C7=""DA+0"",""S"",IF(C7=""A+3"",""S"",IF(C7=""A+6"",""S"",IF(C7=""A+9"",""S"",IF(C7=FALSE,"" "",""T""))))))",26, Gantry-64,74,15.28,"=IF(I7>15,0)",132.233794999999,9°30'52''RT,9.827567876713331,77.97776997632762,Good,NO E/W,,,Plain,,,=V6*220,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97776997632762 9.827567876713331, 77.97910697369493 9.829225900862129)"
3,63,A+0,,"=IF(C8=""A+0"",""S"",IF(C8=""DA+0"",""S"",IF(C8=""A+3"",""S"",IF(C8=""A+6"",""S"",IF(C8=""A+9"",""S"",IF(C8=FALSE,"" "",""T""))))))",28,"=B7& "" -""&B8",238,∞,"=IF(I8>15,0)",133.141189999999,,9.829225900862129,77.97910697369493,Good,Good,"LT, 11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97910697369493 9.829225900862129, 77.98024196719695 9.830571866773495)"
4,62,B+0,4°56'1''RT,"=IF(C9=""A+0"",""S"",IF(C9=""DA+0"",""S"",IF(C9=""A+3"",""S"",IF(C9=""A+6"",""S"",IF(C9=""A+9"",""S"",IF(C9=FALSE,"" "",""T""))))))",26,"=B8& "" -""&B9",197,9.41,"=IF(I9>15,0)",133.072005999999,4°56'1''RT,9.830571866773495,77.98024196719695,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98024196719695 9.830571866773495, 77.98173998092314 9.832065857066347)"
5,61,A+0,,"=IF(C10=""A+0"",""S"",IF(C10=""DA+0"",""S"",IF(C10=""A+3"",""S"",IF(C10=""A+6"",""S"",IF(C10=""A+9"",""S"",IF(C10=FALSE,"" "",""T""))))))",28,"=B9& "" -""&B10",236,∞,"=IF(I10>15,0)",135.093810999999,,9.832065857066347,77.98173998092314,Good,Good,"3 NO'S LT, 2 NO'S 11KV",CHEKANOORANI - THIRUMANGALAM ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98173998092314 9.832065857066347, 77.98330697771202 9.833635871214593)"
6,60,A+0,,"=IF(C11=""A+0"",""S"",IF(C11=""DA+0"",""S"",IF(C11=""A+3"",""S"",IF(C11=""A+6"",""S"",IF(C11=""A+9"",""S"",IF(C11=FALSE,"" "",""T""))))))",28,"=B10& "" -""&B11",247,∞,"=IF(I11>15,0)",137.273331,,9.833635871214593,77.98330697771202,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98330697771202 9.833635871214593, 77.98488897810746 9.835179901460908)"
7,59,A+0,,"=IF(C12=""A+0"",""S"",IF(C12=""DA+0"",""S"",IF(C12=""A+3"",""S"",IF(C12=""A+6"",""S"",IF(C12=""A+9"",""S"",IF(C12=FALSE,"" "",""T""))))))",28,"=B11& "" -""&B12",246,∞,"=IF(I12>15,0)",137.369857999999,,9.835179901460908,77.98488897810746,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98488897810746 9.835179901460908, 77.98687398040508 9.837129867244073)"
8,58,B+0,2°32'14''RT,"=IF(C13=""A+0"",""S"",IF(C13=""DA+0"",""S"",IF(C13=""A+3"",""S"",IF(C13=""A+6"",""S"",IF(C13=""A+9"",""S"",IF(C13=FALSE,"" "",""T""))))))",26,"=B12& "" -""&B13",309,3.06,"=IF(I13>15,0)",140.572173999999,2°32'14''RT,9.837129867244073,77.98687398040508,Good,Good,"2 NO'S 11KV, LT 5 NO'S",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98687398040508 9.837129867244073, 77.98750103057776 9.837802934013927)"
9,57A,C+0,4°23'45''RT,"=IF(C14=""A+0"",""S"",IF(C14=""DA+0"",""S"",IF(C14=""A+3"",""S"",IF(C14=""A+6"",""S"",IF(C14=""A+9"",""S"",IF(C14=FALSE,"" "",""T""))))))",26,"=B13& "" -""&B14",104,∞,"=IF(I14>15,0)",140.610076999999,4°23'45''RT,9.837802934013927,77.98750103057776,Good,Good,"2 NO'S LT, 11KV",NH-7 ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98750103057776 9.837802934013927, 77.98801802636234 9.838278858431195)"
10,57,A+0,,"=IF(C15=""A+0"",""S"",IF(C15=""DA+0"",""S"",IF(C15=""A+3"",""S"",IF(C15=""A+6"",""S"",IF(C15=""A+9"",""S"",IF(C15=FALSE,"" "",""T""))))))",28,"=B14& "" -""&B15",80,∞,"=IF(I15>15,0)",140.516296,,9.838278858431195,77.98801802636234,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98801802636234 9.838278858431195, 77.98963095598029 9.839889860081012)"
