S.No,Tower No.,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
56,13,B+0,5°0'34''LT,"=IF(C61=""A+0"",""S"",IF(C61=""DA+0"",""S"",IF(C61=""A+3"",""S"",IF(C61=""A+6"",""S"",IF(C61=""A+9"",""S"",IF(C61=FALSE,"" "",""T""))))))",26,"=B60& "" -""&B61",255,1.81,"=IF(I61>15,0)",149.516556,5°0'34''LT,9.893589867294322,78.06252896217777,Good,Good,2 NO'S LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06252896217777 9.893589867294322, 78.06454799500217 9.894563928401373)"
57,12,A+0,,"=IF(C62=""A+0"",""S"",IF(C62=""DA+0"",""S"",IF(C62=""A+3"",""S"",IF(C62=""A+6"",""S"",IF(C62=""A+9"",""S"",IF(C62=FALSE,"" "",""T""))))))",28,"=B61& "" -""&B62",249,2.38,"=IF(I62>15,0)",147.727539,,9.894563928401373,78.06454799500217,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06454799500217 9.894563928401373, 78.06647197704527 9.895490883205587)"
58,11,A+0,,"=IF(C63=""A+0"",""S"",IF(C63=""DA+0"",""S"",IF(C63=""A+3"",""S"",IF(C63=""A+6"",""S"",IF(C63=""A+9"",""S"",IF(C63=FALSE,"" "",""T""))))))",28,"=B62& "" -""&B63",237,1.26,"=IF(I63>15,0)",146.979355,,9.895490883205587,78.06647197704527,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06647197704527 9.895490883205587, 78.06892997013645 9.896715898523537)"
59,10,A+0,,"=IF(C64=""A+0"",""S"",IF(C64=""DA+0"",""S"",IF(C64=""A+3"",""S"",IF(C64=""A+6"",""S"",IF(C64=""A+9"",""S"",IF(C64=FALSE,"" "",""T""))))))",28,"=B63& "" -""&B64",304,0.86,"=IF(I64>15,0)",134.162415,,9.896715898523537,78.06892997013645,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06892997013645 9.896715898523537, 78.07074800492411 9.897562889964018)"
60,9,B+0,3°59'56''RT,"=IF(C65=""A+0"",""S"",IF(C65=""DA+0"",""S"",IF(C65=""A+3"",""S"",IF(C65=""A+6"",""S"",IF(C65=""A+9"",""S"",IF(C65=FALSE,"" "",""T""))))))",26,"=B64& "" -""&B65",223,1.57,"=IF(I65>15,0)",137.792648,3°59'56''RT,9.897562889964018,78.07074800492411,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07074800492411 9.897562889964018, 78.07300198249334 9.898660919434517)"
61,8,A+0,,"=IF(C66=""A+0"",""S"",IF(C66=""DA+0"",""S"",IF(C66=""A+3"",""S"",IF(C66=""A+6"",""S"",IF(C66=""A+9"",""S"",IF(C66=FALSE,"" "",""T""))))))",28,"=B65& "" -""&B66",278,2.8,"=IF(I66>15,0)",140.567093,,9.898660919434517,78.07300198249334,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07300198249334 9.898660919434517, 78.07498304529686 9.899580917262343)"
62,7,A+0,,"=IF(C67=""A+0"",""S"",IF(C67=""DA+0"",""S"",IF(C67=""A+3"",""S"",IF(C67=""A+6"",""S"",IF(C67=""A+9"",""S"",IF(C67=FALSE,"" "",""T""))))))",28,"=B66& "" -""&B67",243,0.46,"=IF(I67>15,0)",144.460754,,9.899580917262343,78.07498304529686,Good,Good,"2 NO'S LT, 11KV",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07498304529686 9.899580917262343, 78.0772279704107 9.90068892119629)"
63,6,A+0,,"=IF(C68=""A+0"",""S"",IF(C68=""DA+0"",""S"",IF(C68=""A+3"",""S"",IF(C68=""A+6"",""S"",IF(C68=""A+9"",""S"",IF(C68=FALSE,"" "",""T""))))))",28,"=B67& "" -""&B68",278,0.04,"=IF(I68>15,0)",149.739273,,9.90068892119629,78.0772279704107,Good,Good,"3 NO'S LT, 11KV",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0772279704107 9.90068892119629, 78.07953601125514 9.901797930961768)"
64,5,B+0,4°11'46''RT,"=IF(C69=""A+0"",""S"",IF(C69=""DA+0"",""S"",IF(C69=""A+3"",""S"",IF(C69=""A+6"",""S"",IF(C69=""A+9"",""S"",IF(C69=FALSE,"" "",""T""))))))",26,"=B68& "" -""&B69",284,0.04,"=IF(I69>15,0)",159.041473,4°11'46''RT,9.901797930961768,78.07953601125514,Good,Good,11KV,NEAR SCHOOL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07953601125514 9.901797930961768, 78.08148002604696 9.902723879937394)"
65,4,D+0,29°13'21''RT,"=IF(C70=""A+0"",""S"",IF(C70=""DA+0"",""S"",IF(C70=""A+3"",""S"",IF(C70=""A+6"",""S"",IF(C70=""A+9"",""S"",IF(C70=FALSE,"" "",""T""))))))",26,"=B69& "" -""&B70",239,0.1,"=IF(I70>15,0)",168.637938999999,29°13'21''RT,9.902723879937394,78.08148002604696,Good,Good,,SCHOOL GROUND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08148002604696 9.902723879937394, 78.08227303790142 9.903841858230026)"
