S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Narasingampatty SS),Gantry,H-Pole,12,,,,,175.088485999999,,10.000777777777778,78.26372222222223,GOOD,NO E/W,,,SS,Lamp Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26372222222223 10.000777777777778, 78.26369444444444 10.000666666666667)"
2,154,T,SC,22,Gantry-154,10.218356761489328,4.43,"=IF(H7>15,0)",163.698013,"65°47'24""R",10.000666666666667,78.26369444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26369444444444 10.000666666666667, 78.26480555555555 9.999944444444443)"
3,153,T,SB,21,154-153,147.04666893815522,5.6,"=IF(H8>15,0)",162.776642,"18°37'48""R",9.999944444444443,78.26480555555555,GOOD,Available,5-HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26480555555555 9.999944444444443, 78.26736111111111 9.99925)"
4,152,S,SA,22,153-152,289.6229272708843,6.07,"=IF(H9>15,0)",163.870911,,9.99925,78.26736111111111,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26736111111111 9.99925, 78.26994444444445 9.998527777777777)"
5,151,T,SB,21,152-151,293.90970077511054,2.1,"=IF(H10>15,0)",161.628113,"27°52'12""R",9.998527777777777,78.26994444444445,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26994444444445 9.998527777777777, 78.27205555555555 9.998972222222221)"
6,150,S,SA,22,151-150,238.79746730745964,3.23,"=IF(H11>15,0)",163.832748,,9.998972222222221,78.27205555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27205555555555 9.998972222222221, 78.2743888888889 9.999527777777777)"
7,149,S,SA,22,150-149,261.73790408907104,5.03,"=IF(H12>15,0)",158.380599999999,,9.999527777777777,78.2743888888889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2743888888889 9.999527777777777, 78.27655555555556 10.0)"
8,148,T,SB,21,149-148,243.314500502333,6.96,"=IF(H13>15,0)",157.619903999999,"13°44'24""L",10.0,78.27655555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27655555555556 10.0, 78.27869444444444 9.999944444444443)"
9,147,S,SA,22,148-147,236.04839426838853,8.4,"=IF(H14>15,0)",159.690277,,9.999944444444443,78.27869444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27869444444444 9.999944444444443, 78.28122222222223 9.999944444444443)"
10,146,T,SB,21,147-146,276.2665591429127,2.11,"=IF(H15>15,0)",160.6987,"2°34'12""L",9.999944444444443,78.28122222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28122222222223 9.999944444444443, 78.28308333333334 9.99986111111111)"
11,145,S,SA,22,146-145,203.84047943377956,1.96,"=IF(H16>15,0)",155.988891999999,,9.99986111111111,78.28308333333334,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28308333333334 9.99986111111111, 78.28533333333333 9.999833333333333)"
12,144,S,SA,22,145-144,247.76383603382857,7.03,"=IF(H17>15,0)",152.034088,,9.999833333333333,78.28533333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28533333333333 9.999833333333333, 78.28758333333333 9.999777777777776)"
13,143,S,SA,22,144-143,248.46700225552388,6.65,"=IF(H18>15,0)",148.570632999999,,9.999777777777776,78.28758333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28758333333333 9.999777777777776, 78.28977777777777 9.999722222222221)"
14,142,T,SC,22,143-142,239.79149087574908,1.16,"=IF(H19>15,0)",149.555725,"33°4'48""R",9.999722222222221,78.28977777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28977777777777 9.999722222222221, 78.29188888888889 10.001027777777777)"
15,141,S,SA,22,142-141,270.5214162048221,1.69,"=IF(H20>15,0)",152.512863,,10.001027777777777,78.29188888888889,GOOD,Available,"HT,LT",Andipatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29188888888889 10.001027777777777, 78.294 10.002333333333333)"
16,140,S,SA,22,141-140,275.1652638346129,6.57,"=IF(H21>15,0)",148.709396,,10.002333333333333,78.294,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.294 10.002333333333333, 78.29616666666666 10.003666666666666)"
17,139,S,SA,22,140-139,278.9734021986604,5.31,"=IF(H22>15,0)",145.089004999999,,10.003666666666666,78.29616666666666,GOOD,Available,"LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29616666666666 10.003666666666666, 78.29844444444444 10.005083333333333)"
18,138,S,SA,22,139-138,294.49360234640324,3.33,"=IF(H23>15,0)",143.933746,,10.005083333333333,78.29844444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29844444444444 10.005083333333333, 78.3003611111111 10.006277777777777)"
19,137,S,SA,22,138-137,249.96951222025396,4.11,"=IF(H24>15,0)",145.35701,,10.006277777777777,78.3003611111111,GOOD,Available,33KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3003611111111 10.006277777777777, 78.30238888888888 10.007527777777778)"
20,136,S,SA,22,137-136,262.01773409088156,6.09,"=IF(H25>15,0)",143.788222999999,,10.007527777777778,78.30238888888888,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30238888888888 10.007527777777778, 78.30463888888889 10.008916666666666)"
21,135,S,SA,22,136-135,291.6313925160073,3.2,"=IF(H26>15,0)",143.545761,,10.008916666666666,78.30463888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30463888888889 10.008916666666666, 78.3068611111111 10.010305555555556)"
22,134,T,SB,21,135-134,285.93919481663363,4.21,"=IF(H27>15,0)",145.329986999999,"21°39'0""L",10.010305555555556,78.3068611111111,GOOD,Available,,Metal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3068611111111 10.010305555555556, 78.30916666666667 10.010722222222222)"
23,133,S,SA,22,134-133,258.8071504294623,1.16,"=IF(H28>15,0)",146.077515,,10.010722222222222,78.30916666666667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30916666666667 10.010722222222222, 78.31205555555556 10.011277777777778)"
24,132,T,SC,22,133-132,320.89777956144417,1.77,"=IF(H29>15,0)",147.259445,"39°38'24""L",10.011277777777778,78.31205555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31205555555556 10.011277777777778, 78.31441666666666 10.009972222222222)"
25,131,S,SA+3,25,132-131,297.76024479412416,4.03,"=IF(H30>15,0)",145.491013,,10.009972222222222,78.31441666666666,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31441666666666 10.009972222222222, 78.31688888888888 10.008638888888889)"
26,130,S,SA,22,131-130,307.74750118901164,7.83,"=IF(H31>15,0)",141.587066999999,,10.008638888888889,78.31688888888888,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31688888888888 10.008638888888889, 78.3193611111111 10.00725)"
27,129,T,SC,22,130-129,311.8135099898025,8.14,"=IF(H32>15,0)",139.078033,"32°6'36""R",10.00725,78.3193611111111,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3193611111111 10.00725, 78.32177777777777 10.007333333333333)"
28,128,S,SA,22,129-128,265.2724534666268,1.55,"=IF(H33>15,0)",141.294205,,10.007333333333333,78.32177777777777,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32177777777777 10.007333333333333, 78.32430555555555 10.007444444444445)"
29,127,S,SA,22,128-127,279.7614460888811,2.36,"=IF(H34>15,0)",146.756271,,10.007444444444445,78.32430555555555,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32430555555555 10.007444444444445, 78.32694444444444 10.007527777777778)"
30,126,S,SA,22,127-126,290.0028320740125,8,"=IF(H35>15,0)",145.230026,,10.007527777777778,78.32694444444444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32694444444444 10.007527777777778, 78.32952777777777 10.00761111111111)"
31,125,T,SC,22,126-125,283.2925666432954,2.5,"=IF(H36>15,0)",148.829513999999,"58°15'0""R",10.00761111111111,78.32952777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32952777777777 10.00761111111111, 78.33033333333333 10.008972222222223)"
