S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 181A,3W,T,DC,26,,,,,311.860352,,9.968861111,77.43947222,GOOD,Available,,,Plain,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43947222222222 9.968861111111112, 77.43725 9.969833333333334)"
2,1,,T,SC,22,LILO-1,265.1601717,1.97,FALSE,314.284912,"42°55'12""R",9.969833333,77.43725,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43725 9.969833333333334, 77.43475000000001 9.969)"
3,1A,,S,SA,21,1-1A,291.0140661,0.35,FALSE,314.973755,,9.969,77.43475,GOOD,Available,22 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43475000000001 9.969, 77.43244444444444 9.968166666666667)"
4,1B,,S,SA,21,1A-1B,268.8932628,0.59,FALSE,314.874847,,9.968166667,77.43244444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43244444444444 9.968166666666667, 77.43036111111111 9.967444444444444)"
5,1C,,S,SA,21,1B-1C,243.4303606,0.38,FALSE,317.652618,,9.967444444,77.43036111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43036111111111 9.967444444444444, 77.42802777777779 9.966638888888887)"
6,1D,,T,SB,21,1C-1D,271.0810878,0.67,FALSE,317.045502,"8°52'12""R",9.966638889,77.42802778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42802777777779 9.966638888888887, 77.42594444444445 9.965527777777776)"
7,1E,,S,SA,21,1D-1E,257.0103125,1.28,FALSE,317.671478,,9.965527778,77.42594444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42594444444445 9.965527777777776, 77.42397222222223 9.964472222222222)"
8,2,,T,SB,21,1.00E-02,248.242433,2.45,FALSE,316.383575,"18°11'24""R",9.964472222,77.42397222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42397222222223 9.964472222222222, 77.42225 9.962666666666665)"
9,2A,,S,SA,21,2-2A,274.8433445,3.01,FALSE,318.71759,,9.962666667,77.42225,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42225 9.962666666666665, 77.42055555555557 9.960888888888888)"
10,2B,,S,SA,21,2A-2B,269.4695942,2.05,FALSE,320.760681,,9.960888889,77.42055556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42055555555557 9.960888888888888, 77.41872222222223 9.959)"
11,3,,S,SA,21,2B-3,291.4701323,2.04,FALSE,320.81427,,9.959,77.41872222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41872222222223 9.959, 77.41708333333334 9.957277777777778)"
12,4,,S,SA,21,03-Apr,261.2980003,2.18,FALSE,322.872009,,9.957277778,77.41708333,GOOD,Available,22 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41708333333334 9.957277777777778, 77.41536111111111 9.955444444444444)"
13,5,,T,SB,21,04-May,276.1990792,3.02,FALSE,322.721802,"4°7'48""R",9.955444444,77.41536111,GOOD,Available,LT,Uppukottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41536111111111 9.955444444444444, 77.41383333333334 9.953583333333333)"
