S. No ,Tower No,Joint Box,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly / Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Karaikudi Gantry,2W,T,GANTRY,26,,,,,107,,10.07916824,78.73454961,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73454960628884 10.079168241419875, 78.73468500682331 10.079517947801602)"
2,1,2W,T,D+0,26,Karaikudi Gantry-1,42,0.15,0,117.840202,,10.07951795,78.73468501,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73468500682331 10.079517947801602, 78.7339599722004 10.080149943272017)"
3,1A,,T,D+0,26,1-1A,108,0.14,FALSE,116.292976,84°38'1''RT,10.08014994,78.73395997,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7339599722004 10.080149943272017, 78.73255499759371 10.078837923927816)"
4,2,,T,B+0,26,1A-2,214,0.63,FALSE,114.376266,9°42'32''RT,10.07883792,78.732555,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73255499759371 10.078837923927816, 78.73200497710873 10.078475909513237)"
5,3H,,T,H POLE,12,2-3H,75,NIL,FALSE,111.88501,,10.07847591,78.73200498,GOOD,NO E/W, KAVANUR 3 & 4 230KV ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73200497710873 10.078475909513237, 78.73152000019223 10.078203916740412)"
6,4H,,T,H POLE,12,3H-4H,64,NIL,FALSE,111.173248,,10.07820392,78.73152,GOOD,NO E/W, ENTI - PCCL 230KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73152000019223 10.078203916740412, 78.7302369822764 10.077548954786591)"
7,5,2W,T,DB+0,26,4H-5,161,1,FALSE,111.744453,3°53'8''RT,10.07754895,78.73023698,GOOD,GOOD,KAVANUR 2 230KV & VALUTHUR 230KV,,Plain,Common Tower for Karakudi - K. Thirupathur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7302369822764 10.077548954786591, 78.72770497697164 10.076032919881627)"
8,6,,T,DB+0,26,05-Jun,327,0.01,FALSE,111.752968,1°11'54''RT,10.07603292,78.72770498,GOOD,GOOD,,,Plain,Common Tower for Karakudi - K. Thirupathur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72770497697164 10.076032919881627, 78.72531898441981 10.074535911901522)"
9,7,,T,DB+0,26,06-Jul,312,0.03,FALSE,113.921425,2°2'47''RT,10.07453591,78.72531898,GOOD,GOOD,"LT, 11KV",Ramanathapuram - Melur NH 536,Plain,Common Tower for Karakudi - K. Thirupathur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72531898441981 10.074535911901522, 78.72261397663387 10.072969920848118)"
10,8,2W,T,DB+0,26,07-Aug,346,0.04,FALSE,116.664391,3°11'10''RT,10.07296992,78.72261398,GOOD,GOOD,LT,Village Road,Plain,Common Tower for Karakudi - K. Thirupathur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72261397663387 10.072969920848118, 78.72033602681378 10.071476936184522)"
11,9,,S,A+0,28,08-Sep,302,0.19,FALSE,114.803696,,10.07147694,78.72033603,GOOD,GOOD,"4- LT, 22KV LINES",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72033602681378 10.071476936184522, 78.71789395932991 10.069973893232074)"
12,10,,S,A+0,28,09-Oct,318,0.2,FALSE,110.752365,,10.06997389,78.71789396,GOOD,GOOD,2 LT LINES,Garden Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71789395932991 10.069973893232074, 78.71556898703315 10.068538911335935)"
13,11,3W,T,D+0,26,10-Nov,303,5.59,FALSE,107.23217,29°42'27''RT,10.06853891,78.71556899,GOOD,GOOD,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71556898703315 10.068538911335935, 78.71441396077851 10.066419966187317)"
14,12,,T,D+0,26,11-Dec,269,3.4,FALSE,106.589027,26°5'16''RT,10.06641997,78.71441396,GOOD,GOOD,"LT, 33KV ", Thiruppathur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71441396077851 10.066419966187317, 78.71231303675312 10.064932932680168)"
15,13,,S,A+0,28,Dec-13,286,7.27,FALSE,103.897049,,10.06493293,78.71231304,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71231303675312 10.064932932680168, 78.71018998450333 10.063445899173614)"
16,14,,S,A+0,28,13-14,288,0.59,FALSE,103.430458,,10.0634459,78.71018998,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71018998450333 10.063445899173614, 78.70804103217276 10.061950902856243)"
17,15,,S,A+0,28,14-15,290,3.21,FALSE,102.047913,,10.0619509,78.70804103,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70804103217276 10.061950902856243, 78.70575897522028 10.0603549046027)"
18,16,,S,A+0,28,15-16,309,1.76,FALSE,98.503601,,10.0603549,78.70575898,GOOD,GOOD,400 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70575897522028 10.0603549046027, 78.70357297487782 10.058826967405036)"
19,17,,S,A+0,28,16-17,296,2.23,FALSE,95.946609,,10.05882697,78.70357297,GOOD,GOOD,400 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70357297487782 10.058826967405036, 78.7013189973009 10.057256953051366)"
20,18,,S,A+0,28,17-18,305,3.62,FALSE,95.25988,,10.05725695,78.701319,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7013189973009 10.057256953051366, 78.69913802610037 10.055722897064479)"
21,19,,S,A+0,28,18-19,296,0.09,FALSE,95.69957,,10.0557229,78.69913803,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69913802610037 10.055722897064479, 78.69695495942415 10.054175932946487)"
22,20,,S,A+0,28,19-20,297,0.02,FALSE,96.201241,,10.05417593,78.69695496,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69695495942415 10.054175932946487, 78.69478496851681 10.05267490165803)"
23,21,,S,A+0,28,20-21,293,0.26,FALSE,96.005951,,10.0526749,78.69478497,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69478496851681 10.05267490165803, 78.69264900813633 10.051166913390723)"
24,22,,S,A+0,28,21-22,290,0.04,FALSE,92.34169,,10.05116691,78.69264901,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69264900813633 10.051166913390723, 78.69043601806592 10.049643921513686)"
25,23,,S,A+0,28,22-23,298,0.02,FALSE,92.019127,,10.04964392,78.69043602,GOOD,GOOD,"22KV, 11KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69043601806592 10.049643921513686, 78.68833098690811 10.048135933246808)"
26,24,,S,A+0,28,23-24,287,0.04,FALSE,89.240356,,10.04813593,78.68833099,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68833098690811 10.048135933246808, 78.68624104317597 10.046681924437129)"
27,25,,S,A+0,28,24-25,283,0.36,FALSE,85.600098,,10.04668192,78.68624104,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68624104317597 10.046681924437129, 78.68410097566297 10.045169912855325)"
28,26,2W,T,D+0,26,25-26,291,1.34,FALSE,84.321281,31°9'44''RT,10.04516991,78.68410098,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68410097566297 10.045169912855325, 78.68289901075087 10.042410925580892)"
29,27,,S,A+0,28,26-27,335,0.18,0,84.334908,,10.04241093,78.68289901,GOOD,GOOD,"LT, 220KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68289901075087 10.042410925580892, 78.68181103972177 10.039828964104304)"
30,28,,S,A+0,28,27-28,312,0.67,FALSE,82.108536,,10.03982896,78.68181104,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68181103972177 10.039828964104304, 78.68069096600344 10.037272902707167)"
31,29,,S,A+0,28,28-29,311,2.38,FALSE,81.464417,,10.0372729,78.68069097,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68069096600344 10.037272902707167, 78.6796609977441 10.034859920399049)"
