S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry,2W,T,Gantry,12,,,,,-10.23498,,9.861009938,78.48551701,GOOD,NO E/W,,,PLAIN,SIVAGANGAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48551701007194 9.861009937848301, 78.48537896012715 9.861097947824538)"
2,1,,T,DC+0,28,Gantry-1,18.01095501,1.26,FALSE,3.96896,"44°45'0"" R",9.861097948,78.48537896,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48537896012715 9.861097947824538, 78.48408001659669 9.860824949180547)"
3,2,,S,DA+0,26,01-Feb,145.7189722,0.72,FALSE,30.378735,,9.860824949,78.48408002,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48408001659669 9.860824949180547, 78.48272198064909 9.860486906964669)"
4,3,,S,DA+0,26,02-Mar,153.6614917,2.51,FALSE,44.773201,,9.860486907,78.48272198,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48272198064909 9.860486906964669, 78.48099203965889 9.860059932740233)"
5,4,,T,DC+0,28,03-Apr,195.6451608,1.51,FALSE,53.063927,"54°11'60"" R",9.860059933,78.48099204,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48099203965889 9.860059932740233, 78.48047102055938 9.858771885664883)"
6,5,,T,DC+0,28,04-May,153.5852718,2.67,FALSE,57.830223,"44°7'48"" R",9.858771886,78.48047102,GOOD,AVAILABLE,"11KV, 33KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48047102055938 9.858771885664883, 78.48076396807438 9.858061938485262)"
7,6,,T,DC+0,28,05-Jun,84.89119178,0.51,FALSE,64.975845,"45°36'36"" L",9.858061938,78.48076397,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48076396807438 9.858061938485262, 78.47953601926376 9.855283924279293)"
8,7,,S,DA+0,26,06-Jul,335.6745557,0.96,FALSE,75.03611,,9.855283924,78.47953602,GOOD,AVAILABLE,"11KV, 33KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47953601926376 9.855283924279293, 78.47845902852866 9.8528549325263)"
9,8,,T,DC+0,28,07-Aug,293.6482647,2.07,FALSE,79.069855,"0°33'36"" L",9.852854933,78.47845903,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47845902852866 9.8528549325263, 78.47738798894493 9.850451924673672)"
10,9,,S,DA+0,26,08-Sep,290.7541275,1.5,FALSE,85.520042,,9.850451925,78.47738799,GOOD,AVAILABLE,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47738798894493 9.850451924673672, 78.4763880278998 9.848176908483504)"
