S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Periyar SS),2W,Gantry,H-POLE,12,,,,,496.303345,,9.627388889,77.19161111,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19161111111111 9.62738888888889, 77.19194444444445 9.626916666666666)"
2,1,,T,DC,26,Gantry - 1,62.09143084,1.23,FALSE,516.444702,"31°2'40"" L",9.626916667,77.19194444,GOOD,NO E/W,,Power plant Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19194444444445 9.626916666666666, 77.19286111111111 9.6265)"
3,2,,T,DC,26,01-Feb,112.0935385,1.42,FALSE,528.848267,"3°31'29"" R",9.6265,77.19286111,GOOD,Available,,Power Plant Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19286111111111 9.6265, 77.19530555555556 9.625222222222222)"
4,3,,T,DC,26,02-Mar,302.2518258,2.18,FALSE,552.832336,"17°11'13"" L",9.625222222,77.19530556,GOOD,Available,22 KV,Power Plant Road ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19530555555556 9.625222222222222, 77.19772222222223 9.624777777777778)"
5,4,,T,DC,26,03-Apr,270.9727749,0.58,FALSE,556.669861,"34°57'8"" L",9.624777778,77.19772222,GOOD,Available,LT,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19772222222223 9.624777777777778, 77.20030555555556 9.625916666666667)"
6,5,,S,DA,26,04-May,309.8394828,1.38,FALSE,554.251953,,9.625916667,77.20030556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20030555555556 9.625916666666667, 77.20297222222223 9.627083333333333)"
7,6,,S,DA,26,05-Jun,319.3861013,0.28,FALSE,544.2948,,9.627083333,77.20297222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20297222222223 9.627083333333333, 77.20538888888889 9.628166666666667)"
8,7,,S,DA,26,06-Jul,290.354486,1.82,FALSE,535.52948,,9.628166667,77.20538889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20538888888889 9.628166666666667, 77.20752777777778 9.629111111111111)"
9,8,,S,DA,26,07-Aug,257.2753784,0.96,FALSE,525.27832,,9.629111111,77.20752778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20752777777778 9.629111111111111, 77.20986111111111 9.63013888888889)"
10,9,,S,DA,26,08-Sep,280.0307016,1.12,FALSE,523.658997,,9.630138889,77.20986111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20986111111111 9.63013888888889, 77.21130555555555 9.630777777777778)"
11,10,,T,DC,26,09-Oct,175.6001542,2.14,FALSE,519.156677,"13°34'50"" R",9.630777778,77.21130556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21130555555555 9.630777777777778, 77.21425 9.631305555555556)"
12,11,,S,DA,26,10-Nov,326.826842,0.82,FALSE,510.023285,,9.631305556,77.21425,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21425 9.631305555555556, 77.21711111111111 9.631777777777778)"
13,12,,S,DA,26,11-Dec,318.3800268,3.14,FALSE,509.843933,,9.631777778,77.21711111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21711111111111 9.631777777777778, 77.21986111111111 9.63225)"
14,13,,S,DA,26,Dec-13,308.3343308,5.47,FALSE,497.35434,,9.63225,77.21986111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21986111111111 9.63225, 77.22297222222223 9.632805555555557)"
15,14,,S,DA,26,13-14,347.4490221,3.14,FALSE,487.050171,,9.632805556,77.22297222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22297222222223 9.632805555555557, 77.22580555555555 9.633305555555555)"
16,15,2W,S,DA,26,14-15,315.4612815,2.12,FALSE,483.596741,,9.633305556,77.22580556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22580555555555 9.633305555555555, 77.22897222222223 9.633833333333333)"
17,16,,S,DA,26,15-16,353.0127293,3.62,FALSE,476.067566,,9.633833333,77.22897222,GOOD,Available,"LT,22 KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22897222222223 9.633833333333333, 77.23186111111112 9.63436111111111)"
18,17,,S,DA,26,16-17,321.3347631,1.97,FALSE,473.234222,,9.634361111,77.23186111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23186111111112 9.63436111111111, 77.23408333333333 9.634722222222221)"
19,18,,S,DA,26,17-18,245.4517744,2.35,FALSE,470.954407,,9.634722222,77.23408333,GOOD,Available,,Near Forest,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23408333333333 9.634722222222221, 77.23688888888888 9.635222222222222)"
20,19,,S,DA,26,18-19,314.2340154,3.65,FALSE,468.034607,,9.635222222,77.23688889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23688888888888 9.635222222222222, 77.23961111111112 9.635694444444445)"
21,20,,S,DA,26,19-20,305.4300009,4.58,FALSE,463.77356,,9.635694444,77.23961111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23961111111112 9.635694444444445, 77.24255555555555 9.636194444444444)"
22,21,,S,DA,26,20-21,327.602959,3.85,FALSE,461.42923,,9.636194444,77.24255556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24255555555555 9.636194444444444, 77.2453888888889 9.636694444444444)"
23,22,,S,DA,26,21-22,315.7785127,0.95,FALSE,453.111023,,9.636694444,77.24538889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2453888888889 9.636694444444444, 77.24813888888889 9.637166666666666)"
24,23,,S,DA,26,22-23,305.410807,2.05,FALSE,449.587677,,9.637166667,77.24813889,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24813888888889 9.637166666666666, 77.25113888888889 9.637694444444444)"
25,24,,T,DC,26,23-24,335.0446513,1.75,FALSE,447.106323,"0°9'56"" R",9.637694444,77.25113889,GOOD,Available,"LT,22 KV",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25113888888889 9.637694444444444, 77.25394444444444 9.638166666666667)"
26,25,,S,DA,26,24-25,310.9354076,1.07,FALSE,453.06015,,9.638166667,77.25394444,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25394444444444 9.638166666666667, 77.25691666666667 9.638666666666666)"
27,26,,S,DA,26,25-26,332.5705273,1.37,FALSE,454.62915,,9.638666667,77.25691667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25691666666667 9.638666666666666, 77.25925 9.639083333333334)"
28,27,,S,DA,26,26-27,261.1131776,2.55,FALSE,447.846008,,9.639083333,77.25925,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25925 9.639083333333334, 77.26241666666667 9.639722222222222)"
29,LILO :27/1 ,3W,T,DC,26,27-Jan,352.2989664,2.06,FALSE,436.341003,"24°50'36"" R",9.639722222,77.26241667,GOOD,Available,,,PLAIN,LILO to KG patty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26241666666667 9.639722222222222, 77.26511111111111 9.640166666666666)"
30,29,,S,DA,26,LILO :1 -29,302.4573796,0.91,FALSE,446,,9.640166667,77.26511111,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26511111111111 9.640166666666666, 77.26788888888889 9.640583333333334)"
31,30,,S,DA,26,29-30,306.7753311,1.76,FALSE,446,,9.640583333,77.26788889,GOOD,Available,,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26788888888889 9.640583333333334, 77.27027777777778 9.640972222222222)"
32,31,,S,DA,26,30-31,266.6529571,1.21,FALSE,453,,9.640972222,77.27027778,GOOD,Available,,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27027777777778 9.640972222222222, 77.27316666666667 9.641472222222221)"
33,32,,S,DA,26,31-32,322.2648025,3.32,FALSE,457,,9.641472222,77.27316667,GOOD,Available,,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27316666666667 9.641472222222221, 77.27605555555556 9.642)"
34,33,,S,DA,26,32-33,322.2633598,0.68,FALSE,461,,9.642,77.27605556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27605555555556 9.642, 77.27891666666666 9.642472222222223)"
35,34,,S,DA,26,33-34,318.1520397,1.89,FALSE,473,,9.642472222,77.27891667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27891666666666 9.642472222222223, 77.28019444444445 9.642666666666667)"
36,LILO : 34/ 01,3W,T,DC,26,34-1,140.7306244,1.27,FALSE,479,"88°45'27"" R",9.642666667,77.28019444,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28019444444445 9.642666666666667, 77.28044444444444 9.641277777777777)"
37,34/2,,T,DC,26,01-Feb,157.5124731,0.7,FALSE,472,"35°0'10"" R",9.641277778,77.28044444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28044444444444 9.641277777777777, 77.27922222222222 9.638722222222222)"
38,34/3,,S,DA,26,02-Mar,312.755895,1.08,FALSE,464,,9.638722222,77.27922222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27922222222222 9.638722222222222, 77.27794444444444 9.636194444444444)"
39,34/4,,S,DA,26,03-Apr,310.8270402,2.06,FALSE,462,,9.636194444,77.27794444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27794444444444 9.636194444444444, 77.27683333333333 9.633833333333333)"
40,34/5,,S,DA,26,04-May,290.3424178,1.74,FALSE,462,,9.633833333,77.27683333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27683333333333 9.633833333333333, 77.27591666666666 9.631916666666667)"
41,34/6,,S,DA,26,05-Jun,234.0405095,2.66,FALSE,459,,9.631916667,77.27591667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27591666666666 9.631916666666667, 77.27525 9.630555555555556)"
42,34/7,,T,DC,26,06-Jul,166.3895644,3.11,FALSE,464,"5°25'6"" L",9.630555556,77.27525,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27525 9.630555555555556, 77.27447222222222 9.6285)"
43,34/8,,S,DA,26,07-Aug,242.9767762,2.58,FALSE,456,,9.6285,77.27447222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27447222222222 9.6285, 77.274 9.627305555555557)"
44,34/9,,T,DC,26,08-Sep,144.105895,3.54,FALSE,457,"27°11'18"" L",9.627305556,77.274,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.274 9.627305555555557, 77.27422222222222 9.624722222222223)"
45,34/10,,T,DC,26,09-Oct,286.3665261,4.85,FALSE,472,"28°9'8"" R",9.624722222,77.27422222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27422222222222 9.624722222222223, 77.27383333333333 9.623750000000001)"
46,34/11,,T,DC,26,10-Nov,114.7714212,3.75,FALSE,464,"24°50'36"" R",9.62375,77.27383333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27383333333333 9.623750000000001, 77.272 9.622111111111112)"
47,34/12,,T,DC,26,11-Dec,271.7581535,2.76,FALSE,459,"52°18'42"" L",9.622111111,77.272,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.272 9.622111111111112, 77.27211111111112 9.62052777777778)"
48,34/13,,T,DC,26,Dec-13,174.6457388,3.12,FALSE,458,"65°24'56"" L",9.620527778,77.27211111,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27211111111112 9.62052777777778, 77.2725 9.62038888888889)"
49,Gantry (Suruliyar SS),2W,T,H-POLE,12,13-Gantry,44.60486327,,FALSE,453,,9.620388889,77.2725,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-9915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
