S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,3W,T,DC,26,,,1.56,FALSE,71.670547,,10.01152778,78.79608333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79608333333333 10.011527777777777, 78.79827777777777 10.012166666666667)"
2,2,,S,DA,26, 01- 02,249.6675581,2.54,FALSE,69.87722,,10.01216667,78.79827778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79827777777777 10.012166666666667, 78.8005 10.012805555555556)"
3,3,,S,DA,26, 02- 03,255.8334242,1.28,FALSE,68.022522,,10.01280556,78.8005,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8005 10.012805555555556, 78.80286111111111 10.0135)"
4,4,,S,DA,26, 03- 04,270.1095459,1.68,FALSE,66.583107,,10.0135,78.80286111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80286111111111 10.0135, 78.80544444444445 10.014277777777778)"
5,5,,S,DA,26, 04- 05,296.8851371,0.98,FALSE,67.579628,,10.01427778,78.80544444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80544444444445 10.014277777777778, 78.8081111111111 10.015027777777778)"
6,6,,S,DA+3,29, 05- 06,310,2.84,FALSE,67.579628,,10.01502778,78.80811111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8081111111111 10.015027777777778, 78.81094444444444 10.015833333333333)"
7,7,,T,DB+3,28, 06- 07,322.2716187,3.56,FALSE,66.964615,"0°4'12""R",10.01583333,78.81094444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81094444444444 10.015833333333333, 78.81372222222222 10.016638888888888)"
8,8,,S,DA,26, 07- 08,317.6842193,2.98,FALSE,67.736298,,10.01663889,78.81372222,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81372222222222 10.016638888888888, 78.81597222222221 10.017277777777778)"
9,9,,S,DA+3,29, 08- 09,263,1.54,FALSE,66.354446,,10.01727778,78.81597222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81597222222221 10.017277777777778, 78.81838888888889 10.017972222222223)"
10,10,,S,DA,26, 09- 10,274.4153702,1.98,FALSE,66.791977,,10.01797222,78.81838889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81838888888889 10.017972222222223, 78.82077777777778 10.018666666666668)"
11,11,2W,T,DB,25, 10- 11,273.2378303,1.48,FALSE,66.043785,"12°23'60""R",10.01866667,78.82077778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82077777777778 10.018666666666668, 78.82313888888889 10.019944444444445)"
12,12,,S,DA,26, 11- 12,294.7073208,2.54,FALSE,67.950424,,10.01994444,78.82313889,GOOD,NO E/W,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82313888888889 10.019944444444445, 78.82544444444444 10.021111111111113)"
13,13,,S,DA,26, 12- 13,283.1644691,1.28,FALSE,66.948898,,10.02111111,78.82544444,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82544444444444 10.021111111111113, 78.82769444444445 10.022361111111111)"
14,14,,S,DA,26, 13- 14,283.2330956,1.68,FALSE,66.954887,,10.02236111,78.82769444,GOOD,NO E/W,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82769444444445 10.022361111111111, 78.83011111111111 10.023583333333335)"
15,15,,S,DA,26, 14-15,297.5024903,0.98,FALSE,64.086037,,10.02358333,78.83011111,GOOD,NO E/W,LT,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83011111111111 10.023583333333335, 78.83227777777778 10.024777777777778)"
16,16,,S,DA,26,15-16,272.7090376,2.84,FALSE,63.209885,,10.02477778,78.83227778,GOOD,NO E/W,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83227777777778 10.024777777777778, 78.83449999999999 10.025916666666667)"
17,17,,T,DC,26,16-17,273.6761214,3.56,FALSE,62.53751,"49°10'12""R",10.02591667,78.8345,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83449999999999 10.025916666666667, 78.83505555555556 10.028194444444445)"
18,18,,S,DA,26,17-18,261.0938057,2.98,FALSE,62.768303,,10.02819444,78.83505556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83505555555556 10.028194444444445, 78.83555555555554 10.030444444444445)"
19,19,,S,DA,26,18-19,253.2347141,1.54,FALSE,63.762707,,10.03044444,78.83555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83555555555554 10.030444444444445, 78.83611111111111 10.032805555555557)"
20,20,,S,DA,26,19-20,267.7282722,1.98,FALSE,62.522453,,10.03280556,78.83611111,GOOD,Available,LT,Mottiynvayal  Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83611111111111 10.032805555555557, 78.83663888888888 10.03511111111111)"
21,21,,S,DA,26,20-21,262.5990358,1.48,FALSE,60.726028,,10.03511111,78.83663889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83663888888888 10.03511111111111, 78.83719444444444 10.03738888888889)"
22,22,2W,T,DB,25,21-22,259.6626521,2.46,FALSE,60.745789,"13°19'12""L",10.03738889,78.83719444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83719444444444 10.03738888888889, 78.83844444444443 10.039916666666667)"
23,23,,S,DA,26,22-23,312.6519922,4.11,FALSE,61.839699,,10.03991667,78.83844444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83844444444443 10.039916666666667, 78.83952777777777 10.042027777777777)"
24,24,,S,DA,26,23-24,259.8969475,6.03,FALSE,59.271187,,10.04202778,78.83952778,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83952777777777 10.042027777777777, 78.84066666666666 10.04425)"
25,25,,T,DB+3,28,24-25,276.492087,4.31,FALSE,86.239944,"23°36'0""R",10.04425,78.84066667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84066666666666 10.04425, 78.84083333333332 10.047138888888888)"
26,26,,T,DB,25,25-26,319.4565695,6.35,FALSE,75.482498,"23°4'12""L",10.04713889,78.84083333,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84083333333332 10.047138888888888, 78.84194444444444 10.049416666666666)"
27,27,,S,DA,26,26- 27,280.1050869,2.01,FALSE,64.241806,,10.04941667,78.84194444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84194444444444 10.049416666666666, 78.84308333333333 10.051666666666668)"
28,28,,S,DA,26, 27- 28,277.7816581,1.47,FALSE,64.217278,,10.05166667,78.84308333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84308333333333 10.051666666666668, 78.84416666666667 10.053916666666668)"
29,29,,S,DA,26, 28- 29,276.8915717,0.76,FALSE,64.192757,,10.05391667,78.84416667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84416666666667 10.053916666666668, 78.84530555555556 10.056194444444445)"
