S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Valinokkam SS),2W,Gantry,H-POLE,12,,,,,8.086348,,9.182416667,78.63227778,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63227777777777 9.182416666666667, 78.63227777777777 9.182611111111111)"
2,1,,T,SB,21,Gantry-1,23.26818574,2.32,FALSE,7.644283,"5°31'48""L",9.182611111,78.63227778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63227777777777 9.182611111111111, 78.63258333333333 9.18463888888889)"
3,2,,T,SB,21,01-Feb,225.7104008,4.15,FALSE,9.131112,"1°8'24""L",9.184638889,78.63258333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63258333333333 9.18463888888889, 78.63302777777777 9.18725)"
4,3,,S,SA,22,02-Mar,291.6286722,2.05,FALSE,10.262918,,9.18725,78.63302778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63302777777777 9.18725, 78.63350000000001 9.189777777777778)"
5,4,,S,SA+3,25,03-Apr,285.7422223,0.91,FALSE,8.635757,,9.189777778,78.6335,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63350000000001 9.189777777777778, 78.63386111111112 9.19186111111111)"
6,5,2W,T,SC,22,04-May,233.8051245,5.01,FALSE,11.521116,"48°38'24""L",9.191861111,78.63386111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63386111111112 9.19186111111111, 78.63547222222223 9.192861111111112)"
7,6,,S,SA,22,05-Jun,210.7182297,2.17,FALSE,11.184017,,9.192861111,78.63547222,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63547222222223 9.192861111111112, 78.63722222222223 9.193916666666667)"
8,7,,S,SA,22,06-Jul,223.9954665,1.92,FALSE,10.228157,,9.193916667,78.63722222,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63722222222223 9.193916666666667, 78.6388888888889 9.194916666666668)"
9,8,,S,SA,22,07-Aug,215.3366399,0.78,FALSE,10.758455,,9.194916667,78.63888889,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6388888888889 9.194916666666668, 78.64075000000001 9.196)"
10,9,,S,SA,22,08-Sep,236.1503901,1.48,FALSE,11.031466,,9.196,78.64075,GOOD,NO E/W,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64075000000001 9.196, 78.64269444444444 9.197222222222223)"
