S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 35,3W,T,DC,26,,,,,14.329439,,9.226333333,78.6915,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6915 9.226333333333333, 78.69269444444444 9.2265)"
2,36,,S,SA,22,LILO -36,130.9473464,1.12,FALSE,20.684729,,9.2265,78.69269444,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69269444444444 9.2265, 78.69544444444445 9.226694444444444)"
3,37,,S,SA,22,36-37,304.0362784,0.96,FALSE,15.335235,,9.226694444,78.69544444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69544444444445 9.226694444444444, 78.69811111111112 9.227222222222222)"
4,38,,T,SB,21,37-38,297.5545868,0.48,FALSE,17.487799,"8°4'12""R",9.227222222,78.69811111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69811111111112 9.227222222222222, 78.70080555555556 9.22813888888889)"
5,39,,S,SA,22,38-39,315.5557186,1.12,FALSE,17.504995,,9.228138889,78.70080556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70080555555556 9.22813888888889, 78.70297222222223 9.22888888888889)"
6,40,,T,SB,21,39-40,252.280135,2.16,FALSE,21.197536,"5°22'12""L",9.228888889,78.70297222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70297222222223 9.22888888888889, 78.70519444444444 9.229416666666667)"
7,41,,S,SA,22,40-41,250.8640866,1.92,FALSE,17.922079,,9.229416667,78.70519444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70519444444444 9.229416666666667, 78.70775 9.229305555555555)"
8,42,,S,SA,22,41-42,280.5953892,1.24,FALSE,17.930115,,9.229305556,78.70775,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70775 9.229305555555555, 78.70966666666666 9.230444444444444)"
9,43,,S,SA,22,42-43,243.6989342,3.22,FALSE,17.348679,,9.230444444,78.70966667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70966666666666 9.230444444444444, 78.71216666666668 9.231027777777777)"
10,44,,T,SB,21,43-44,281.6844489,1.34,FALSE,19.975992,"10°37'48""R",9.231027778,78.71216667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71216666666668 9.231027777777777, 78.71452777777777 9.232055555555556)"
11,45,,T,SB,21,44-45,284.9720573,0.96,FALSE,18.046255,"22°30'36""R",9.232055556,78.71452778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71452777777777 9.232055555555556, 78.71641666666667 9.23397222222222)"
12,46,,S,SA,22,45-46,297.1158132,2.15,FALSE,28.59178,,9.233972222,78.71641667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71641666666667 9.23397222222222, 78.71827777777779 9.235944444444444)"
13,47,,S,SA,22,46-47,300.0573351,1.78,FALSE,25.553116,,9.235944444,78.71827778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71827777777779 9.235944444444444, 78.7201388888889 9.237944444444443)"
14,48,2W,T,SB,21,47-48,300.0700324,1.32,FALSE,23.196781,"0°17'24""L",9.237944444,78.72013889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7201388888889 9.237944444444443, 78.72180555555556 9.239722222222222)"
15,49,,S,SA,22,48-49,268.5461278,1.27,FALSE,22.343235,,9.239722222,78.72180556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72180555555556 9.239722222222222, 78.72333333333333 9.241388888888888)"
16,50,,S,SA,22,49-50,248.2694769,1.91,FALSE,21.301132,,9.241388889,78.72333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72333333333333 9.241388888888888, 78.72491666666667 9.24311111111111)"
17,51,,S,SA,22,50-51,259.219295,2.3,FALSE,19.517939,,9.243111111,78.72491667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72491666666667 9.24311111111111, 78.72644444444444 9.244777777777777)"
18,52,,T,SB,21,51-52,249.5548283,1.89,FALSE,18.228298,"7°13'48""L",9.244777778,78.72644444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72644444444444 9.244777777777777, 78.72819444444444 9.246277777777777)"
19,53,,S,SA,22,52-53,253.4417411,2.02,FALSE,16.94636,,9.246277778,78.72819444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72819444444444 9.246277777777777, 78.72994444444444 9.247777777777777)"
20,54,,S,SA,22,53-54,256.0570783,0.77,FALSE,16.84053,,9.247777778,78.72994444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72994444444444 9.247777777777777, 78.73177777777778 9.249305555555555)"
21,55,,S,SA,22,54-55,262.9767298,1.89,FALSE,15.425291,,9.249305556,78.73177778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73177777777778 9.249305555555555, 78.73355555555555 9.250805555555555)"
22,56,,T,SB,21,55-56,256.2351371,1.1,FALSE,14.610684,"1°10'12""L",9.250805556,78.73355556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73355555555555 9.250805555555555, 78.73544444444444 9.252333333333333)"
23,57,,S,SA,22,56-57,270,0.57,FALSE,16.635929,,9.252333333,78.73544444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73544444444444 9.252333333333333, 78.73727777777778 9.253833333333333)"
24,58,,S,SA,22,57-58,260.6231251,1.4,FALSE,15.986788,,9.253833333,78.73727778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73727777777778 9.253833333333333, 78.73913888888889 9.255277777777778)"
25,59,,S,SA,22,58-59,258.8134665,4.1,FALSE,15.109894,,9.255277778,78.73913889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73913888888889 9.255277777777778, 78.74091666666666 9.25675)"
26,60,,S,SA,22,59-60,253.9261573,3.41,FALSE,13.126496,,9.25675,78.74091667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74091666666666 9.25675, 78.74272222222223 9.258166666666666)"
27,61,2W,T,SB,21,60-61,254.6075259,1.7,FALSE,14.267746,"9°6'36""L",9.258166667,78.74272222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74272222222223 9.258166666666666, 78.74491666666667 9.25938888888889)"
28,62,,S,SA,22,61-62,277.3652562,4.12,FALSE,13.35327,,9.259388889,78.74491667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74491666666667 9.25938888888889, 78.74711111111111 9.260583333333333)"
29,63,,S,SA,22,62-63,273.4347533,0.99,FALSE,14.154358,,9.260583333,78.74711111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74711111111111 9.260583333333333, 78.74902777777778 9.261611111111112)"
30,64,,S,SA,22,63-64,240.4489429,1.38,FALSE,12.34234,,9.261611111,78.74902778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74902777777778 9.261611111111112, 78.75119444444445 9.262805555555556)"
31,65,,S,SA,22,64-65,271.9902501,2.07,FALSE,13.720608,,9.262805556,78.75119444,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75119444444445 9.262805555555556, 78.75338888888889 9.264)"
