S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (KG patty SS),2W,Gantry,H-POLE,12,,,,,429.235718,,9.658444444,77.27005556,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27005555555556 9.658444444444445, 77.27016666666667 9.65863888888889)"
2,27/16,,T,DC,26,Gantry-16,30,0.41,FALSE,428.532013,"60°48'10"" R",9.658638889,77.27016667,GOOD,NO E/W,,,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27016666666667 9.65863888888889, 77.26886111111111 9.659416666666667)"
3,27/15,,T,DC,26,16-15,170.0613366,1.23,FALSE,428.275879,"23°9'50"" L",9.659416667,77.26886111,GOOD,Available,"3-22KV,LT",ROAD,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26886111111111 9.659416666666667, 77.26797222222223 9.659555555555556)"
4,27/14,,T,DC,26,15-14,98,1.42,FALSE,430.45343,"37°0'60"" L",9.659555556,77.26797222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26797222222223 9.659555555555556, 77.26616666666666 9.658555555555555)"
5,27/13,,T,DC,26,14-13,226.9420031,0.46,FALSE,428.640564,"37°35'48"" L",9.658555556,77.26616667,GOOD,Available,,RIVER,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26616666666666 9.658555555555555, 77.26552777777778 9.657083333333334)"
6,27/12,,T,DC,26,13-Dec,180,1.12,FALSE,428.777985,"4°57'9"" L",9.657083333,77.26552778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26552777777778 9.657083333333334, 77.26502777777777 9.655583333333334)"
7,27/11,,T,DC,26,12-Nov,176,0.46,FALSE,427.392914,"14°3'0"" L",9.655583333,77.26502778,GOOD,Available,"22 KV-2NO,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26502777777777 9.655583333333334, 77.26491666666666 9.654277777777779)"
8,27/10,,T,DC,26,11-Oct,149,0.73,FALSE,431.986725,"19°34'54"" R",9.654277778,77.26491667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26491666666666 9.654277777777779, 77.26422222222222 9.652722222222222)"
9,27/09,,T,DC,26,10-Sep,190,0.68,FALSE,432.819305,"10°42'1"" L",9.652722222,77.26422222,GOOD,Available,22 KV-4NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26422222222222 9.652722222222222, 77.26377777777778 9.650777777777778)"
10,27/08,,S,DA,26,09-Aug,224,1.08,FALSE,431.13501,,9.650777778,77.26377778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26377777777778 9.650777777777778, 77.26330555555556 9.64886111111111)"
