SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,VAGAIKULAM Gantry,2W,,,,14,,,42.32,40,8.752866,77.991995,,,,,VAGAIKULAM GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.991995 8.752866, 77.9934225976467 8.7538489719675)"
1,1,,T,"28°02'35""LT",KCR+3,27,Gantry (Vagaikulam)- T1,140.772205,34.98,38,8.753848972,77.9934226,AVAILABLE,"33KV LINE-2NOS, 11KV LINE",ROAD,PLAIN LAND,"Dc Line,road,33kv line-2nos,11kv line,plain Land,T.off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9934225976467 8.7538489719675, 77.991694919765 8.7540574040116)"
2,2,,T,"08°38'27""LT",HCR,21.94,T1-T2,191.6714393,38.1,38,8.754057404,77.99169492,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.991694919765 8.7540574040116, 77.9893104359507 8.75470622670188)"
3,3,,S,,GCR,23.64,T2-T3,272.2597703,40.98,37,8.754706227,77.98931044,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9893104359507 8.75470622670188, 77.9870825260877 8.75534113075188)"
4,4,,S,,GCR,23.64,T3-T4,255.2377688,44.56,34,8.755341131,77.98708253,AVAILABLE,,NALA,PLAIN LAND,"Dc Line,plain land, Nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9870825260877 8.75534113075188, 77.984783872962 8.75597338276877)"
5,5,,S,,GCR,23.64,T4-T5,262.6566623,39.98,35,8.755973383,77.98478387,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.984783872962 8.75597338276877, 77.9821117222309 8.75678059604615)"
6,6,,S,,GCR,23.64,T5-T6,307.5602097,44.09,33,8.756780596,77.98211172,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9821117222309 8.75678059604615, 77.9799384623766 8.7573807029755)"
7,7,,T,"02°94'55""LT",HCR,21.94,T6-T7,248.3964872,39.98,33,8.757380703,77.97993846,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9799384623766 8.7573807029755, 77.9776512086391 8.75814019638695)"
8,8,,S,,GCR,23.64,T7-T8,265.5619982,43.78,34,8.758140196,77.97765121,AVAILABLE,,,AGRI LAND,"Dc Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9776512086391 8.75814019638695, 77.9753247275948 8.75888311994236)"
9,9,,S,,GCR,23.64,T8-T9,269.09583,42.98,33,8.75888312,77.97532473,AVAILABLE,,,AGRI LAND,"Dc Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9753247275948 8.75888311994236, 77.9729982465505 8.75968668188518)"
10,10,,S,,GCR,23.64,T9-T10,271.2224558,41.78,33,8.759686682,77.97299825,AVAILABLE,,NALA,PLAIN LAND,"Dc Line,plain land, Nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9729982465505 8.75968668188518, 77.9705674946308 8.76047765023359)"
11,11,,S,,GCR,23.64,T11-T12,281.6573159,37.98,33,8.76047765,77.97056749,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9705674946308 8.76047765023359, 77.9683382436633 8.76123614322768)"
12,12,2W,T,"06°41'36""RT",HCR,21.94,T10-T11,259.4712081,44.68,35,8.761236143,77.96833824,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9683382436633 8.76123614322768, 77.9659745469689 8.76175605299684)"
13,13,,S,,GCR,23.64,T12-T13,266.6004606,47.87,35,8.761756053,77.96597455,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9659745469689 8.76175605299684, 77.9635642468929 8.76231108652412)"
