SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
62,62 ( common point of SR.pudur & Tuticorin Jurisdictions ),3W,T,"02°26'42""LT",HC+6,27.64,T61-T62,64.38986682,32.32,97,8.309117779,77.57694226,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,Lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57694226108183 8.309117778516143, 77.57942430904487 8.30840677085581)"
63,63,,T,"05°32'54""LT",HC +6,27.65,T62-T63,284.671075,32.47,93,8.308406771,77.57942431,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57942430904487 8.30840677085581, 77.58070338348769 8.308098542224753)"
64,64,,S,,GC,23.62,T63-T64,145.0527331,32.74,93,8.308098542,77.58070338,AVAILABLE,,"RAILWAY TRACK ELECTRIC ,ODAI(NALA)-2NOS",PLAIN LAND,"DC LINE,railway track.electric line.odai(Nala)-2Nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58070338348769 8.308098542224753, 77.58293297234574 8.307733234501379)"
65,65,,S,,GC,23.62,T64-T65,249.0588183,37.84,91,8.307733235,77.58293297,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC LINE,cart track,Lt Line,fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58293297234574 8.307733234501379, 77.5853737811042 8.307408386341745)"
66,66,,S,,GC,23.62,T65-T66,271.4296873,35.42,87,8.307408386,77.58537378,AVAILABLE,22KV LINE,CART TRACK,AGRI LAND,"DC LINE,22kv Line,cart track,fencing,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5853737811042 8.307408386341745, 77.58765064310516 8.307071274312618)"
67,67,,T,"05°43'29""RT",HC,21.94,T66-T67,253.7257084,48.78,86,8.307071274,77.58765064,AVAILABLE,"22KV LINE, LT LINE",CART TRACK,AGRI LAND,"DC LINE,22kv Line, Lt Line,cart track,fencing-2,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58765064310516 8.307071274312618, 77.59022019972237 8.306757368938799)"
68,68,,T,"07°19'59""LT",HC,21.94,T67-T68,285.3537513,36.46,85,8.306757369,77.5902202,AVAILABLE,,,AGRI LAND,"DC LINE,fencing-2Nos,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59022019972237 8.306757368938799, 77.59235691513143 8.30623546592443)"
69,69,,S,,GC,23.62,T68-T69,242.4995157,38.39,85,8.306235466,77.59235692,AVAILABLE,"33KV LINE, LT LINE",ODAI(NALA),PLAIN LAND,"DC LINE,33kv Line,lt Line,odai(Nala)plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59235691513143 8.30623546592443, 77.59447954630616 8.306080154819712)"
70,70,,S,,GC,23.62,T69-T70,234.6006477,31.63,84,8.306080155,77.59447955,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC LINE,lt Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59447954630616 8.306080154819712, 77.5967748442829 8.305786501844223)"
71,71,,T,"22°49'03""LT",HC,21.94,T70-T71,255.0814499,37.37,80,8.305786502,77.59677484,AVAILABLE,33KV LINE,CART TRACK,PLAIN LAND,"DC LINE,lt Line,33kv Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5967748442829 8.305786501844223, 77.59823061710891 8.30557447844592)"
72,72,,S,,GC,23.62,T71-T72,162.1715694,36.92,81,8.305574478,77.59823062,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59823061710891 8.30557447844592, 77.60013900469032 8.306028937020479)"
73,73,,S,,GC,23.62,T72-T73,216.2860362,49.62,82,8.306028937,77.600139,AVAILABLE,,,AGRI LAND,"DC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60013900469032 8.306028937020479, 77.60227102932352 8.306736870530981)"
74,74,,S,,GC,23.62,T73-T74,247.7237055,33.72,84,8.306736871,77.60227103,AVAILABLE,,,AGRI LAND,"DC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60227102932352 8.306736870530981, 77.60444093834228 8.307337966106747)"
75,75,,S,,GC,23.62,T74-T75,248.2626236,38.46,85,8.307337966,77.60444094,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE,Lt Line-2Nos,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60444093834228 8.307337966106747, 77.60643448471805 8.307974888749358)"
76,76,3W,T( LILO),,KC,23.62,T75-T76,230.7726717,32.93,82,8.307974889,77.60643448,AVAILABLE,,,AGRI LAND,"DC LINE,Agri land ( LILO ON THANDAYARKULAM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60643448471805 8.307974888749358, 77.60816048868756 8.308522256164693)"
77,77,,S,,GC+3,26.62,T76-T77,199.6646473,38.56,83,8.308522256,77.60816049,AVAILABLE,"LT LINE, 22KV LINE",,PLAIN LAND,"DC LINE,lt Line,22kv Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60816048868756 8.308522256164693, 77.61030122926188 8.309120360855836)"
78,78,,S,,GC,23.62,T77-T78,245.0770475,36.91,83,8.309120361,77.61030123,AVAILABLE,"LT LINE, 22KV LINE, 33KV LINE",ROAD,AGRI LAND,"DC LINE,lt Line,22kv Line,33kv Line,fencing,Road,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61030122926188 8.309120360855836, 77.61290833422082 8.309913860842995)"
79,79,,S,,GC,23.62,T78-T79,300.4935156,48.59,82,8.309913861,77.61290833,AVAILABLE,,,AGRI LAND,"DC LINE,fencing,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61290833422082 8.309913860842995, 77.61527203205293 8.310562061304413)"
80,80,,T,"13°05'50""RT",HC,21.94,T79-T80,270.2404152,35.48,81,8.310562061,77.61527203,AVAILABLE,,,PLAIN AREA,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61527203205293 8.310562061304413, 77.61728302008993 8.31124741866101)"
81,81,,S,,GC,23.62,T80-T81,234.2844429,33.97,81,8.311247419,77.61728302,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE,fencing,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61728302008993 8.31124741866101, 77.61949651305329 8.311292812824371)"
82,82,,S,,GC,23.62,T81-T82,244.0394041,31.92,80,8.311292813,77.61949651,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61949651305329 8.311292812824371, 77.62178142007122 8.31148153406181)"
83,83,,S,,GC,23.62,T82-T83,252.7246781,33.58,81,8.311481534,77.62178142,AVAILABLE,,,AGRI LAND,"DC LINE,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62178142007122 8.31148153406181, 77.62385174302544 8.31160423370497)"
84,84,,S,,GC+3,26.62,T83-T84,228.6108999,35.37,81,8.311604234,77.62385174,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62385174302544 8.31160423370497, 77.62610039514549 8.311838196213051)"
85,85,,S,,GC,23.62,T84-T85,249.2133656,46.76,79,8.311838196,77.6261004,AVAILABLE,"22KV LINE, LT LINE",ROAD,PLAIN LAND,"DC LINE,22kv Line,lt Line,Road.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62610039514549 8.311838196213051, 77.62833975558995 8.311986308333934)"
86,86,,S,,GC,23.62,T85-T86,247.3842037,38.53,79,8.311986308,77.62833976,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62833975558995 8.311986308333934, 77.63073463167373 8.3121358777068)"
87,87,2W,S,,GC,23.62,T86-T87,264.5015811,33.35,79,8.312135878,77.63073463,AVAILABLE,LT LINE,CART TRACK-2NOS,PLAIN LAND,"DC LINE,cart track-2Nos,lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63073463167373 8.3121358777068, 77.63297863735608 8.31235810047163)"
88,88,,S,,GC,23.62,T87-T88,248.5730726,30.57,78,8.3123581,77.63297864,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC LINE,lt Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63297863735608 8.31235810047163, 77.63561792771114 8.312444297491629)"
89,89,,S,,GC,23.62,T88-T89,291.0815081,36.84,78,8.312444297,77.63561793,AVAILABLE,"33KV LINE,22KV LINE,LT LINE",CART TRACK-2NOS,PLAIN LAND,"DC LINE,33kv Line,22kv Line,Lt Line,cart track-2Nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63561792771114 8.312444297491629, 77.63730603853125 8.312607146293846)"
90,90,,S,,GC,23.62,T89-T90,186.9492721,39.38,78,8.312607146,77.63730604, NOT AVAILABLE,"230KV LINE,11KV LINE",,PLAIN LAND,"Dc line :230kv line under crossing,11kv line ,T89 TO T90 earth Wire is not available, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63730603853125 8.312607146293846, 77.63948030604516 8.312747429661396)"
91,91,,S,,GC,23.62,T90-T91,240.16946,46.92,74,8.31274743,77.63948031,AVAILABLE,33KV LINE-2NOS,,PLAIN LAND,"Dc line :2nos 33 kv Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63948030604516 8.312747429661396, 77.6416009300829 8.312835287185628)"
92,92,,S,,GC,23.62,T91-T92,233.9564238,38.75,74,8.312835287,77.64160093,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line:  cart tark , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6416009300829 8.312835287185628, 77.64366992160181 8.313008416937622)"
93,93,,S,,GC+3,26.62,T92-T93,228.866854,37.36,76,8.313008417,77.64366992,AVAILABLE,,,PLAIN LAND,Dc line : Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64366992160181 8.313008416937622, 77.64574058536581 8.313164626540683)"
94,94,,S,,GC,23.62,T93-T94,228.9017423,31.69,73,8.313164627,77.64574059,AVAILABLE,33KV LINE,ROAD,PLAIN LAND,"Dc line :Road,33kv Line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64574058536581 8.313164626540683, 77.64799631842868 8.31331651545636)"
95,95,,T,"13°02'40""RT",HC,21.94,T94-T95,249.2158912,36.78,73,8.313316515,77.64799632,AVAILABLE,,,AGRI LAND,Dc line : Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64799631842868 8.31331651545636, 77.65009716590562 8.313436888126157)"
96,96,,T,"06°51'55""LT",HC,21.94,T95-T96,231.9585065,38.96,72,8.313436888,77.65009717,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line : LT Line ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65009716590562 8.313436888126157, 77.65118915359979 8.313482316165425)"
97,97 ( LILO ),3W,T,"01°46'50""RT",HC+3,24.94,T96-T97,120.4744362,32.67,72,8.313482316,77.65118915,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"Dc line :  LT Line, cart tark,Plain land ( LILO ON RADHAPURAM )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65118915359979 8.313482316165425, 77.65212088475295 8.313633568949141)"
98,98,,S,,GC,23.62,T97-T98,104.0599738,35.94,72,8.313633569,77.65212088,AVAILABLE,"33KV LINE, 11KV LINE",ROAD,PLAIN LAND,"Dc line :  33kv line , 11kv Line, Road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65212088475295 8.313633568949141, 77.65459824664843 8.313916493058379)"
99,99,,S,,GC,23.62,T98-T99,274.8689513,34.33,79,8.313916493,77.65459825,AVAILABLE,"33KV LINE, 11KV LINE, LT LINE",,PLAIN LAND," Dc line 11kv Line, 33kv Line, 11KV Line, lt Line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65459824664843 8.313916493058379, 77.65708029745534 8.314247856221895)"
100,100,,S,,GC,23.62,T99-T100,276.0438253,35.61,69,8.314247856,77.6570803,AVAILABLE,,,PLAIN LAND,"Dc line ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65708029745534 8.314247856221895, 77.65945069254072 8.314553015756092)"
101,101,,S,,GC,23.62,T100-T101,263.463011,37.42,65,8.314553016,77.65945069,AVAILABLE,11OKV LINE,,PLAIN LAND," Dc Line, plain land 11OKV  Line Over head crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65945069254072 8.314553015756092, 77.6618190830069 8.314898636418253)"
102,102,,S,,GC,23.62,T101-T102,263.8561125,35.39,65,8.314898636,77.66181908,AVAILABLE,,,PLAIN LAND," Dc Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6618190830069 8.314898636418253, 77.66423776698855 8.315187536802624)"
103,103,,S,,GC+3,26.62,T102-T103,268.5232073,47.68,66,8.315187537,77.66423777,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc Line, plain land, 11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66423776698855 8.315187536802624, 77.66677245207072 8.315548424627217)"
104,104,,S,,GC,23.62,T103-T104,282.2405097,36.71,66,8.315548425,77.66677245,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"  Dc Line,plain land, Fencing,11kv Line, Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66677245207072 8.315548424627217, 77.66898862657774 8.31577561324001)"
105,105,,S,,GC,23.62,T104-T105,245.5811582,33.95,61,8.315775613,77.66898863,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,Agri land, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66898862657774 8.31577561324001, 77.67130538768576 8.316134847617155)"
106,106,,S,,GC,23.62,T105-T106,258.4551335,31.73,61,8.316134848,77.67130539,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67130538768576 8.316134847617155, 77.67365534061702 8.316425404976078)"
107,107,,S,,GC,23.62,T106-T107,261.0261338,36.84,60,8.316425405,77.67365534,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67365534061702 8.316425404976078, 77.67587151513904 8.316686436440982)"
