SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-1(Arumuganeri-SR Pudur LILO UPCIL),T,,KCR,24,,,32.32,16,8.47545332658274,77.9708300158381,AVAILABLE,,,PLAIN LAND,"Lilo, DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9708300158381 8.47545332658274, 77.9714817926287 8.47413349817442)"
2,2,T,"63°24'2""LT",KCR,24,T1-T2,162.80997267981016,35.870000000000005,15,8.47413349817442,77.9714817926287,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9714817926287 8.47413349817442, 77.9738099500536 8.47411658577096)"
3,3,T,"5°29'32""LT",HCR,21.94,T2-T3,256.603016135823,35.86,16,8.47411658577096,77.9738099500536,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9738099500536 8.47411658577096, 77.97626350075 8.47433346241792)"
4,4,T,"18°9'39""RT",HCR+3,24.94,T3-T4,271.4805054989931,35.9,15,8.47433346241792,77.97626350075,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line, road,lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97626350075 8.47433346241792, 77.9786332324147 8.47378496986634)"
5,5,T,"17°47'28""RT",HCR,21.94,T4-T5,268.1443100161753,35.9,13,8.47378496986634,77.9786332324147,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9786332324147 8.47378496986634, 77.9806026443839 8.47258783407139)"
6,6,S,,GCR,23.62,T5-T6,254.31799623694926,35.910000000000004,12,8.47258783407139,77.9806026443839,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9806026443839 8.47258783407139, 77.9827282950282 8.4713469209572)"
7,7,T,"44°9'5""RT",KCR,24,T6-T7,271.58378208211843,35.93,14,8.4713469209572,77.9827282950282,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9827282950282 8.4713469209572, 77.9832583665847 8.46937312466767)"
8,8,T,"47°55'5""LT",KCR+3,27,T7-T8,226.17846915208057,35.89,13,8.46937312466767,77.9832583665847,AVAILABLE,,ROAD,PLAIN LAND,"DC Line, road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9832583665847 8.46937312466767, 77.985450066626 8.46821477478512)"
9,9,S,,GCR+3,26.62,T8-T9,273.48729705417844,35.9,11,8.46821477478512,77.985450066626,AVAILABLE,11KV LINE,"ROAD, CART TRACK",PLAIN LAND,"DC Line,11kv Line,road,Cart Track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.985450066626 8.46821477478512, 77.9876384139061 8.46714032173414)"
10,10,T,"27°48'47""RT",KCR+3,27,T9-T10,268.92841788291753,35.870000000000005,15,8.46714032173414,77.9876384139061,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11kv,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9876384139061 8.46714032173414, 77.9889999702572 8.46520961491833)"
