SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,3W,T ,,KC,24,S.R.Pudur - Arumuganeri  line LILO(T1),,32.78,121,8.389469855,77.81283014,AVAILABLE,,,AGRI LAND,"S.R.PUDUR TO ARUMUGANERI LINE (DC LINE), LILO MOOLAKARAIPATTI, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8128301350429 8.38946985472948, 77.81203654158017 8.390970097493136)"
2,2,,T,"28°04'35""LT",HC,21.94,T1-T2,187.6824521,43.12,118,8.390970097,77.81203654,AVAILABLE,,,AGRI LAND,"DC LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81203654158017 8.390970097493136, 77.81014658631366 8.392173503028756)"
3,3,,S,,GC,23.62,T2-T3,247.2559838,30.46,125,8.392173503,77.81014659,AVAILABLE,LT LINE,ODAI(NALA),AGRI LAND,"DC LINE,LT LINE,ODAI(NALA) ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81014658631366 8.392173503028756, 77.80820332851219 8.393468455698187)"
4,4,,S,,GC,23.62,T3-T4,257.7191903,35.28,122,8.393468456,77.80820333,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80820332851219 8.393468455698187, 77.80624665021965 8.394833392755901)"
5,5,,S,,GC,23.62,T4-T5,263.3153141,36.54,125,8.394833393,77.80624665,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE,2NOS LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80624665021965 8.394833392755901, 77.80435334628811 8.396096824598448)"
6,6,,S,,GC,23.62,T5-T6,251.201076,48.76,131,8.396096825,77.80435335,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE ,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80435334628811 8.396096824598448, 77.8028684144358 8.397161897698698)"
7,7,,T,"23°07'32""RT",HC,21.94,T6-T7,201.7024361,32.97,130,8.397161898,77.80286841,AVAILABLE,11 KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8028684144358 8.397161897698698, 77.80143041096993 8.399305584556934)"
8,8,,S,,GC,23.62,T7-T8,285.3368185,31.42,125,8.399305585,77.80143041,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80143041096993 8.399305584556934, 77.8002398449459 8.401273472083934)"
9,9,,S,,GC+3,26.62,T8-T9,254.2848046,31.36,130,8.401273472,77.80023984,AVAILABLE,,"POND,ROAD,FENCING-2NOS",WATER LOGGED AREA,"DC LINE,POND ,ROAD ,2 FENCING,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8002398449459 8.401273472083934, 77.79880318616966 8.403370365782356)"
10,10,,S,,GC,23.62,T9-T10,280.9597202,33.52,137,8.403370366,77.79880319,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79880318616966 8.403370365782356, 77.79745839238522 8.405543535688677)"
11,11,2W,T,"35°20'42""RT",KC,24,T10-T11,282.5317142,32.65,140,8.405543536,77.79745839,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79745839238522 8.405543535688677, 77.7975868092487 8.40787850894043)"
12,12,,S,,GC,23.62,T11-T12,258.8317538,49.53,138,8.407878509,77.79758681,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7975868092487 8.40787850894043, 77.79775679383387 8.410283783602537)"
13,13,,S,,GC,23.62,T12-T13,266.8843136,35.32,144,8.410283784,77.79775679,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC LINE,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79775679383387 8.410283783602537, 77.79797673097606 8.412745421691286)"
14,14,,S,,GC,23.62,T13-T14,273.5408478,34.51,145,8.412745422,77.79797673,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE ,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79797673097606 8.412745421691286, 77.79815006734921 8.415093623595691)"
15,15,,S,,GC,23.62,T14-T15,260.6101908,30.73,153,8.415093624,77.79815007,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79815006734921 8.415093623595691, 77.79820673204709 8.417403664209615)"
16,16,,S,,GC,23.62,T15-T16,255.7611264,34.48,151,8.417403664,77.79820673,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE ,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79820673204709 8.417403664209615, 77.79822014766377 8.419953485273659)"
17,17,,S,,GC,23.62,T16-T17,282.2285185,36.59,154,8.419953485,77.79822015,AVAILABLE,LT LINE,ODAI(NALA),AGRI LAND,"DC LINE,LT LINE,ODAI(NALA) ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79822014766377 8.419953485273659, 77.79831167215856 8.422573599094848)"
18,18,,S,,GC,23.62,T17-T18,290.1806007,47.2,153,8.422573599,77.79831167,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79831167215856 8.422573599094848, 77.79835659958627 8.42513167758212)"
19,19,,T,"25°51'21""LT",HC,21.94,T18-T19,283.1820963,32.34,158,8.425131678,77.7983566,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79835659958627 8.42513167758212, 77.79737491435438 8.42740786139261)"
20,20,,T,"02°43'45""RT",HC+3,24.94,T19-T20,274.1833501,32.49,161,8.427407861,77.79737491,AVAILABLE,,ROAD,AGRI LAND,"DC LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79737491435438 8.42740786139261, 77.7965048679407 8.429723497814138)"
21,21,2W,T,"70°10'14""RT",KC,24,T20-T21,273.650952,35.53,160,8.429723498,77.79650487,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7965048679407 8.429723497814138, 77.79682841211257 8.429997100269079)"
