S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
3,2,T,DC+0,28,1-2,90,2.3,318.282074,20°41'55''RT,10.0037,77.4683,GOOD,AVAILABLE,3 NO 11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4683 10.0037, 77.4694 10.0037)"
4,3,T,DC+0,28,2-3,114,0.92,310.475310999999,33°34'40''RT,10.0037,77.4694,GOOD,AVAILABLE,,Near Bus Deppo,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4694 10.0037, 77.4712 10.0024)"
5,4,T,DB+0,28,3-4,248,1.42,307.631896999999,1°53'60''LT,10.0024,77.4712,GOOD,AVAILABLE,"3 LT, 11 KV",Kambam-Theni Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4712 10.0024, 77.4732 10.0011)"
6,5,S,DA+0,26,4-5,265,3.7,300.361603,,10.0011,77.4732,GOOD,AVAILABLE,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4732 10.0011, 77.4752 9.99988)"
7,6,T,DB+0,28,5-6,259,2.15,298.224396,1°3'24''RT,9.99988,77.4752,GOOD,AVAILABLE,,Veerapandi River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4752 9.99988, 77.4772 9.99853)"
8,6A,S,DA+0,26,6-6A,267,4.6,297.633575,,9.99853,77.4772,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4772 9.99853, 77.4785 9.99772)"
9,7,S,DA+0,26,6A-7,166,3.05,300.793091,,9.99772,77.4785,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4785 9.99772, 77.4792 9.99725)"
10,7A,S,DA+0,26,7-7A,94,2.75,304.076415999999,,9.99725,77.4792,GOOD,AVAILABLE,"2 NO 11KV, LT",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4792 9.99725, 77.4814 9.99576)"
11,8,T,DC+0,28,7A-8,296,4.75,325.717498999999,22°2'55''LT,9.99576,77.4814,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4814 9.99576, 77.4844 9.99514)"
12,9,S,DA+0,26,8-9,335,2.05,319.279236,,9.99514,77.4844,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4844 9.99514, 77.4867 9.99465)"
13,10,S,DA+0,26,9-10,258,2.4,304.290038999999,,9.99465,77.4867,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4867 9.99465, 77.4892 9.99412)"
14,11,S,DA+0,26,10-11,277,4.58,292.011993,,9.99412,77.4892,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4892 9.99412, 77.4912 9.99369)"
15,12,S,DA+0,26,11-12,228,4.85,293.566925,,9.99369,77.4912,GOOD,AVAILABLE,,Theni - Kandamanur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4912 9.99369, 77.4941 9.99307)"
16,13,S,DA+0,26,12-13,321,3.64,304.841339,,9.99307,77.4941,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4941 9.99307, 77.4962 9.99261)"
17,14,S,DA+0,26,13-14,245,2.53,298.068633999999,,9.99261,77.4962,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4962 9.99261, 77.4991 9.992)"
18,15,S,DA+0,26,14-15,318,2.23,292.763031,,9.992,77.4991,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4991 9.992, 77.5019 9.99138)"
19,16,S,DA+0,26,15-16,322,10.05,287.066681,,9.99138,77.5019,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5019 9.99138, 77.5048 9.99076)"
20,17,S,DA+0,26,16-17,321,5.34,288.400084999999,,9.99076,77.5048,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5048 9.99076, 77.5076 9.99014)"
21,18,S,DA+0,26,17-18,320,4.25,289.851379,,9.99014,77.5076,GOOD,AVAILABLE,,Theni - Pallapati Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5076 9.99014, 77.5104 9.98958)"
22,19,S,DA+0,26,18-19,308,2.44,287.044373,,9.98958,77.5104,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,S,DA+0,26,19-20,379,0.1,290.404540999999,,,,GOOD,AVAILABLE,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21(LILO KANDAMANUR),T,DD+0,28,20-21(LILO KANDAMANUR),317,2.88,292.709258999999,52°28'35''LT,9.98884,77.5138,GOOD,AVAILABLE,,,Plain,COMMON TOWER LILO at Gandamanur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5138 9.98884, 77.5186 9.98996)"
25,22,T,DA+0,26,21(LILO KANDAMANUR)-22,296,1.24,295.788299999999,0°1'13''RT,9.98996,77.5186,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5186 9.98996, 77.521 9.99198)"
26,23,S,DA+0,26,22-23,347,4.9,295.931518999999,,9.99198,77.521,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.521 9.99198, 77.5233 9.99384)"
27,24,S,DA+0,26,23-24,321,0.51,298.590912,,9.99384,77.5233,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5233 9.99384, 77.5255 9.9957)"
28,25,S,DA+0,26,24-25,320,4.2,298.526703,,9.9957,77.5255,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5255 9.9957, 77.5277 9.99756)"
29,26,S,DA+0,26,25-26,318,3.05,296.825072999999,,9.99756,77.5277,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5277 9.99756, 77.5286 9.99811)"
,LILO KANAVILAKKU,T,DA+0,26,26-LILO KANAVILAKKU,110,,295.429077,10°33'42''LT,9.99811,77.5286,,,,,,LILO AT KANAVILAKKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5286 9.99811, 77.5296 9.99916)"
30,27,T,DB+0,28,LILO KANAVILAKKU-27,167,3.7,297.492523,1°22'18''RT,9.99916,77.5296,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5296 9.99916, 77.5318 10.0011)"
31,28,T,DB+0,28,27-28,323,6.26,296.816131999999,2°31'13''LT,10.0011,77.5318,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5318 10.0011, 77.5334 10.0027)"
32,29,T,DB+0,28,28-29,245,0.89,291.727814,2°33'6''RT,10.0027,77.5334,GOOD,AVAILABLE,,RAILWAY CROSSING,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5334 10.0027, 77.5358 10.0048)"
33,30,S,DA+0,26,29-30,350,4.39,291.460631999999,,10.0048,77.5358,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5358 10.0048, 77.5378 10.0067)"
34,31,S,DA+0,26,30-31,304,2.4,296.110595999999,,10.0067,77.5378,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5378 10.0067, 77.5399 10.0087)"
35,32,S,DA+0,26,31-32,321,5.85,299.978271,,10.0087,77.5399,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5399 10.0087, 77.541 10.0097)"
36,32A,S,DA+0,26,32-32A,164,1.55,299.511199999999,,10.0097,77.541,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.541 10.0097, 77.5418 10.0105)"
