S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,198(LILO),T,DC,26,,,,,0,,9.911111111111111,77.96825,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96825 9.911111111111111, 77.96852777777778 9.911027777777779)"
2,199/1,T,DC,26,198-199/1,32.00283415066746,0.1,"=IF(H7>15,0)",177.191986,"80°51'16"" L",9.911027777777779,77.96852777777778,GOOD,NO E/W,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96852777777778 9.911027777777779, 77.96863888888889 9.911805555555556)"
3,199/2,S,DC,26,199/1-199/2,88.76675072399142,0.31,"=IF(H8>15,0)",175.496749999999,,9.911805555555556,77.96863888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96863888888889 9.911805555555556, 77.96888888888888 9.913694444444445)"
4,199/3,T,DC,26,199/2-199/3,209.99277773729528,1.31,"=IF(H9>15,0)",178.020035,"1°27'5"" R",9.913694444444445,77.96888888888888,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96888888888888 9.913694444444445, 77.96908333333333 9.914944444444444)"
5,199/4,T,DC,26,199/3-199/4,139.259096833192,0.58,"=IF(H10>15,0)",178.473984,"12°36'50"" R",9.914944444444444,77.96908333333333,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96908333333333 9.914944444444444, 77.9696111111111 9.91625)"
6,199/5,T,DC,26,199/4-199/5,157.84929802084156,NIL,"=IF(H11>15,0)",175.906005999999,"49°36'40"" R",9.91625,77.9696111111111,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9696111111111 9.91625, 77.96919444444444 9.91711111111111)"
7,199/6,T,DC,26,199/5-199/6,104.92855328711329,0.15,"=IF(H12>15,0)",177.787703999999,"88°3'5"" L",9.91711111111111,77.96919444444444,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96919444444444 9.91711111111111, 77.96938888888889 9.917194444444444)"
8,199/7 ,T,H-POLE,12,199/6-199/7 ,25.680954528962186,0.16,"=IF(H13>15,0)",176.419769,"25°42'37"" L",9.917194444444444,77.96938888888889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96938888888889 9.917194444444444, 77.96952777777778 9.917361111111111)"
9,199/8,T,H-POLE,12,199/7 -199/8,23.036696780123567,0.5,"=IF(H14>15,0)",176.502518,"4°41'2"" R",9.917361111111111,77.96952777777778,GOOD,NO E/W,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96952777777778 9.917361111111111, 77.96980555555555 9.917666666666666)"
10,199/9,T,DC,26,199/8-199/9,46.31401439618204,0.17,"=IF(H15>15,0)",176.955612,"9°3'16"" R",9.917666666666666,77.96980555555555,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96980555555555 9.917666666666666, 77.97086111111112 9.918444444444443)"
11,LILO : 199/10,T,DC,26,199/9-199/10,144.92653147732582,NIL,"=IF(H16>15,0)",177.342468,"7°1'59"" L",9.918444444444443,77.97086111111112,GOOD,Available,,,PLAIN,LILO to 110kV Kinnimangalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97086111111112 9.918444444444443, 77.97197222222222 9.9195)"
12,199/11,T,DC,26,199/10-199/11,167.51396706093476,NIL,"=IF(H17>15,0)",177.5728,"72°30'57"" R",9.9195,77.97197222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97197222222222 9.9195, 77.97183333333334 9.919805555555556)"
13,199/12,T,DC,26,199/11-199/12,38.268143110606296,1,"=IF(H18>15,0)",176.684799,"11°1'43"" L",9.919805555555556,77.97183333333334,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97183333333334 9.919805555555556, 77.97147222222222 9.920277777777777)"
14,199/13/1,T,DC,26,199/12-199/13/1,65.14409696351578,NIL,"=IF(H19>15,0)",178.227523999999,"20°24'43"" L",9.920277777777777,77.97147222222222,GOOD,Available,HT -7NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97147222222222 9.920277777777777, 77.97047222222223 9.920944444444444)"
15,199/14/1,T,DC,26,199/13/1-199/14/1,130.60593361676686,0.85,"=IF(H20>15,0)",180.137131,"55°45'48"" L",9.920944444444444,77.97047222222223,GOOD,Available,"HT,LT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97047222222223 9.920944444444444, 77.97047222222223 9.920666666666666)"
16,GANTRY ( KINNIMANGALAM SS ),Gantry,H-POLE,12,199/14/1- GANTRY,28.14753042992475,,"=IF(H21>15,0)",181.390334999999,,9.920666666666666,77.97047222222223,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=22366+G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where  earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
