SL.NO,TOWER NO,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Radhapuram GANTRY,,,,,,,,53,8.26398279,77.66301334,,,,,Radhapuram LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66301334 8.26398279, 77.66302775 8.26425221)"
1,1,T,"73°58'23""LT",KC,24,Gantry (Radhapuram)- T1,29.8593708741984,32.78,53,8.26425221,77.66302775,NOT AVAILABLE,,,Plain Land,"dc Line,   Radhapuram Gantry- T1 earth wire not Available, ss land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66302775 8.26425221, 77.66041596 8.265152088)"
2,2,T,"30°40'21""RT",KC+3,27,T1-T2,304.66930676558957,30.16,56,8.265152088,77.66041596, AVAILABLE,"33kv line-5Nos,11kvline-3Nos",Road,Plain Land,"dc Line,33kv line-5Nos,11kvline-3Nos,Road,fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66041596 8.265152088, 77.65862223 8.267262669)"
3,3,S,,GC+3,26.62,T2-T3,306.04131062645854,34,56,8.267262669,77.65862223, AVAILABLE,33kv line-3Nos,Road,Plain Land,"dc Line,33kv line-3Nos,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65862223 8.267262669, 77.65683621 8.269403748)"
4,4,S,,GC,23.62,T3-T4,308.0795816489653,34.88,55,8.269403748,77.65683621, AVAILABLE,"33kv line,11kvline,Lt Line",Cart track,Plain Land,"dc Line,33kv line,11kvline,Lt Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65683621 8.269403748, 77.65499152 8.271538854)"
5,5,T,"34°12'59""RT",KC,24,T4-T5,311.7501721443753,36.45,55,8.271538854,77.65499152, AVAILABLE,33kv line,,Plain Land,"dc Line,33kv line,cattle farm,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65499152 8.271538854, 77.65469279 8.2744055)"
6,6,S,,GC+3,26.62,T5-T6,318.956553508375,46.7,55,8.2744055,77.65469279, AVAILABLE,33kv line,Road,Plain Land,"dc Line,33kvline,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65469279 8.2744055, 77.65438635 8.277258182)"
7,7,T,"25°39'08""LT",HC,21.94,T6-T7,317.5087293603616,32.7,56,8.277258182,77.65438635,NOT AVAILABLE,Lt line,"Lt line,Pond,Odai bund",Plain Land,"dc Line,T6-T7 earth wire not Available,Lt line,Pond,Odai bund,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65438635 8.277258182, 77.65299763 8.279453955)"
8,8,S,,GC,23.62,T7-T8,287.20649135421746,37.21,58,8.279453955,77.65299763, AVAILABLE,33kvLine,carttrack,Agri Land,"dc Line,33kvLine, carttrack.Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65299763 8.279453955, 77.65144933 8.281983147)"
9,9,S,,GC,23.62,T8-T9,327.83827149678194,31.58,57,8.281983147,77.65144933, AVAILABLE,Lt line,,Agri Land,"dc Line,Lt Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65144933 8.281983147, 77.65037611 8.283688515)"
10,10,S,,GC,23.62,T9-T10,222.74726558369005,33.32,59,8.283688515,77.65037611, AVAILABLE,Lt line,,Plain Land,"dc Line,Lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65037611 8.283688515, 77.64909167 8.285767785)"
11,11,S,,GC,23.62,T10-T11,270.18340294133833,48.67,63,8.285767785,77.64909167, AVAILABLE,,,Plain Land,"dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64909167 8.285767785, 77.6477395 8.287966819)"
12,12,S,,GC,23.62,T11-T12,285.3842465519351,32.23,64,8.287966819,77.6477395, AVAILABLE,33Kv line,,Plain Land,"dc Line,cart track,33kv line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6477395 8.287966819, 77.64640846 8.290140628)"
13,13,T,"18°36'23""RT",HC+3,24.94,T12-T13,281.7869798003496,33.93,63,8.290140628,77.64640846, AVAILABLE,,Road,Plain Land,"dc Line,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64640846 8.290140628, 77.64590286 8.292329667)"
14,14,S,,GC,23.62,T13-T14,248.58739917379498,34.57,65,8.292329667,77.64590286, AVAILABLE,33Kv line,Cart track,Plain Land,"dc Line,33kv Line,cart track,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64590286 8.292329667, 77.64531713 8.294812977)"
15,15,S,,GC,23.62,T14-T15,282.3083734588606,30.05,67,8.294812977,77.64531713, AVAILABLE,Lt line,,Plain Land,"dc Line,Lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64531713 8.294812977, 77.64474615 8.29729394)"
16,16,S,,GC,23.62,T15-T16,281.6875795984091,35.05,69,8.29729394,77.64474615, AVAILABLE,Lt line,Cart track,Plain Land,"dc Line,Lt line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64474615 8.29729394, 77.64416143 8.299824324)"
17,17,S,,GC,23.62,T16-T17,287.35705288373384,34.49,71,8.299824324,77.64416143, AVAILABLE,33Kv Line,Cart track,Plain Land,"dc Line,33kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64416143 8.299824324, 77.64356162 8.302361669)"
