SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,PERUNGUDI,2W,,,,,,,,63,8.253882363,77.58445441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58445441 8.253882363, 77.58465663 8.254342522)"
1,T.No-1,,T,"73°58'56""RT",SC+0,24,Perungudi GANTRY - T1,55.58927894,2.748,63,8.254342522,77.58465663,GOOD,NOT AVAILABLE,,,AGRI LAND,"fencing, Perungudi GANTRY - T1  Earth wire not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58465663 8.254342522, 77.58553002 8.254226039)"
2,T.No-2,,T,"42°24'29""RT",SC+0,24,T1-T2,97.14226125,2.49,63,8.254226039,77.58553002,GOOD,AVAILABLE,11KV LINE,,AGRI LAND, 11kv Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58553002 8.254226039, 77.58611172 8.253422401)"
3,T.No-3,,S,,SA+0,24,T2-T3,109.6414795,1.98,60,8.253422401,77.58611172,GOOD,AVAILABLE,11KV -2NOS,,AGRI LAND,2 11kv line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58611172 8.253422401, 77.5875467 8.25182905)"
4,T.No-4,,T,"04°19'25""RT",SB+0,22,T3-T4,236.8867029,1.75,60,8.25182905,77.5875467,GOOD,AVAILABLE,11KV -2NOS,,AGRI LAND,"2 11kv line, fence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5875467 8.25182905, 77.58970991 8.249405831)"
5,T.No-5,,T,"14°59'21""RT",SB+0,22,T4-T5,358.8587512,1.65,56,8.249405831,77.58970991,GOOD,AVAILABLE,11KV -3NOS,ROAD,AGRI LAND,"4fencing,3 11kv line,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58970991 8.249405831, 77.59072513 8.247327363)"
6,T.No-6,,S,,SA+0,24,T5-T6,255.7946731,2.181,52,8.247327363,77.59072513,GOOD,AVAILABLE,"11KV -2NOS, LT LINE",,AGRI LAND,"1 lt line,2 11kv line,fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59072513 8.247327363, 77.5917001 8.245417453)"
7,T.No-7,,S,,SA+0,24,T6-T7,237.1175285,1.594,51,8.245417453,77.5917001,GOOD,AVAILABLE,11KV -2NOS,,AGRI LAND,"fencing, 2 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5917001 8.245417453, 77.59272673 8.243419264)"
8,T.No-8,,T,"24°28'14""LT",SC+0,24,T7-T8,248.4076092,1.882,49,8.243419264,77.59272673,GOOD,AVAILABLE,"11KV -2Nos, 22KV-2Nos,LT LINE",POND,WATER LOGGED,"1 lt line,2 11kv line,2 22kv line, pond,fence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59272673 8.243419264, 77.59456672 8.241985799)"
9,T.No-9,,S,,SA+0,24,T8-T9,257.5094894,1.998,47,8.241985799,77.59456672,GOOD,AVAILABLE,11KVLINE-3NOS,"Odai(NALA), CART TRACK",WATER LOGGED,"Odai(Nala),cart track,3 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59456672 8.241985799, 77.5962317 8.240605751)"
