SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Gantry (KARUNGULAM),,2W,,,,,,,,30,8.179384919,77.57741475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57741475 8.179384919, 77.57898107 8.178272991)"
1,T.No-1,,T,"61°29'54""RT",SD+0,22,GANTRY - T1,212.0535737,2.65,27,8.178272991,77.57898107,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,  2 11kv Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57898107 8.178272991, 77.57875778 8.176452369)"
2,T.No-2,,T,"17°05'14""LT",SC+0,24,T1-T2,202.9751195,1.45,27,8.176452369,77.57875778,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND," 11kv Line, Pump House",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57875778 8.176452369, 77.57893816 8.175445484)"
3,T.No-3,,T,"13°57'01""LT",SB+0,20.85,T2-T3,113.185774,2.51,30,8.175445484,77.57893816,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND," temple ,11kv line, Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57893816 8.175445484, 77.5794119 8.174388799)"
4,T.No-4,,T,"19°06'03""RT",SC+0,21.65,T3-T4,128.0718465,2.67,29,8.174388799,77.5794119,GOOD,AVAILABLE,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5794119 8.174388799, 77.57948701 8.173528259)"
5,T.No-5,,T,"47°53'08""LT",SC+0,21.65,T4-T5,95.5893849,2.79,28,8.173528259,77.57948701,GOOD,AVAILABLE,LT LINE,Odai(Nala),PLAIN LAND,"Odi(Nala), Lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57948701 8.173528259, 77.57998254 8.173154233)"
6,T.No-6,,T,"30°36'56""RT",SB+0,21.65,T5-T6,68.54588923,2.45,25,8.173154233,77.57998254,GOOD,AVAILABLE,,,FOREST AREA,Fencing-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57998254 8.173154233, 77.58048579 8.171927959)"
7,T.No-7,,T,"46°37'01""LT",SB+0,21.65,T6-T7,146.6090806,2.61,25,8.171927959,77.58048579,GOOD,AVAILABLE,LT LINE,,FOREST AREA,LT LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58048579 8.171927959, 77.58245118 8.17117059)"
8,T.No-8,,T,"36°36'17""RT",SB+0,21.65,T7-T8,232.3506258,2.69,23,8.17117059,77.58245118,GOOD,AVAILABLE,11KV LINE,CART TRACK,FOREST AREA," 11kv Line,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58245118 8.17117059, 77.58331184 8.169811555)"
9,T.No-9,3W,T,"69°01'33""LT",SC+0,24,T8-T9,177.8313213,2.58,22,8.169811555,77.58331184,GOOD,AVAILABLE,LT  LINE,,AGRI LAND,"LILO, Ltline,Fencing, coconut gradan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58331184 8.169811555, 77.58550622 8.170137737)"
10,T.No-10,,S,,SA+0,24,T9-T10,244.6390005,1.64,22,8.170137737,77.58550622,GOOD,AVAILABLE,"33KV LINE, 11KV LINE",POND,WATER LOGGED AREA,"33KV LINE, 11KV LINE,Pond, Dc Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58550622 8.170137737, 77.58778743 8.170495111)"
11,T.No-11,,S,,SA+0,20.9,T10-T11,254.6260639,1.57,20,8.170495111,77.58778743,GOOD,AVAILABLE,,POND,PLAIN LAND,", karuveli garden, pond ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58778743 8.170495111, 77.5904398 8.171188667)"
12,T.No-12,,S,,SA+0,20.9,T11-T12,302.365418,1.69,19,8.171188667,77.5904398,GOOD,AVAILABLE,,,WATER LOGGED AREA,water logged Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5904398 8.171188667, 77.59370472 8.171876234)"
13,T.No-13,,T,"15°07'50""RT",SB+0,20.85,T12-T13,367.9578859,2.71,19,8.171876234,77.59370472,GOOD,AVAILABLE,LT LINE ,,WATER LOGGED AREA," water logged area, Lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59370472 8.171876234, 77.59719495 8.171641854)"
14,T.No-14,2W,T,"13°47'50""RT",SB+3,23.85,T13-T14,385.7194261,2.73,19,8.171641854,77.59719495,GOOD,AVAILABLE,"11kv line-2Nos,33kv Line",Road,PLAIN LAND,"   11kv Line, room , fencing, Road ,33kv Line, 11 kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59719495 8.171641854, 77.59926226 8.170783594)"
15,T.No-15,,T,"42°24'21""RT",SD+0,21.65,T14-T15,246.9450151,2.51,17,8.170783594,77.59926226,GOOD,AVAILABLE,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59926226 8.170783594, 77.59911876 8.17103183)"
Gantry (Maharajapuram),,2W,,,,,T15 -GANTRY,31.70185206,,17,8.17103183,77.59911876,GOOD,AVAILABLE,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
