S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC/SC),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Kodayar II SS ),Gantry,H-POLE,12,,,,117,,8.5038099065423,77.3116690199822,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3116690199822 8.5038099065423, 77.3111325781792 8.50366850383579)"
2,1,T,SC,26,Gantry - 1,62.624122533423865,6.54,124,100°29'30''RT,8.50366850383579,77.3111325781792,GOOD,NO E/W,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3111325781792 8.50366850383579, 77.3106871638447 8.50461255759)"
3,2,T,SC,26,1 - 2,116.90112968459239,8.92,122,47°48'31''LT,8.50461255759,77.3106871638447,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3106871638447 8.50461255759, 77.3121348023414 8.50809884257614)"
4,3,T,SC,26,2 - 3,418.89097361692797,10.52,135,16°48'27''RT,8.50809884257614,77.3121348023414,GOOD,Available,LT -3,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3121348023414 8.50809884257614, 77.312463959679 8.5113718919456)"
5,4,T,SC,26,3 - 4,365.4504906127711,-,271,10°47'12''LT,8.5113718919456,77.312463959679,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.312463959679 8.5113718919456, 77.3136263620108 8.51528875529766)"
6,5,T,SC,26,4 - 5,453.3910473286351,-,250,28°28'9''RT,8.51528875529766,77.3136263620108,GOOD,Available,LT,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3136263620108 8.51528875529766, 77.3131266329437 8.51765203289687)"
7,6,T,SC,26,5 - 6,268.7110171896315,-,268,1°42'12''LT,8.51765203289687,77.3131266329437,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3131266329437 8.51765203289687, 77.3124631214886 8.52132624015212)"
8,7,T,SC,26,6 - 7,414.5425583272482,-,249,9°25'5''LT,8.52132624015212,77.3124631214886,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3124631214886 8.52132624015212, 77.3124365508556 8.52318576537072)"
9,8,T,SC,26,7 - 8,207.26450042050385,-,259,5°50'50''LT,8.52318576537072,77.3124365508556,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3124365508556 8.52318576537072, 77.3126770276576 8.52591885253787)"
10,9,T,SC,26,8 - 9,305.05511645378283,-,254,1°2'26''LT,8.52591885253787,77.3126770276576,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3126770276576 8.52591885253787, 77.3129392974078 8.52838564664125)"
11,10,T,SC,26,9 - 10,275.9583440566041,-,265,5°15'31''LT,8.52838564664125,77.3129392974078,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3129392974078 8.52838564664125, 77.3134292196482 8.53083140216767)"
12,11,T,SC,26,10 - 11,277.43382229863204,-,268,53°18'14''RT,8.53083140216767,77.3134292196482,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3134292196482 8.53083140216767, 77.3125454317778 8.53181376121938)"
13, Gantry ( KODAYAR I SS ),T,H-POLE,15,11 -  Gantry ,147.40747190164333,-,243,,8.53181376121938,77.3125454317778,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
