S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC/SC),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Pechiparai SS ),Gantry,H-POLE,12,,,,88,,8.44808458350598,77.3109003156423,GOOD,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3109003156423 8.44808458350598, 77.3108292371034 8.44834710471332)"
2,210,T,DC,26,Gantry  - 210,31.582974576103208,5.71,87,35°2'55''LT,8.44834710471332,77.3108292371034,GOOD,NO E/W,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3108292371034 8.44834710471332, 77.310106633231 8.44894791953265)"
3,211,T,DC,26,210 - 211,105.2107256869925,8.34,97,59°13'34''LT,8.44894791953265,77.310106633231,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.310106633231 8.44894791953265, 77.3085449170321 8.4484015032649)"
4,212,T,DC,26,211 - 212,183.85731698466404,8.11,81,43°52'8''RT,8.4484015032649,77.3085449170321,GOOD,Available,"HT -1, LT -1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3085449170321 8.4484015032649, 77.3080712556838 8.44861649908125)"
5,213,S,DC,26,212 - 213,58.84650634623271,6.39,73,,8.44861649908125,77.3080712556838,GOOD,Available,,CANAL,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3080712556838 8.44861649908125, 77.3074728716164 8.44893635250628)"
6,214,T,DC,26,213 - 214,76.31877211636714,5.78,80,40°59'52''RT,8.44893635250628,77.3074728716164,GOOD,Available,LT,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3074728716164 8.44893635250628, 77.3068930953741 8.4504581708461)"
7,215,T,DC,26,214 - 215,181.58432600488084,1.23,78,3°10'26''LT,8.4504581708461,77.3068930953741,GOOD,Available,HT,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3068930953741 8.4504581708461, 77.3053444549441 8.45393003895878)"
8,216,T,DC,26,215 - 216,421.81528152041705,4.06,91,19°3'49''LT,8.45393003895878,77.3053444549441,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3053444549441 8.45393003895878, 77.3027359228581 8.45671417191624)"
9,217,T,DC,26,216 - 217,422.7663020903758,-,94,32°44'32''LT,8.45671417191624,77.3027359228581,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3027359228581 8.45671417191624, 77.3000805359333 8.45738547854125)"
10,218,T,DC,26,217 - 218,303.30111163454274,3.68,96,31°56'3''RT,8.45738547854125,77.3000805359333,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3000805359333 8.45738547854125, 77.2975676413625 8.45999275334179)"
