SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,3W,T,,KC,24,Gantry (Nadakkavu) - T1,,2.7,18,8.308113949,77.18986295,GOOD,AVAILABLE,,,Plain land," Dc.Line, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18986295 8.308113949, 77.18988576 8.307607022)"
2,2,,T,"23°52'55""RT",PC,21.65,T1-T2,56.13902344,2.42,17,8.307607022,77.18988576,GOOD,AVAILABLE,,,Plain land,"SC line,(BRICK PRODUCTION  land)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18988576 8.307607022, 77.18888227 8.305045532)"
3,3,,T,"16°58'43""RT",PC,21.65,T2-T3,304.196713,2.78,19,8.305045532,77.18888227,GOOD,AVAILABLE,Lt Line,,Agri land,"SCLine ,lt.Line,agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18888227 8.305045532, 77.18782581 8.30371286)"
4,4,,T,"15°24'51""LT",PB,20.85,T3-T4,187.8589403,2.65,16,8.30371286,77.18782581,GOOD,AVAILABLE,Lt Line-2Nos,Cart track,Agri Land,"SCLine,cart track, Lt line,lt line.agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18782581 8.30371286, 77.18674321 8.301157642)"
5,5,,T,"39°52'38""LT",PC,21.65,T4-T5,306.833761,2.47,12,8.301157642,77.18674321,GOOD,AVAILABLE,Lt Line ,Cart track,Agri Land,"SCLine ,lt line, Cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18674321 8.301157642, 77.18703389 8.300210457)"
6,6,,T,"41°41'23""RT",PC,21.65,T5-T6,109.5755821,2.52,17,8.300210457,77.18703389,GOOD,AVAILABLE,,Highway Road,Plain Land,"SCLine,highway road.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18703389 8.300210457, 77.18624734 8.298506521)"
7,7,,T,"13°22'58""LT",PB+3,23.85,T6-T7,207.4835883,2.75,28,8.298506521,77.18624734,GOOD,AVAILABLE,Lt line,Road-2Nos,plain Land,"SCLine,lt Line,Road-2nos,plainLand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18624734 8.298506521, 77.18587551 8.296654609)"
8,8,,T,"59°43'10""RT",PC+3,24.65,T7-T8,208.9394291,2.4,38,8.296654609,77.18587551,GOOD,AVAILABLE,Lt Line,Road,AgriLand,"SCLine,Road.lt line,agri land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18587551 8.296654609, 77.18483783 8.296299303)"
9,9,,T,"54°47'44""LT",PC+3,24.65,T8-T9,120.9173639,2.58,32,8.296299303,77.18483783,GOOD,AVAILABLE,"LtLine, 11Kv Line",Road,Agri Land,"SCLine,compound wall,Road.lt line,11kv Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18483783 8.296299303, 77.18423668 8.294242674)"
10,10,,T,"27°32'36""LT",PB+3,23.85,T9-T10,236.9783191,2.68,33,8.294242674,77.18423668,GOOD,AVAILABLE,Lt Line,Road,Hills Area,"SCLine,Road, lt Line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18423668 8.294242674, 77.18489215 8.290978381)"
11,11,,T,"01°46'59""RT",PB+3,23.85,T10-T11,368.2885559,2.83,30,8.290978381,77.18489215,GOOD,AVAILABLE,Lt Line,Road,Hills Area,"SCLine,Road, lt Line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18489215 8.290978381, 77.18517244 8.289314873)"
12,12,,T,"18°27'38""RT",PB+3,23.85,T11-T12,186.611758,2.9,34,8.289314873,77.18517244,GOOD,AVAILABLE,,,Hills Area,"SCLine,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18517244 8.289314873, 77.18452905 8.285237698)"
13,13,,T,"48°57'08""LT",PC+3,24.65,T12-T13,456.6072762,2.41,17,8.285237698,77.18452905,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"SCLine,road.lt.agri(bananagarden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18452905 8.285237698, 77.18626947 8.283173028)"
14,14,,T,"57°17'12""RT",PC+3,24.65,T13-T14,298.2610353,2.49,18,8.283173028,77.18626947,GOOD,AVAILABLE,11KV Line,Road,Agri Land,"SCLine,Road.11kv line,.agri land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18626947 8.283173028, 77.1857575 8.28159675)"
