S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, PA01 (85A),3W,T,DD+0,28,,,0.58,FALSE,437.956512,,9.8185,77.30544444,Good,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30544444444445 9.8185, 77.30755555555555 9.817666666666666)"
2, PA02,,T,DB+3,28, PA01- PA02,247.9860962,0.4,FALSE,431.754578,"7°12'36""R",9.817666667,77.30755556,Good,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30755555555555 9.817666666666666, 77.30994444444444 9.817027777777778)"
3, PA03,,T,DB+3,28, PA02- PA03,273.695115,0.6,FALSE,426.623566,"5°19'48""L",9.817027778,77.30994444,Good,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30994444444444 9.817027777777778, 77.31205555555556 9.816277777777778)"
4, PA04,,T,DB+3,28, PA03- PA04,245.4211912,8.42,FALSE,420.093903,"0°48'36""R",9.816277778,77.31205556,Good,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31205555555556 9.816277777777778, 77.31441666666666 9.815444444444445)"
5, PA05,,S,DA+0,26, PA04- PA05,274.8532553,0.5,FALSE,413.477081,,9.815444444,77.31441667,Good,Available,LT- 2No,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31441666666666 9.815444444444445, 77.31588888888889 9.814972222222224)"
6, PA06,,T,DB+3,28, PA05- PA06,169.9384386,1.18,FALSE,412.507935,"5°55'48""R",9.814972222,77.31588889,Good,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31588888888889 9.814972222222224, 77.31830555555555 9.814444444444446)"
7, PA07,,T,DC+3,28, PA06- PA07,271.9343081,4.16,FALSE,411.638947,"27°55'48""R",9.814444444,77.31830556,Good,Available,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31830555555555 9.814444444444446, 77.32058333333333 9.815055555555556)"
8, PA08,,T,DB+0,28, PA07- PA08,258.9623476,1.16,FALSE,407.790344,"14°18'36""L",9.815055556,77.32058333,Good,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32058333333333 9.815055555555556, 77.32111111111111 9.815055555555556)"
9,Palayam S/S,2W,T,H-Pole,12, PA08- H-Pole,59.15603094,,,408.875031,,9.815055556,77.32111111,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
