SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,KARANTHANERI,2W,,,,,,,,97,8.545337431,77.6689836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66898360430095 8.54533743127129, 77.66855612783063 8.545398778833619)"
1,1,,T,"19°01'36""LT",HC+3,24.94,Gantry (Karanthaneri) - T1,47.57985671,2.78,96,8.545398779,77.66855613,GOOD,NOT AVAILABLE,,,,"Dc line GANTRY Karanthanri to T1  earth wire not available, fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66855612783063 8.545398778833619, 77.66620147933216 8.544825246803871)"
2,2,,S,,GC+3,26.62,T1-T2,267.0552708,1.43,98,8.544825247,77.66620148,GOOD,AVAILABLE,11KV LINE-2NOS,ROAD,PLAIN LAND,"Dc line, Road , 2nos 11kv line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66620147933216 8.544825246803871, 77.6637445810244 8.544393626080124)"
3,3,,S,,GC,23.62,T2-T3,274.8489638,2.76,98,8.544393626,77.66374458,GOOD,AVAILABLE,11KV LINE-1NO,,PLAIN LAND,"Dc line, 1nos 11kv line, plot , plot Road ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6637445810244 8.544393626080124, 77.66131918885168 8.543931500235551)"
4,4,,S,,GC,23.62,T3-T4,272.0458777,2.42,98,8.5439315,77.66131919,GOOD,AVAILABLE,,,PLAIN LAND,"Dc line, plot , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66131918885168 8.543931500235551, 77.65885826146041 8.543542973810332)"
5,5,,S,,GC,23.62,T4-T5,274.4980936,2.54,100,8.543542974,77.65885826,GOOD,AVAILABLE,,ODAI (NALA),PLAIN LAND,"Dc line, plot, Odai(nala) ,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65885826146041 8.543542973810332, 77.65638358828815 8.54308980022639)"
6,6,,S,,GC,23.62,T5-T6,277.1985036,2.63,101,8.5430898,77.65638359,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line, plot, cart track,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65638358828815 8.54308980022639, 77.65396926610129 8.542638281018718)"
7,7,,S,,GC,23.62,T6-T7,270.628245,2.7,104,8.542638281,77.65396927,GOOD,AVAILABLE,,,PLAIN LAND,"Dc line, plot , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65396926610129 8.542638281018718, 77.65153482924376 8.542149953031574)"
8,8,,S,,GC,23.62,T7-T8,273.5817661,2.26,104,8.542149953,77.65153483,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line, cart track , plot , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65153482924376 8.542149953031574, 77.64913894483924 8.541710037943764)"
9,9,,S,,GC+3,26.62,T8-T9,268.3958704,2.58,102,8.541710038,77.64913894,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"Dc line, Road (thelalikulam - menavankulam), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64913894483924 8.541710037943764, 77.6465888292157 8.541173313012568)"
