SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,OTTAPIDARAM ,2W,,,,14,,,,46,8.904227184,78.02034359,AVAILABLE,,,,Ottapidaram Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.020343594253 8.90422718420561, 78.0203898623585 8.903926753457)"
1,1,,T,"16°90'52""LT",PB,20.85,OTTAPIDARAM - T1,33.64675357,39.78,45,8.903926753,78.02038986,AVAILABLE,LT LINE,,PLAIN LAND,"Sc line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0203898623585 8.903926753457, 78.0202705040574 8.90310296909074)"
2,2,,S,,PA,20.9,T1-T2,92.13755719,36.43,45,8.903102969,78.0202705,AVAILABLE,11KV LINE-2NOS,CART TRACK,PLAIN LAND,"Sc line,11kv line-2Nos, cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0202705040574 8.90310296909074, 78.0206855759024 8.90143850165177)"
3,3,,S,,PA,20.9,T2-T3,189.8432434,39.76,45,8.901438502,78.02068558,AVAILABLE,11KV LINE,CART TRACK,PLAIN LAND,"Sc line,11kv line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0206855759024 8.90143850165177, 78.0207217857241 8.90023080571024)"
4,4,,S,,PA,20.9,T3-T4,133.7566586,41.42,47,8.900230806,78.02072179,AVAILABLE,,,PLAIN LAND,"Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0207217857241 8.90023080571024, 78.0207432433962 8.89818374204733)"
5,5,,S,,PA,20.9,T4-T5,226.6296386,39.54,47,8.898183742,78.02074324,AVAILABLE,,,PLAIN LAND,"Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0207432433962 8.89818374204733, 78.0207667127251 8.89653713932519)"
6,6,,T,"77°98'57""RT",PC,21.65,T5-T6,182.3024159,35.63,49,8.896537139,78.02076671,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0207667127251 8.89653713932519, 78.0230482667684 8.89612838586226)"
7,7,,S,,PA,20.9,T6-T7,255.222656,39.7,47,8.896128386,78.02304827,AVAILABLE,11KV LINE,,AGRI LAND,"Sc line,11kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0230482667684 8.89612838586226, 78.0252466723322 8.89574580015721)"
8,8,,T,"05°43'27""RT",PB+3,23.85,T7-T8,245.7022625,41.26,39,8.8957458,78.02524667,AVAILABLE,"33KV LINE, 11KV LINE, LT LINE",ROAD,AGRI LAND,"Sc line,road,33kv line,11kv line,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0252466723322 8.89574580015721, 78.0271580815315 8.89559640944002)"
9,9,,T,"23°00'43""RT",PB,20.85,T8-T9,211.0785259,39.58,39,8.895596409,78.02715808,AVAILABLE,,,WATER LOGGED AREA,"Sc line,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0271580815315 8.89559640944002, 78.0295626819133 8.89639702372441)"
10,10,,T,"27°78'05""RT",PB,20.85,T9-T10,279.167085,38.4,39,8.896397024,78.02956268,AVAILABLE,"LT LINE, 33KV LINE",CART TRACK,PLAIN LAND,"Sc line,cart track,lt line,33kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0295626819133 8.89639702372441, 78.0309101566672 8.89779883980129)"
11,11,,S,,PA,20.9,T10-T11,214.6811244,39.52,38,8.89779884,78.03091016,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0309101566672 8.89779883980129, 78.0327032133936 8.89972500318112)"
12,12,,S,,PA,20.9,T11-T12,290.5730939,42.74,38,8.899725003,78.03270321,AVAILABLE,11KV LINE,CART TRACK,AGRI LAND,"Sc line,11kv line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0327032133936 8.89972500318112, 78.0346800014376 8.90180882560969)"
13,13,,S,,PA,20.9,T12-T13,317.1352186,39.46,40,8.901808826,78.03468,AVAILABLE,,,PLAIN LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0346800014376 8.90180882560969, 78.0366681888699 8.90394066536039)"
14,14,,T,"02°60'63""RT",PB,20.85,T13-T14,321.8726095,39.59,42,8.903940665,78.03666819,AVAILABLE,11KV LINE,,AGRI LAND,"Sc line,11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0366681888699 8.90394066536039, 78.038513213396 8.90610892840684)"
15,15,,S,,PA,20.9,T14-T15,314.4359294,40.72,41,8.906108928,78.03851321,AVAILABLE,33KV LINE,,AGRI LAND,"Sc line,cart track ,33kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.038513213396 8.90610892840684, 78.0402700603008 8.90823246229116)"
16,16,,S,,PA,20.9,T15-T16,304.4136339,39.89,41,8.908232462,78.04027006,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0402700603008 8.90823246229116, 78.0421083793044 8.91040401218272)"
17,17,,S,,PA,20.9,T16-T17,314.2349549,37.49,41,8.910404012,78.04210838,AVAILABLE,33KV LINE,CART TRACK,AGRI LAND,"Sc line,cart track,33kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0421083793044 8.91040401218272, 78.0438598617911 8.91253580181278)"
18,18,,S,,PA,20.9,T17-T18,304.7431962,38.53,40,8.912535802,78.04385986,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0438598617911 8.91253580181278, 78.0454933270812 8.91447745519211)"
19,19,2W,T,"27°16'77""LT",PB+3,23.85,T18-T19,280.2421989,35.82,40,8.914477455,78.04549333,AVAILABLE,"33KV LINE, 400KV LINE",ROAD,PLAIN LAND,"Sc line,33kv line,road,400kv line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0454933270812 8.91447745519211, 78.0473282933235 8.91524888029062)"
20,20,,S,,PA,20.9,T19-T20,219.3085589,38.71,37,8.91524888,78.04732829,AVAILABLE,,,AGRI LAND,"Sc line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0473282933235 8.91524888029062, 78.0494398623704 8.91615577469465)"
21,21,,S,,PA,20.9,T20-T21,253.2006766,48.38,36,8.916155775,78.04943986,AVAILABLE,,,AGRI LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0494398623704 8.91615577469465, 78.0516634136438 8.91715574074945)"
22,22,,S,,PA,20.9,T21-T22,268.6411968,38.54,38,8.917155741,78.05166341,AVAILABLE,33KV LINE,,AGRI LAND,"Sc line,33kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0516634136438 8.91715574074945, 78.0539650842547 8.91811032652531)"
23,23,,T,"05°66'00""LT",PB,20.85,T22-T23,274.5248613,37.76,36,8.918110327,78.05396508,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0539650842547 8.91811032652531, 78.0562865361571 8.91881516827237)"
24,24,,S,,PA,20.9,T23-T24,267.1953494,38.84,35,8.918815168,78.05628654,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0562865361571 8.91881516827237, 78.0583883821964 8.91946866929681)"
25,25,,S,,PA,20.9,T24-T25,242.4188903,39.85,35,8.919468669,78.05838838,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0583883821964 8.91946866929681, 78.0607148632407 8.9201668839999)"
26,26,,T,"05°66'00""LT",PB,20.85,T25-T26,267.5099246,40.36,31,8.920166884,78.06071486,AVAILABLE,LT LINE,,PLAIN LAND,"Sc line,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0607148632407 8.9201668839999, 78.0611731857061 8.92025366391239)"
27,27,,DP,"75°15'98""RT",DP,8,T26-T27,51.35845933,38.84,31,8.920253664,78.06117319,AVAILABLE,230KV BRIDGE TOWER,,AGRI LAND,"Sc line,230kv bridge tower,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0611731857061 8.92025366391239, 78.0611715093255 8.92016357178909)"
