,Tower No,Joint box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY PAPANASAM 110KV SS,2W,GANTRY, ,20,,,,98,,8.70712894,77.3623906,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3623906 8.70712894, 77.36309107 8.70729631)"
2,T.NO-1,2W,DC,T,26,GANTRY-1,79.30952024,4.37,94,"21°57'59.11""",8.70729631,77.36309107,GOOD,MISSING,NO,,,INSIDE SUBSTATION,NO EARTH WIRE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36309107 8.70729631, 77.3649615 8.70862227)"
3,T.NO-2,,DB,T,24,01-Feb,252.8418478,16.11,166,"5°21'30.52""",8.70862227,77.3649615,GOOD,GOOD,NO,,,ROCK HILLY FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3649615 8.70862227, 77.36547294 8.70906194)"
4,T.NO-3,,DD,T,28,02-Mar,74.41102069,15.38,165,"36°17'6.96""",8.70906194,77.36547294,GOOD,GOOD,NO,,,ROCK HILLY FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36547294 8.70906194, 77.36590253 8.7109301)"
5,T.NO-4,,DB,T,24,03-Apr,212.0495225,1.87,84,"1°51'9.31""",8.7109301,77.36590253,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36590253 8.7109301, 77.36646082 8.71304147)"
6,T.NO-5,,DA,S,26,04-May,241.5698657,16.06,95,,8.71304147,77.36646082,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36646082 8.71304147, 77.36705483 8.71505321)"
7,T.NO-6,,DD,T,28,05-Jun,232.0021552,5.55,85,"42°19'33.63""",8.71505321,77.36705483,GOOD,GOOD,NO,LT,"TAAR ROAD,NALA,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36705483 8.71505321, 77.36869612 8.71604617)"
8,T.NO-7,,DD,T,28,06-Jul,211.4734026,5.06,86,"56°9'52.22""",8.71604617,77.36869612,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36869612 8.71604617, 77.36872787 8.71675996)"
9,T.NO-8,,DD,T,28,07-Aug,79.0569415,5.65,85,"40°43'1.78""",8.71675996,77.36872787,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36872787 8.71675996, 77.37016357 8.71827839)"
10,T.NO-9,,DA,S,26,08-Sep,230.6729286,15.79,81,,8.71827839,77.37016357,GOOD,MISSING,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37016357 8.71827839, 77.37193707 8.72006583)"
11,T.NO-10 LILO 110KV VIKRAMASINGAPURAM ,3W,DB,T,30,09-Oct,277.9154548,7,83,"14°53'35.47""",8.72006583,77.37193707,GOOD,GOOD,NO,11KV,,CULTIVATION,NEED 3WAY JUNCTION BOX.2 EARTH WIRE.ONE EARTH WIRE CONTINUE TO OUT T.NO-11 ANOTHER EARTH WIRE CONNECT TO V.S PURAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37193707 8.72006583, 77.37333315 8.72249731)"
12,T.NO-11,,DB,T,30,10-Nov,309.8451226,16.11,115,"10°22'39.94""",8.72249731,77.37333315,GOOD,GOOD,NO,LT,"RIVER CROSSING,TAAROAD",HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37333315 8.72249731, 77.37419344 8.72351319)"
13,T.NO-12,,DB,T,24,11-Dec,146.9863939,8.89,98,"10°48'15.43""",8.72351319,77.37419344,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37419344 8.72351319, 77.3753256 8.72442796)"
14,T.NO-13,,DB,T,24,Dec-13,160.5615147,1.21,91,"3°31'35.87""",8.72442796,77.3753256,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3753256 8.72442796, 77.37692452 8.7258911)"
15,T.NO-14,,DA,S,26,13-14,239.1526709,1.3,96,,8.7258911,77.37692452,GOOD,GOOD,NO,,"NAA,MUD ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37692452 8.7258911, 77.37802979 8.72686025)"
16,T.NO-15,,DA,S,26,14-15,162.1881623,14.93,97,,8.72686025,77.37802979,GOOD,GOOD,NO,33KV,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37802979 8.72686025, 77.38004914 8.72872743)"
17,T.NO-16,,DD,T,28,15-16,303.4880558,2.91,94,"48°21'42.10""",8.72872743,77.38004914,GOOD,GOOD,NO,"LT,11KV",POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38004914 8.72872743, 77.38198283 8.72854357)"
18,T.NO-17,,DA,S,26,16-17,213.8457388,7.24,119,,8.72854357,77.38198283,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38198283 8.72854357, 77.38371736 8.72846941)"
19,T.NO-18,,DA,S,26,17-18,191.1282292,6.19,107,,8.72846941,77.38371736,GOOD,GOOD,NO,11KV ,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38371736 8.72846941, 77.38526942 8.72826986)"
20,T.NO-19,,DB,T,24,18-19,172.2846482,2.58,106,"12°52'15.12""",8.72826986,77.38526942,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38526942 8.72826986, 77.38721454 8.72845645)"
21,T.NO-20,,DA,S,26,19-20,215.127869,15.21,106,,8.72845645,77.38721454,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38721454 8.72845645, 77.38926888 8.7286785)"
22,T.NO-21,,DC,T,26,20-21,227.4906591,15.42,107,"20°6'13.70""",8.7286785,77.38926888,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38926888 8.7286785, 77.39100116 8.72825185)"
23,T.NO-22,,DC,T,26,21-22,196.4611921,17.19,104,"29°38'26.12""",8.72825185,77.39100116,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39100116 8.72825185, 77.39158807 8.72769685)"
24,T.NO-23,,DD,T,28,22-23,89.14033879,16.75,104,"31°19'2.30""",8.72769685,77.39158807,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39158807 8.72769685, 77.39266754 8.7274641)"
25,T.NO-24,2W,DC,T,26,23-24,121.5976973,15.5,104,"16°59'8.55""",8.7274641,77.39266754,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39266754 8.7274641, 77.39459431 8.72762366)"
26,T.NO-25,,DA,S,26,24-25,212.8497122,10,103,,8.72762366,77.39459431,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39459431 8.72762366, 77.39660218 8.72768328)"
27,T.NO-26,,DA,S,26,25-26,221.144749,5.31,110,,8.72768328,77.39660218,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39660218 8.72768328, 77.39868313 8.72780569)"
28,T.NO-27,,DA,S,26,26-27,229.4907406,3.14,110,,8.72780569,77.39868313,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39868313 8.72780569, 77.40081834 8.72789159)"
29,T.NO-28,,DA,S,26,27-28,235.2573059,17.11,117,,8.72789159,77.40081834,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40081834 8.72789159, 77.4036805 8.72801806)"
30,T.NO-29,,DD,T,28,28-29,315.4060874,2.71,109,"33°9'32.31""",8.72801806,77.4036805,GOOD,GOOD,NO,,"TAAR ROAD, MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4036805 8.72801806, 77.40525921 8.72914679)"
31,T.NO-30,,DA,S,26,29-30,214.021027,15.04,98,,8.72914679,77.40525921,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40525921 8.72914679, 77.40683792 8.73027551)"
32,T.NO-31,,DC,T,26,30-31,214.021027,1.76,98,"20°55'22.34""",8.73027551,77.40683792,GOOD,GOOD,NO,,"TAARROAD, NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40683792 8.73027551, 77.4088215 8.73079613)"
33,T.NO-32,,DA,S,26,31-32,225.8428657,3.84,91,,8.73079613,77.4088215,GOOD,MISSING,NO,LT,MUDTOAD,CULTIVATION, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4088215 8.73079613, 77.41094029 8.7311532)"
34,T.NO-33,,DA,S,26,32-33,236.5797963,AT PRESENT WATER,88,,8.7311532,77.41094029,GOOD,MISSING,NO,LT,,WATER LOGGED, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41094029 8.7311532, 77.41324313 8.73187962)"
35,T.NO-34,,DA,S,26,33-34,265.9567634,5.87,84,,8.73187962,77.41324313,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41324313 8.73187962, 77.41533561 8.73238144)"
36,T.NO-35,,DA,S,26,34-35,236.9578022,11.48,84,,8.73238144,77.41533561,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41533561 8.73238144, 77.4176469 8.73300836)"
37,T.NO-36,,DC,T,35,35-36,263.736611,2.83,80,"25°42'54.25""",8.73300836,77.4176469,GOOD,GOOD,YES,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4176469 8.73300836, 77.41840507 8.73366326)"
38,T.NO-37,2W,DD,T,37,36-37,110.5350623,8.14,80,"41°19'55.96""",8.73366326,77.41840507,GOOD,GOOD,YES,,NON ELECTRICAL RAILWAY CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41840507 8.73366326, 77.4195859 8.73365573)"
39,T.NO-38,,DC,T,26,37-38,130,3.34,78,"29°1'23.55""",8.73365573,77.4195859,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4195859 8.73365573, 77.42099883 8.73442393)"
40,T.NO-39,,DA,S,26,38-39,177.2596965,8.79,81,,8.73442393,77.42099883,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42099883 8.73442393, 77.42324941 8.73549404)"
41,T.NO-40,,DA,S,26,39-40,274.6069919,4.05,74,,8.73549404,77.42324941,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42324941 8.73549404, 77.42545471 8.7365825)"
42,T.NO-41,,DA,S,26,40-41,271.0129148,4.1,76,,8.7365825,77.42545471,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42545471 8.7365825, 77.42672179 8.73727027)"
43,T.NO-42,,DB,T,24,41-42,158.9024858,1.82,76,"3°10'55.69""",8.73727027,77.42672179,GOOD,GOOD,NO,,"POND,TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42672179 8.73727027, 77.42892681 8.73831352)"
44,T.NO-43,,DA,S,26,42-43,268.7991815,15.53,73,,8.73831352,77.42892681,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42892681 8.73831352, 77.43092269 8.73932194)"
45,T.NO-44,,DA,S,26,43-44,246.4345755,4.56,71,,8.73932194,77.43092269,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43092269 8.73932194, 77.4332008 8.74042795)"
46,T.NO-45,,DA,S,26,44-45,279.062717,2.96,71,,8.74042795,77.4332008,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4332008 8.74042795, 77.4354246 8.7415614)"
47,T.NO-46,,DA,S,26,45-46,275.0727177,10.43,72,,8.7415614,77.4354246,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4354246 8.7415614, 77.43774827 8.74268516)"
48,T.NO-47,,DA,S,32,46-47,284.431011,6.98,73,,8.74268516,77.43774827,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43774827 8.74268516, 77.43948006 8.74358678)"
49,T.NO-48,,DA,S,32,47-48,215.1766716,2.13,72,,8.74358678,77.43948006,GOOD,GOOD,NO,,"RIVER CROSSING, MUD ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43948006 8.74358678, 77.44143044 8.74457735)"
50,T.NO-49,2W,DB,T,24,48-49,241.0746772,4.23,73,"0°56'32.83""",8.74457735,77.44143044,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44143044 8.74457735, 77.44369952 8.74568334)"
51,T.NO-50,,DA,S,26,49-50,278.1672159,4.78,74,,8.74568334,77.44369952,GOOD,MISSING,NO,LT,"MUDROAD, CANAL",CULTIVATION, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44369952 8.74568334, 77.44593222 8.7467805)"
52,T.NO-51,,DA,S,26,50-51,274.1422988,7.2,70,,8.7467805,77.44593222,GOOD,MISSING,NO,,,CULTIVATION, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44593222 8.7467805, 77.44823807 8.74794948)"
53,T.NO-52,,DA,S,26,51-52,284.9034924,5.47,69,,8.74794948,77.44823807,GOOD,MISSING,NO,,,CULTIVATION, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44823807 8.74794948, 77.45068962 8.74917172)"
54,T.NO-53,,DA,S,26,52-53,301.8774586,3.73,68,,8.74917172,77.45068962,GOOD,MISSING,NO,,,CULTIVATION, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45068962 8.74917172, 77.45319557 8.75037551)"
55,T.NO-54,,DA,S,26,53-54,306.3494736,16.31,82,,8.75037551,77.45319557,GOOD,MISSING,NO,LT,2nos TAAR ROAD,ROCK, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45319557 8.75037551, 77.45514601 8.75136599)"
56,T.NO-55,,DA,S,26,54-55,241.0746772,15.66,73,,8.75136599,77.45514601,GOOD,MISSING,NO,LT,TAAR ROAD,PLAIN LAND, EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45514601 8.75136599, 77.45709723 8.75247394)"
57,T.NO-56 LILO 110KV KADAYAM,3W,DD,T,28,55-56,247.3297394,3.94,87,"49°23'25.80""",8.75247394,77.45709723,GOOD,MISSING,NO,LT,TAAR ROAD,PLAIN LAND,NEED 3WAY JUNCTION BOX. EARTH WIRE FALL DOWN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45709723 8.75247394, 77.4592451 8.75170989)"
58,T.NO-57,,DA,S,26,56-57,251.1135201,16.27,71,,8.75170989,77.4592451,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4592451 8.75170989, 77.46100426 8.75123755)"
59,T.NO-58,,DA,S,26,57-58,200.5916249,17.68,70,,8.75123755,77.46100426,GOOD,GOOD,NO,"LT,11KV","2nos TAAR ROAD,CANAL",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46100426 8.75123755, 77.46367016 8.7505153)"
60,T.NO-59,,DA,S,26,58-59,304.1710045,8.12,68,,8.7505153,77.46367016,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46367016 8.7505153, 77.46598208 8.74984052)"
61,T.NO-60,,DA,S,26,59-60,265.2432846,INSIDE POND,70,,8.74984052,77.46598208,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46598208 8.74984052, 77.46869319 8.74909083)"
62,T.NO-61,,DB,T,24,60-10,309.7773394,AT PRESENT WATER,69,"5°32'47.17""",8.74909083,77.46869319,GOOD,GOOD,NO,,,CULTIVATION,NEED 3WAY JUNCTION BOX.2 EARTH WIRE.ONE EARTH WIRE CONTINUE TO OUR T.NO-62  AND ANOTHER EARTH WIRE CONNECT TO AMBAI 110KV LILO T.NO-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46869319 8.74909083, 77.46984391 8.74864954)"
63,T.NO-1- LILO 110KV AMBAI,3W,DB,T,24,10--11,135.7681848,3.1,69,"11°22'9.21""",8.74864954,77.46984391,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46984391 8.74864954, 77.47116865 8.748424)"
64,T.NO-62,,DA,S,26,Nov-61,147.9594539,AT PRESENT WATER,69,,8.748424,77.47116865,GOOD,MISSING,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47116865 8.748424, 77.47362599 8.74776631)"
65,T.NO-63,,DA,S,26,61-62,280.1463903,AT PRESENT WATER,70,,8.74776631,77.47362599,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47362599 8.74776631, 77.4751671 8.74729534)"
66,T.NO-64,,DA,S,26,62-63,177.4852107,AT PRESENT WATER,69,,8.74729534,77.4751671,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4751671 8.74729534, 77.47660877 8.74689732)"
67,T.NO-65,,DA,S,26,63-64,164.7118696,AT PRESENT WATER,71,,8.74689732,77.47660877,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47660877 8.74689732, 77.47920227 8.74622967)"
68,T.NO-66,,DA,S,26,64-65,294.923719,4.35,70,,8.74622967,77.47920227,GOOD,GOOD,NO,,"NALA,POND",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47920227 8.74622967, 77.48136012 8.74561908)"
69,T.NO-67,,DB,T,24,65-66,246.9817807,AT PRESENT WATER,65,"6°38'28.74""",8.74561908,77.48136012,GOOD,GOOD,NO,LT,"TAAR ROAD,2nos NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48136012 8.74561908, 77.48415486 8.74516697)"
70,T.NO-68,,DA,S,26,66-67,311.7178211,4.86,65,,8.74516697,77.48415486,GOOD,GOOD,NO,,,CULTIVATION,EARTH WIRE OVER SAG FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48415486 8.74516697, 77.48668648 8.74476175)"
71,T.NO-69,,DA,S,26,67-68,282.2941728,10.55,67,,8.74476175,77.48668648,GOOD,GOOD,NO,"11KV,LT","TAAR ROAD,2nos NALA",CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48668648 8.74476175, 77.48939975 8.74435533)"
72,T.NO-70,2W,DA,S,26,68-69,302.0761493,9.02,65,,8.74435533,77.48939975,GOOD,GOOD,NO,,,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48939975 8.74435533, 77.49183149 8.74395978)"
73,T.NO-71,,DA,S,26,69-70,271.2710821,3.47,68,,8.74395978,77.49183149,GOOD,GOOD,NO,,"POND ,MUDROAD",CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49183149 8.74395978, 77.49431784 8.74358193)"
74,T.NO-72,,DA,S,26,70-71,276.9043156,3.1,66,,8.74358193,77.49431784,GOOD,GOOD,NO,,,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49431784 8.74358193, 77.49658638 8.74323261)"
75,T.NO-73,,DB,T,24,71-72,252.7231687,4.18,64,"0°48'49.28""",8.74323261,77.49658638,GOOD,GOOD,NO,,POND,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49658638 8.74323261, 77.4991541 8.74279997)"
76,T.NO-74,,DA,S,26,72-73,286.7141434,6.48,61,,8.74279997,77.4991541,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4991541 8.74279997, 77.50167675 8.74242183)"
77,T.NO-75,,DA,S,26,73-74,280.8629559,6.6,62,,8.74242183,77.50167675,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50167675 8.74242183, 77.50418099 8.74200765)"
78,T.NO-76,,DA,S,26,74-75,279.4852411,7.67,60,,8.74200765,77.50418099,GOOD,GOOD,NO,,,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50418099 8.74200765, 77.50648618 8.74171226)"
79,T.NO-77,,DC,T,26,75-76,255.8847397,2.12,60,"21°49'17.14""",8.74171226,77.50648618,GOOD,GOOD,NO,LT,,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50648618 8.74171226, 77.50905629 8.74028548)"
80,T.NO-78,,DA,S,32,76-77,324.0246904,6.64,59,,8.74028548,77.50905629,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50905629 8.74028548, 77.51097393 8.73908894)"
81,T.NO-1 LILO 110KV O.T PATTY,3W,DB,T,30,77-78,249.2087478,10.54,59,"2°30'38.04""",8.73908894,77.51097393,GOOD,GOOD,NO,LT ,"MUDROAD, RIVER CROSSING",PLAIN LAND,NEED 3 WAY JUNCTION BOX .2EARTH WIRE.ONE EARTH WIRE CONTINUE TO OUT T.NO-79 ANOTHER EARTH WIRE CONNECT TO 110KV O.T.PATTY TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51097393 8.73908894, 77.5133538 8.73774474)"
82,T.NO-79,,DA,S,26,78-79,301.2938765,8.86,,,8.73774474,77.5133538,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5133538 8.73774474, 77.5151635 8.73671157)"
83,T.NO-80,,DA,S,26,79-80,229.7150409,8.13,56,,8.73671157,77.5151635,GOOD,GOOD,NO,LT,TAARROAD,CULTIVATION,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5151635 8.73671157, 77.51739826 8.73540446)"
