,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV AMBAI,2W,GANTRY,GANTRY,20,,,,72,,8.71971967,77.453422,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.453422 8.71971967, 77.45331437 8.71992822)"
2,T.NO-19,,DD,T,28,GANTRY-19,25.94224354,3.15,76,"95°36'14.80""",8.71992822,77.45331437,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45331437 8.71992822, 77.45392451 8.72016828)"
3,T.NO-18,,DD,T,28,19-18,72.23572523,2.63,72,"89°58'10.28""",8.72016828,77.45392451,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45392451 8.72016828, 77.45331685 8.72169951)"
4,T.NO-17,,DB,T,24,18-17,182.1675053,2.19,73,"1°8'17.72""",8.72169951,77.45331685,GOOD,GOOD,NO,,,WATER LOGGED,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45331685 8.72169951, 77.45255803 8.72372876)"
5,T.NO-16,,DA,S,29,17-16,239.585058,4.15,74,,8.72372876,77.45255803,GOOD,GOOD,NO,,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45255803 8.72372876, 77.45196853 8.72525987)"
6,T.NO-15,,DD,T,31,16-15,181.4304274,5.07,75,"43°54'42.61""",8.72525987,77.45196853,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45196853 8.72525987, 77.45274342 8.72708039)"
7,T.NO-14,,DA,S,29,15-14,218.7692849,3.35,74,,8.72708039,77.45274342,GOOD,GOOD,NO,LT ,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45274342 8.72708039, 77.45369295 8.72921607)"
8,T.NO-13,,DA,S,26,14-13,258.4143959,15.63,68,,8.72921607,77.45369295,GOOD,GOOD,NO,LT ,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45369295 8.72921607, 77.45451369 8.73109955)"
9,T.NO-12,,DA,S,26,13-12,227.160736,7.52,69,,8.73109955,77.45451369,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45451369 8.73109955, 77.45536192 8.73301899)"
10,T.NO-11,,DA,S,26,12-11,232.0193957,4.15,69,,8.73301899,77.45536192,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45536192 8.73301899, 77.45622886 8.73501964)"
