,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV O.T PATTI,2W,GANTRY,GANTRY,20,,,,75,,8.76273729,77.50842555,GOOD,,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50842555 8.76273729, 77.50875176 8.76261765)"
2,T.NO-14,,DB,T,24,GANTRY-14,38.27531842,3.21,71,"3°2'33.32""",8.76261765,77.50875176,GOOD,MISSING,YES,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50875176 8.76261765, 77.51127185 8.76184181)"
3,T.NO-13,,DA,S,26,14-13,290.4134983,7.84,70,,8.76184181,77.51127185,GOOD,GOOD,YES,,BOND,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51127185 8.76184181, 77.51388263 8.76104728)"
4,T.NO-12,,DD,T,34,13-Dec,300.5661325,5.15,70,"57°34'16.60""",8.76104728,77.51388263,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51388263 8.76104728, 77.51454778 8.75864809)"
5,T.NO-11,,DA,S,32,12-Nov,275.4087871,4.95,70,,8.75864809,77.51454778,GOOD,GOOD,NO,110KV SC CROSSING BELOW OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51454778 8.75864809, 77.5152314 8.75629396)"
6,T.NO-10,,DD,T,31,11-Oct,271.162313,2.71,70,"35°51'3.28""",8.75629396,77.5152314,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5152314 8.75629396, 77.51432431 8.75377871)"
7,T.NO-9,,DA,S,26,10-Sep,295.7110076,2.98,67,,8.75377871,77.51432431,GOOD,MISSING,NO,,MUDROAD,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51432431 8.75377871, 77.51336146 8.75107406)"
8,T.NO-8,,DB,T,24,09-Aug,317.515354,2.69,62,"2°17'7.63""",8.75107406,77.51336146,GOOD,MISSING,NO,11KV,BOND,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51336146 8.75107406, 77.51245616 8.74882085)"
9,T.NO-7,,DA,S,26,08-Jul,268.5218799,4.15,60,,8.74882085,77.51245616,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51245616 8.74882085, 77.5115232 8.74650457)"
10,T.NO-6,,DA,S,26,07-Jun,276.1340254,3.86,61,,8.74650457,77.5115232,GOOD,GOOD,NO,11KV,"MUDROAD,NALA",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5115232 8.74650457, 77.51063506 8.74409762)"
11,T.NO-5,,DC,T,26,06-May,283.7340304,3.55,60,"21°15'27.12""",8.74409762,77.51063506,GOOD,GOOD,NO,LT,BOND,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51063506 8.74409762, 77.51069574 8.74095238)"
12,T.NO-4,,DB,T,24,05-Apr,348.1163599,2.23,55,"3°49'25.15""",8.74095238,77.51069574,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD (SH),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51069574 8.74095238, 77.51080535 8.73968649)"
13,T.NO-3,,DC,T,26,04-Mar,140.6022759,1.88,58,"19°2'9.53""",8.73968649,77.51080535,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51080535 8.73968649, 77.51097538 8.73930582)"
14,T.NO-2,,DC,T,26,03-Feb,46.09772229,4.09,58,"29°18'38.99""",8.73930582,77.51097538,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51097538 8.73930582, 77.51095582 8.7390981)"
15,T.NO-1 LILO 110KV O.T PATTI,3W,DB,T,24,02-Jan,23.08679276,3.72,55,,8.7390981,77.51095582,GOOD,GOOD,NO,,,PLAINLAND,NEED 3WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 CONTIONUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECT WITH PAPANASAM -KAYATHAR TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
