S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Melakallur SS),Gantry,DP,12,,,,69.0900879999999,,8.71849902905523,77.5900539848953,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5900539848953 8.71849902905523, 77.5896509829908 8.71861000545322)"
2,1,T,DC,26,Gantry-1,46.04203600985071,1.8,70.104889,"3°39'21"" L",8.71861000545322,77.5896509829908,GOOD,NO E/W,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5896509829908 8.71861000545322, 77.5889159739017 8.71876297518611)"
3,2,T,DC,26,"=B7&"" - ""&B8",82.68205742092569,1.27,68.4451899999999,"33°15'24"" R",8.71876297518611,77.5889159739017,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5889159739017 8.71876297518611, 77.5885259639471 8.7191519793123)"
4,3,T,DC,26,"=B8&"" - ""&B9",60.80627715565993,0.97,69.068932,"35°31'14"" L",8.7191519793123,77.5885259639471,GOOD,Available,,,PLAIN,Common tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5885259639471 8.7191519793123, 77.5861480180174 8.71955003589391)"
5,4,S,DC,26,"=B9&"" - ""&B10",265.5102041941928,2.03,67.659554,,8.71955003589391,77.5861480180174,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5861480180174 8.71955003589391, 77.5838340260088 8.71992202475667)"
6,5,S,DC,26,"=B10&"" - ""&B11",258.09206528250473,3.8,67.203789,,8.71992202475667,77.5838340260088,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5838340260088 8.71992202475667, 77.5814369693398 8.72032301500439)"
7,6,S,DC,26,"=B11&"" - ""&B12",267.63763807170653,2.64,66.766586,,8.72032301500439,77.5814369693398,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5814369693398 8.72032301500439, 77.579124988988 8.72070196084678)"
8,7,S,DC,26,"=B12&"" - ""&B13",257.9959708141087,1.72,67.2904589999999,,8.72070196084678,77.579124988988,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.579124988988 8.72070196084678, 77.5770679861307 8.72108199633657)"
9,8,T,DC,26,"=B13&"" - ""&B14",230.36115626239422,3.17,66.2277299999999,"35°52'42"" L",8.72108199633657,77.5770679861307,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5770679861307 8.72108199633657, 77.5744469650089 8.7198460008949)"
10,9,S,DC,26,"=B14&"" - ""&B15",319.36548690593645,3.16,64.584511,,8.7198460008949,77.5744469650089,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5744469650089 8.7198460008949, 77.571716979146 8.71851998381316)"
11,10,S,DC,26,"=B15&"" - ""&B16",334.49643198146254,3.73,66.8225099999999,,8.71851998381316,77.571716979146,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.571716979146 8.71851998381316, 77.5693609938025 8.71733696199953)"
12,11,T,DC,26,"=B16&"" - ""&B17",290.5741562110935,2.24,68.558289,"0°20'36"" R",8.71733696199953,77.5693609938025,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5693609938025 8.71733696199953, 77.5665290001779 8.71593601070344)"
