SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,KAYATHAR,,,,,,,,56,8.888635056535477,77.77036767559282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77036767559282 8.888635056535477, 77.7700609713792 8.88877339549293)"
1,1,T ,"82°53'10""RT",KCR,24,Kayathar- T1,36.21458349898896,2.78,56,8.88877339549293,77.7700609713792,AVAILABLE,,,PLAIN LAND," Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7700609713792 8.88877339549293, 77.7703144401311 8.88977674889844)"
2,2,T,"18°49'11""LT",KCR,24,T1-T2,54,2.31,56,8.88977674889844,77.7703144401311,AVAILABLE,,,PLAIN LAND," Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7703144401311 8.88977674889844, 77.7701722830534 8.89148996268869)"
3,3,T,"13°26'27""LT",HCR,24,T2-T3,250,2.98,55,8.89148996268869,77.7701722830534,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc line,  11 kv line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7701722830534 8.89148996268869, 77.769920155406 8.89225448010034)"
4,4,T,"25°10'34""RT",HCR+6,27,T3-T4,105,4.67,51,8.89225448010034,77.769920155406,AVAILABLE,66KV LINE,CART TRACK,PLAIN LAND,"Dc line,cart track, 66 kv cross  and down,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769920155406 8.89225448010034, 77.7700851112604 8.89358708180759)"
5,5,T,"1°7'9""RT",KCR+6,30,T4-T5,148.6107686440908,2.78,54,8.89358708180759,77.7700851112604,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7700851112604 8.89358708180759, 77.7702886238694 8.89500248964433)"
6,6,T,"1°28'22""RT",HCR,24,T5-T6,180,2.71,51,8.89500248964433,77.7702886238694,NOT AVAILABLE,230KV SC LINE,,PLAIN LAND,"Dc line ,  230 kv sc cross up, T5 TO T6 earth wire is not available,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7702886238694 8.89500248964433, 77.7704793959856 8.89666499890465)"
7,7,S,,GCR+3,30,T6-T7,216,2.1,52,8.89666499890465,77.7704793959856,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line,  Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7704793959856 8.89666499890465, 77.7709387242794 8.89882071793868)"
8,8,T,"3°29'16""LT",HCR,24,T7-T8,243.90112465708023,3.57,52,8.89882071793868,77.7709387242794,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Dc line,  road ,  Lt line,house,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7709387242794 8.89882071793868, 77.7711382135748 8.9006700285573)"
9,9,T,"3°2'1""RT",HCR,24,T8-T9,205.8636511868941,4.62,52,8.9006700285573,77.7711382135748,NOT AVAILABLE,230KV DC LINE-2NOS,,PLAIN LAND,"Dc line ,  2 230 kv dc line upper crossing ,T8 To T9 earth wire is not available,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7711382135748 8.9006700285573, 77.7716444805264 8.90336563957871)"
10,10,S,,GCR,27,T9-T10,303.519161676909,1.06,50,8.90336563957871,77.7716444805264,AVAILABLE,,,PLAIN LAND," Dc line ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7716444805264 8.90336563957871, 77.7720149606466 8.90587706465589)"
11,11,S,,GCR+3,30,T10-T11,280.94933995295276,2.54,50,8.90587706465589,77.7720149606466,AVAILABLE,LT LINE,,AGRI LAND,"Dc line ,  lt line , Agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7720149606466 8.90587706465589, 77.7724233269691 8.90859847335842)"
12,12,T,"0°29'59""RT",HCR+3,27,T11-T12,304.55169962742974,5.78,50,8.90859847335842,77.7724233269691,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7724233269691 8.90859847335842, 77.7728031948208 8.91115490966918)"
13,13,S,,GCR,27,T12-T13,286.028841182127,2.87,52,8.91115490966918,77.7728031948208,AVAILABLE,"230KV SC LINE, LT LINE",,PLAIN LAND,"Dc line , Kayathar to Villichery 230 sc line upper cross, Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7728031948208 8.91115490966918, 77.7731404826045 8.91369079202491)"
14,14,S,,GCR+3,30,T13-T14,283.12579641040605,1.25,52,8.91369079202491,77.7731404826045,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line ,lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7731404826045 8.91369079202491, 77.7734844759106 8.91545920844831)"
15,15,S,,GCR+3,30,T14-T15,199.36346976563016,0.6,52,8.91545920844831,77.7734844759106,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC LINE, Odai (Nala), Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7734844759106 8.91545920844831, 77.7737932652235 8.91740978932419)"
16,16,T,"1°44'45""LT",HCR+3,27,T15-T16,218.55766087927168,2.35,51,8.91740978932419,77.7737932652235,AVAILABLE,"400KV MULTI DC LINE,33KV LINE",,PLAIN LAND,"Dc line, 33 kv line , 400 kv multi dc line upper crossing,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7737932652235 8.91740978932419, 77.7741573750972 8.91990323192549)"
17,17,S,,GCR,27,T16-T17,278.87933822347134,2.01,52,8.91990323192549,77.7741573750972,AVAILABLE,"230KV DC LINE, LT LINE",,PLAIN LAND,"Dc line,  230 kv dc line upper crossing ,  lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7741573750972 8.91990323192549, 77.7743900567293 8.92249138613353)"
18,18,S,,GCR,27,T17-T18,287.6101527293561,5.7,53,8.92249138613353,77.7743900567293,AVAILABLE,"33KV LINE,LT LINE",,PLAIN LAND,"Dc line , 33kv line, Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7743900567293 8.92249138613353, 77.7747984230518 8.9250516997896)"
19,19,S,,GCR,27,T18-T19,286.9282266560918,3.2,53,8.9250516997896,77.7747984230518,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7747984230518 8.9250516997896, 77.7751011773943 8.92778091474316)"
20,20,S,,GCR,27,T19-T20,303.9132059157429,1.97,55,8.92778091474316,77.7751011773943,AVAILABLE,11KV LINE,ROAD,WATER LOGGED AREA,"Dc line  road, 11kv line , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7751011773943 8.92778091474316, 77.7753181010484 8.92968141668663)"
21,21,T,"0°29'59""RT",HCR+3,27,T20-T21,211.7069062737616,3.85,55,8.92968141668663,77.7753181010484,AVAILABLE,230KV DC LINE,,PLAIN LAND,"Dc line ,230 kv dc upper crossing,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7753181010484 8.92968141668663, 77.7755460888147 8.93199128493931)"
22,22,S,,GCR,27,T21-T22,256.8938372811564,2.28,56,8.93199128493931,77.7755460888147,AVAILABLE,LT LINE,,AGRI LAND,"Dc line ,  Lt line , Agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7755460888147 8.93199128493931, 77.7759189158678 8.93449787620052)"
23,23,S,,GCR,27,T22-T23,280.45900538222037,1.45,58,8.93449787620052,77.7759189158678,AVAILABLE,LT LINE,,AGRI LAND,"Dc line , Lt line, agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7759189158678 8.93449787620052, 77.7763269469142 8.93721344101406)"
24,24,S,,GCR,27,T23-T24,303.9066229107347,4.61,59,8.93721344101406,77.7763269469142,AVAILABLE,,,AGRI LAND,"Dc line , agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7763269469142 8.93721344101406, 77.776144221425 8.93946066406243)"
25,25,S,,GCR,27,T24-T25,249.54524014890396,3.22,59,8.93946066406243,77.776144221425,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.776144221425 8.93946066406243, 77.7768767997622 8.94145980323038)"
26,26,S,,GCR+3,30,T25-T26,235.50491621408008,3.24,60,8.94145980323038,77.7768767997622,AVAILABLE,LT LINE,,PLAIN LAND," Dc line,  Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7768767997622 8.94145980323038, 77.7772328630089 8.94405707798417)"
27,27,T,"3°35'0""RT",HCR,24,T26-T27,290.13634999083774,1.24,65,8.94405707798417,77.7772328630089,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line ,cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7772328630089 8.94405707798417, 77.7777086198329 8.94663280640188)"
28,28,S,,GCR+3,30,T27-T28,289.86164644704644,7.35,64,8.94663280640188,77.7777086198329,AVAILABLE,,,PLAIN LAND," Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7777086198329 8.94663280640188, 77.7780194208026 8.94934596235936)"
29,29,S,,GCR+3,30,T28-T29,302.24715692464105,5.64,65,8.94934596235936,77.7780194208026,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc line ,odai( nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7780194208026 8.94934596235936, 77.7786222472786 8.9510880415784)"
30,30,S,,GCR+3,30,T29-T30,203.91612309468945,3.35,65,8.9510880415784,77.7786222472786,AVAILABLE,,"ODAI(NALA),ROAD",PLAIN LAND,"Dc line , road ,odai(nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7786222472786 8.9510880415784, 77.7792663127183 8.95372167857985)"
31,31,S,,GCR,27,T30-T31,299.9972098887202,2.81,63,8.95372167857985,77.7792663127183,AVAILABLE,LT LINE,ROAD,PLAIN LAND," Dc line,  Road , Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7792663127183 8.95372167857985, 77.7796371281147 8.95621586625855)"
