S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type ( SC on DC Tower),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 142A,3W,T,DC,26,,,,133.244034,,9.636610039,77.77594096,GOOD,,,,PLAIN,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7759409602731 9.63661003857851, 77.7767359837889 9.63743096217513)"
2,143,,S,DA,26,142A - 143,126.0262384,8.17,133.029602,,9.637430962,77.77673598,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7767359837889 9.63743096217513, 77.7784360013902 9.63927196338772)"
3,144,,S,DA,26,147 - 148,276.3942859,3.41,141.285309,,9.639271963,77.778436,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7784360013902 9.63927196338772, 77.7799549698829 9.64091699570417)"
4,145,,S,DA,26,148 - 149,246.9662368,1.76,137.877777,,9.640916996,77.77995497,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7799549698829 9.64091699570417, 77.7815860044211 9.64266101829707)"
5,146,,S,DA,26,149 - 150,263.3657681,4.59,137.103806,,9.642661018,77.781586,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7815860044211 9.64266101829707, 77.7831359859555 9.64432801119983)"
6,147,,S,DA,26,150 - 151,251.0607964,3.71,135.684021,,9.644328011,77.78313599,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7831359859555 9.64432801119983, 77.7847250271588 9.6460130251944)"
7,148,,S,DA,26,151 - 152,255.4422624,5.66,135.674347,,9.646013025,77.78472503,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7847250271588 9.6460130251944, 77.7863230369985 9.64771203696727)"
8,149,,S,DA,26,152 - 153,257.2466479,2.84,138.808258,,9.647712037,77.78632304,GOOD,Available,"LT -2NO,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7863230369985 9.64771203696727, 77.7879269979894 9.64944197796285)"
9,150,,T,DC,26,153 - 154,260.2018416,6.37,139.938736,"0°17'18"" R",9.649441978,77.787927,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7879269979894 9.64944197796285, 77.7894339803606 9.65105096809566)"
10,151,,S,DA,26,154 - 155,243.1401272,1.82,141.168579,,9.651050968,77.78943398,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7894339803606 9.65105096809566, 77.791055040434 9.65279499068856)"
11,152,,S,DA,26,155 - 156,262.6202511,7.44,143.270096,,9.652794991,77.79105504,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.791055040434 9.65279499068856, 77.7925310097634 9.65437598526477)"
12,153,,S,DA,26,156 - 157,238.5511357,4.63,144.856125,,9.654375985,77.79253101,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7925310097634 9.65437598526477, 77.7941410057246 9.65610098093748)"
13,154,,S,DA,26,157 - 158,260.248263,7.1,147.139648,,9.656100981,77.79414101,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7941410057246 9.65610098093748, 77.7956570405513 9.65772002935409)"
14,155,,S,DA,26,158 - 159,244.6316212,3.19,150.922607,,9.657720029,77.79565704,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7956570405513 9.65772002935409, 77.7972409687936 9.65942096896469)"
15,156,,T,DC,26,159 - 160,256.3488127,6.07,149.356186,"0°2'35"" R",9.659420969,77.79724097,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7972409687936 9.65942096896469, 77.798833027482 9.66112802736461)"
16,157,2W,T,DC,26,160 - 161,257.4521314,8.22,149.132401,"0°19'50"" R",9.661128027,77.79883303,GOOD,Available,"LT,HT, 400KV",,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.798833027482 9.66112802736461, 77.8004860226064 9.66288001276552)"
17,158,,S,DA,26,161 - 162,265.6521415,2.54,145.621063,,9.662880013,77.80048602,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8004860226064 9.66288001276552, 77.8020080085843 9.66451498679816)"
18,159,,S,DA,26,162 - 163,246.3680778,7.16,143.028671,,9.664514987,77.80200801,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8020080085843 9.66451498679816, 77.803709032014 9.66634299606084)"
19,160,,S,DA,26,163 - 164,275.4065531,5.01,146.415665,,9.666342996,77.80370903,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803709032014 9.66634299606084, 77.8050850052386 9.6678059734404)"
20,161,,T,DC,26,164 - 165,221.5036852,2.44,146.956558,"1°24'0"" L",9.667805973,77.80508501,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8050850052386 9.6678059734404, 77.8066700231283 9.66957597993314)"
21,162,,S,DA,26,165 - 166,262.0932961,3.5,148.210739,,9.66957598,77.80667002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8066700231283 9.66957597993314, 77.8083729743957 9.67133902944624)"
22,163,,S,DA,26,166 - 167,270.3133305,4.61,149.906326,,9.671339029,77.80837297,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8083729743957 9.67133902944624, 77.8099320083856 9.67301499098539)"
