S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
1,142 LILO,3W,T,,,,,,,,,DC+0,28,,,,,,,194.901917,,9.944251942,77.815252,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81525199933355 9.94425194211349, 77.81644197812138 9.946067881342428)"
2,1,,S,,,,25,33,56,RT,35°39'5''RT,A+3,28,,,142 LILO-1,242,0.95,FALSE,199.293228,,9.946067881,77.81644198,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81644197812138 9.946067881342428, 77.81756196801814 9.947902931315756)"
3,2,,T,23,40,54.26920442,,,,,20°41'55''RT,C+0,28,,,01-Feb,240,0.4,FALSE,198.507019,12°32'58''RT,9.947902931,77.81756197,GOOD,AVAILABLE,"11KV -2NO, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81756196801814 9.947902931315756, 77.81861900982237 9.949597919691936)"
4,3,,S,,,,,,,,33°34'40''RT,A+0,25,,,02-Mar,223,0.69,FALSE,196.430847,,9.94959792,77.81861901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81861900982237 9.949597919691936, 77.8188699640024 9.951952899170285)"
5,4,,S,,,,,,,,1°53'60''RT,A+0,25,,,03-Apr,265,2.4,FALSE,196.754822,,9.951952899,77.81886996,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8188699640024 9.951952899170285, 77.81912703697185 9.95442991915806)"
6,5,,S,4,54,42.18547677,12,25,18,RT,0°7'23''RT,A+0,25,,,04-May,278,1.31,FALSE,197.359589,,9.954429919,77.81912704,GOOD,AVAILABLE,LT - 2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81912703697185 9.95442991915806, 77.81931697089716 9.956589935575238)"
7,6,,S,12,34,53.34986609,19,2,57,RT,1°3'24''RT,A+3,28,,,05-Jun,243,0.72,FALSE,197.954544,,9.956589936,77.81931697,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81931697089716 9.956589935575238, 77.8195189747629 9.958612907875292)"
8,7,,S,,,,35,20,50,LT,1°15'31''RT,A+3,28,,,06-Jul,228,0.99,FALSE,201.412766,,9.958612908,77.81951897,GOOD,AVAILABLE,11KV,NH Madurai - Theni,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8195189747629 9.958612907875292, 77.81978702802542 9.96134188786943)"
9,8,,T,15,49,20.0504287,,,,,0°44'22''RT,B+0,28,,,07-Aug,306,1.32,FALSE,200.603836,10°54'15''RT,9.961341888,77.81978703,GOOD,AVAILABLE,11KV,Village road,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81978702802542 9.96134188786943, 77.81923901919905 9.963598882953804)"
10,9,,T,,,,36,10,14,RT,0°28'43''RT,C+3,31,,,08-Sep,259,1.4,FALSE,202.924652,12°45'45''LT,9.963598883,77.81923902,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81923901919905 9.963598882953804, 77.81959198114006 9.965033864741795)"
