S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Srivilliputhur SS),2W,Gantry,H-POLE,12,,,,150.771423,,9.499994991,77.64110003,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6411000266671 9.49999499134719, 77.6410990208387 9.49982902966439)"
2,48,,T,DC,26,Gantry - 48,18.36820713,4.93,149.903915,"76°11'54"" R",9.49982903,77.64109902,GOOD,NO E/W,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6410990208387 9.49982902966439, 77.6395419985055 9.50023001991212)"
3,LILO : 47,3W,T,DC,26,48 - 47,176.7375783,5.1,151.427322,"46°34'57"" L",9.50023002,77.639542,GOOD,Available,,,PLAIN,LILO to PKV Patty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6395419985055 9.50023001991212, 77.6414219755679 9.50139803811907)"
4,49,,T,SC,22,47-49,243.6746588,4.19,156.439209,"0°33'46"" R",9.501398038,77.64142198,GOOD,Available,"HT -3NO,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6414219755679 9.50139803811907, 77.642933987081 9.5023170299828)"
5,50,,S,SA,22,49-50,194.7913251,5.08,155.525757,,9.50231703,77.64293399,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.642933987081 9.5023170299828, 77.6447319891303 9.50345898047089)"
6,51,,S,SA,22,50-51,234.5204238,3.89,154.661331,,9.50345898,77.64473199,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6447319891303 9.50345898047089, 77.6461369637399 9.50431996956467)"
7,52,,T,SC,22,51-52,181.4103794,4.96,155.888275,"18°30'10"" L",9.50431997,77.64613696,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6461369637399 9.50431996956467, 77.6475499849766 9.50600297190249)"
8,53,,S,SA,22,52-53,242.4845047,5.19,155.774643,,9.506002972,77.64754998,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6475499849766 9.50600297190249, 77.6491230167448 9.50789996422827)"
9,54,,S,SA,22,53-54,271.9382542,3.87,155.974899,,9.507899964,77.64912302,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6491230167448 9.50789996422827, 77.6505089644342 9.50957500375807)"
10,55,,S,SA,22,54-55,239.9087702,4.71,158.073959,,9.509575004,77.65050896,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6505089644342 9.50957500375807, 77.6521539967507 9.51156101189553)"
