S. No ,Tower No,Joint Box,Supspension/ Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 29 VEMBAKOTTAI LILO,3W,T,DC,26,,,1.17,114,,9.398791557,77.76466906,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764669060707 9.3987915571779, 77.7633159700781 9.39796191640198)"
2,1,,T,DD,28,29-Jan,174.7941647,1.12,113,"57°51'20""",9.397961916,77.76331597,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7633159700781 9.39796191640198, 77.763307755813 9.39693203195929)"
3,2,,T,DB,24,01-Feb,114,1.67,114,"0°0'0""",9.396932032,77.76330776,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.763307755813 9.39693203195929, 77.7632845379412 9.39400490373373)"
4,3,,S,DA,26,02-Mar,324,2.09,116,,9.394004904,77.76328454,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7632845379412 9.39400490373373, 77.7632677741348 9.39189090393483)"
5,4,,S,DA,26,03-Apr,234,1.82,112,,9.391890904,77.76326777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7632677741348 9.39189090393483, 77.7632515132427 9.38984010368585)"
6,5,,S,DA,26,04-May,227,2.18,113,,9.389840104,77.76325151,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7632515132427 9.38984010368585, 77.7632334083318 9.38755444251)"
7,6,,T,DD,28,05-Jun,253,2.43,114,"56°23'9""",9.387554443,77.76323341,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7632334083318 9.38755444251, 77.7663917094469 9.38543365336954)"
8,7,,T,DD,28,06-Jul,419.0763654,2.61,117,"45°44'22""",9.385433653,77.76639171,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7663917094469 9.38543365336954, 77.7667566575109 9.38327145762741)"
9,8,,S,DA,26,07-Aug,242.6623168,1.96,117,,9.383271458,77.76675666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7667566575109 9.38327145762741, 77.7671587374061 9.38119928352534)"
10,9,,S,DA,26,08-Sep,233.5743993,2.03,116,,9.381199284,77.76715874,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7671587374061 9.38119928352534, 77.7675421256572 9.37907312996685)"
