S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 94 REDDIAPATTY LILO,3W,S,DA,26,,,1.68,123,,9.395905333,77.61820477,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.618204774335 9.39590533263981, 77.6174203958362 9.39808881841599)"
2,T.NO 1,,T,DD,28,94-1,256.5638322,2.63,124,"82°48'15""",9.398088818,77.6174204,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6174203958362 9.39808881841599, 77.6192288752645 9.39899708144366)"
3,T.NO 2,,T,DB,24,01-Feb,222.7285343,4.56,125,"13°33'35""",9.398997081,77.61922888,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6192288752645 9.39899708144366, 77.6210420485585 9.4005287066102)"
4,T.NO 3,,T,DB,24,02-Mar,261.6199534,1.96,126,"7°59'56""",9.400528707,77.62104205,GOOD,Available,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6210420485585 9.4005287066102, 77.6222625374794 9.40189311280846)"
5,T.NO 4,,T,DC,26,03-Apr,201.9727704,2.18,127,"21°59'17""",9.401893113,77.62226254,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6222625374794 9.40189311280846, 77.6229411363601 9.40379463136196)"
6,T.NO 5,,S,DA,26,04-May,223.2711356,2.33,129,,9.403794631,77.62294114,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6229411363601 9.40379463136196, 77.6236573699861 9.40586755983531)"
7,T.NO 6,,S,DA,26,05-Jun,242.5469027,1.78,128,,9.40586756,77.62365737,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6236573699861 9.40586755983531, 77.6243456080555 9.40784133039414)"
8,T.NO 7,,S,DA,26,06-Jul,231.1644436,2.06,130,,9.40784133,77.62434561,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6243456080555 9.40784133039414, 77.6251071877777 9.4098867662251)"
9,T.NO 8,,S,DA,26,07-Aug,241.3565827,3.14,132,,9.409886766,77.62510719,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6251071877777 9.4098867662251, 77.6256651710718 9.41147295758128)"
10,T.NO 9,,S,DA,26,08-Sep,185.9462288,1.97,134,,9.411472958,77.62566517,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6256651710718 9.41147295758128, 77.6264730188995 9.41361746750772)"
11,T.NO 10,,T,DC,26,09-Oct,253.4028413,2.51,133,"20°0'2""",9.413617468,77.62647302,GOOD,Available,,DRAIN,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6264730188995 9.41361746750772, 77.6272443216294 9.41454241052269)"
12,T.NO 11,,T,DD,28,10-Nov,132.9097438,2.33,133,"35°2'44""",9.414542411,77.62724432,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6272443216294 9.41454241052269, 77.6273974590003 9.41674601286649)"
13,T.NO 12,,S,DA,26,11-Dec,244.4606308,1.99,133,,9.416746013,77.62739746,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6273974590003 9.41674601286649, 77.6276341639459 9.41916578449308)"
14,T.NO 13,,S,DA,26,Dec-13,269.0724809,2.24,138,,9.419165784,77.62763416,GOOD,Available,HT-1,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6276341639459 9.41916578449308, 77.6277873851358 9.42137843929231)"
15,T.NO 14,,S,DA,26,13-14,245.4587542,2.32,136,,9.421378439,77.62778739,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6277873851358 9.42137843929231, 77.6279672607779 9.42350048571825)"
16,T.NO 15,,S,DA,26,14-15,235.6883536,2.3,140,,9.423500486,77.62796726,GOOD,Available,HT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6279672607779 9.42350048571825, 77.6281279418617 9.42548716440796)"
17,T.NO 16,,T,DD,28,15-16,220.5810509,3.11,142,"36°46'34""",9.425487164,77.62812794,GOOD,Available,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6281279418617 9.42548716440796, 77.6293396297842 9.4268787279725)"
