SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Gantry (Thulukarpatti),2W,,,,,,,,,9.462745057,77.92502526,,,,,,pay thulukarpatty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92502526 9.462745057, 77.92494748 9.462425587)"
2,1,2W,T,"80°13'59""LT",KC,24,Gantry (Thulukarpatti)  - T1,36.38511334,2.43,86,9.462425587,77.92494748,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92494748 9.462425587, 77.9244858 9.462456013)"
3,2,,T,"80°8'35""LT",KC,24,T1-T2,50.85516949,2.76,86,9.462456013,77.9244858,GOOD,AVAILABLE,33KV LINE,CART TRACK,PLAIN LAND," DC LINE, lilo,33kv line,  cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9244858 9.462456013, 77.92375289 9.459460391)"
4,3,,T,"5°52'38""RT",HC+3,24.94,T2-T3,341.2631221,2.42,85,9.459460391,77.92375289,GOOD,NOT AVAILABLE,"11KV LINE, LT LINE",ROAD,PLAIN LAND," DC LINE, T2-T3 earth wire is not available, plain land, 11kv line,lt line,Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92375289 9.459460391, 77.92365868 9.459196148)"
5,4,,T,"4°27'47""RT",HC,21.94,T3-T4,31.02984773,2.54,84,9.459196148,77.92365868,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92365868 9.459196148, 77.92284966 9.457204893)"
6,5,,S,,GC,23.62,T4-T5,237.6941453,1.63,83,9.457204893,77.92284966,GOOD,AVAILABLE,LT LINE,,PLAIN LAND," DC LINE, lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92284966 9.457204893, 77.92183343 9.455303583)"
7,6,2W,S,,GC,23.62,T5-T6,238.2776161,1.7,83,9.455303583,77.92183343,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92183343 9.455303583, 77.9209654 9.453283201)"
8,7,,S,,GC,23.62,T6-T7,243.1576925,1.26,79,9.453283201,77.9209654,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND," DC LINE, lt line, cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9209654 9.453283201, 77.92011481 9.451271077)"
9,8,,S,,GC,23.62,T7-T8,241.5697923,1.58,78,9.451271077,77.92011481,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land, fencing ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92011481 9.451271077, 77.91920856 9.449153769)"
10,9,,S,,GC,23.62,T8-T9,254.6752954,1.4,75,9.449153769,77.91920856,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91920856 9.449153769, 77.91829459 9.447216034)"
11,10,,S,,GC,23.62,T9-T10,236.8665769,1.52,75,9.447216034,77.91829459,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91829459 9.447216034, 77.91746344 9.445373208)"
12,11,2W,T,"15°45'17""LT",HC,21.94,T10-T11,223.5236737,2.74,72,9.445373208,77.91746344,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91746344 9.445373208, 77.91719489 9.442922485)"
13,12,,S,,GC,23.62,T11-T12,272.8968268,2.49,72,9.442922485,77.91719489,GOOD,AVAILABLE,,RIVER,PLAIN LAND," DC LINE, plain land, river ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91719489 9.442922485, 77.916754 9.440503165)"
14,13,,S,,GC,23.62,T12-T13,272.1684535,1.58,74,9.440503165,77.916754,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND," DC LINE, 11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.916754 9.440503165, 77.9163976 9.438017019)"
15,14,,S,,GC+3,26.62,T13-T14,277.9912847,1.72,75,9.438017019,77.9163976,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND," DC LINE, ,plain land,Road , 2 nos lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9163976 9.438017019, 77.91605998 9.435741536)"
16,15,2W,T,"0°31'38""RT",HC,21.94,T14-T15,254.6158896,2.89,75,9.435741536,77.91605998,GOOD,AVAILABLE,,,AGRI LAND," DC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91605998 9.435741536, 77.9157133 9.433488859)"
17,16,,S,,GC,23.62,T15-T16,252.2672346,1.49,74,9.433488859,77.9157133,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9157133 9.433488859, 77.91543067 9.43111247)"
18,17,,S,,GC,23.62,T16-T17,264.8950304,1.53,76,9.43111247,77.91543067,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND," DC LINE,plain land, odai(nala) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91543067 9.43111247, 77.91500285 9.428789314)"
19,18,,S,,GC,23.62,T17-T18,261.4376467,1.82,76,9.428789314,77.91500285,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91500285 9.428789314, 77.91457437 9.426354349)"
20,19,,S,,GC,23.62,T18-T19,273.6344225,1.71,77,9.426354349,77.91457437,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND," DC LINE,plain land,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91457437 9.426354349, 77.91424714 9.424058945)"
21,20,,T,"0°10'37""LT",HC+3,24.94,T19-T20,256.6351904,2.38,79,9.424058945,77.91424714,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND," DC LINE, ,plain land, Road, lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91424714 9.424058945, 77.91386694 9.42171325)"
22,21,,S,,GC,23.62,T20-T21,263.0095406,1.54,80,9.42171325,77.91386694,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91386694 9.42171325, 77.9134066 9.418840315)"
23,22,,S,,GC,23.62,T21-T22,322.0348126,1.76,80,9.418840315,77.9134066,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND," DC LINE, plain land,odai( nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9134066 9.418840315, 77.91309178 9.416443979)"
24,23,,S,,GC,23.62,T22-T23,267.5218896,1.84,81,9.416443979,77.91309178,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91309178 9.416443979, 77.91270722 9.414055564)"
25,24,,S,,GC,23.62,T23-T24,267.755397,1.48,81,9.414055564,77.91270722,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND," DC LINE, plain land, odai( nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91270722 9.414055564, 77.91234445 9.411682348)"
26,25,,S,,GC,23.62,T24-T25,265.7235395,1.36,82,9.411682348,77.91234445,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91234445 9.411682348, 77.91200113 9.409279017)"
27,26,2W,T,"0°13'54""RT",HC,21.94,T25-T26,268.7117736,2.84,83,9.409279017,77.91200113,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91200113 9.409279017, 77.91163031 9.407116136)"
28,27,,S,,GC,23.62,T26-T27,242.8753796,1.9,80,9.407116136,77.91163031,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91163031 9.407116136, 77.91131683 9.404974411)"
29,28,,S,,GC,23.62,T27-T28,239.5791165,1.53,79,9.404974411,77.91131683,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91131683 9.404974411, 77.91100435 9.40287402)"
30,29,,S,,GC,23.62,T28-T29,235.0362653,1.49,78,9.40287402,77.91100435,GOOD,AVAILABLE,,,PLAIN LAND," DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91100435 9.40287402, 77.91068014 9.400810331)"
31,30,,S,,GC+3,26.62,T29-T30,231.2133111,2.87,77,9.400810331,77.91068014,GOOD,AVAILABLE,,POND,WATER LOGGED AREA," DC LINE,pond,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91068014 9.400810331, 77.91033078 9.398578927)"
