S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO ,3W,T,,,,,,,,,DC+0,28,,,,,1.17,FALSE,175.969543,,9.926742897,77.86822797,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86822797404781 9.926742897362852, 77.8688459717658 9.9286339384786)"
2,2,,T,,,,25,33,56,RT,35°39'5''RT,DB+3,31,,,1 LILO -2,223,1.21,FALSE,170.002823,1°52'3''RT,9.928633938,77.86884597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8688459717658 9.9286339384786, 77.86956103192206 9.930600919629148)"
3,3,,T,23,40,54.26920442,,,,,20°41'55''RT,DB+0,28,,,02-Mar,234,3.3,FALSE,169.970337,3°53'2''LT,9.93060092,77.86956103,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86956103192206 9.930600919629148, 77.87020099022625 9.932822878277497)"
4,4,,T,,,,,,,,33°34'40''RT,DC+3,31,,,03-Apr,258,0.55,FALSE,171.808441,10°2'36''RT,9.932822878,77.87020099,GOOD,AVAILABLE,"11KV - 2NO, LT-2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87020099022625 9.932822878277497, 77.87127395764615 9.935005861047316)"
5,5,,T,,,,,,,,1°53'60''RT,DC+3,31,,,04-May,271,1.03,FALSE,171.499695,12°59'35''LT,9.935005861,77.87127396,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87127395764615 9.935005861047316, 77.87181995481635 9.937352877696208)"
6,6,,T,4,54,42.18547677,12,25,18,RT,0°7'23''RT,DC+0,28,,,05-Jun,269,0.24,FALSE,171.735321,25°48'51''RT,9.937352878,77.87181995,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87181995481635 9.937352877696208, 77.8734379973967 9.939347938159765)"
7,7,,S,12,34,53.34986609,19,2,57,RT,1°3'24''RT,DA+0,25,,,06-Jul,286,2.07,FALSE,173.945786,,9.939347938,77.873438,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8734379973967 9.939347938159765, 77.87451297647323 9.941508876522905)"
8,8,,T,,,,35,20,50,RT,1°15'31''RT,DC+0,28,,,07-Aug,269,1.03,FALSE,174.830582,12°38'7''LT,9.941508877,77.87451298,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87451297647323 9.941508876522905, 77.87508596337149 9.943853881512874)"
9,9,,T,15,49,20.0504287,,,,,0°44'22''RT,DC+3,31,,,08-Sep,270,1.96,FALSE,174.43251,12°54'16''LT,9.943853882,77.87508596,GOOD,AVAILABLE,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87508596337149 9.943853881512874, 77.87511697641354 9.946323860716564)"
10,10,,S,,,,36,10,14,RT,0°28'43''RT,DA+3,28,,,09-Oct,276,2.6,FALSE,175.319504,,9.946323861,77.87511698,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87511697641354 9.946323860716564, 77.87515503025419 9.94887388709356)"
11,11,,T,21,33,12.3055836,34,31,15,RT,22°2'55''RT,DC+0,28,,,10-Nov,285,5.4,FALSE,176.319733,32°42'16''RT,9.948873887,77.87515503,GOOD,AVAILABLE,"11KV - 2NO, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87515503025419 9.94887388709356, 77.87433603449978 9.950745901387789)"
12,12,,T,,,,57,59,5,RT,0°14'43''RT,DC+6,34,,,11-Dec,228,0.49,FALSE,177.830246,45°40'39''LT,9.950745901,77.87433603,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87433603449978 9.950745901387789, 77.87462001337789 9.951805876834175)"
13,13,,T,17,49,52.33989923,,,,,0°4'2''RT,DD+3,31,,,Dec-13,124,6.48,FALSE,178.640274,72°18'49''RT,9.951805877,77.87462001,GOOD,AVAILABLE,LT,NH Madurai  - Theni,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87462001337789 9.951805876834175, 77.87511203109156 9.951707892353385)"
14,VALUNDUR GANTRY,2W,T,10,0,3.534980713,16,22,56,RT,0°12'40''RT,GANTRY,12,,,13-VALUNDUR GANTRY,58,,FALSE,,,9.951707892,77.87511203,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,,,,,,,,,,,3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
