S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 28,T,DC,26,,,,111.517677,,9.4717720337212,77.9846459906548,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9846459906548 9.4717720337212, 77.9860200360417 9.47224301286041)"
2,29,T,DC,26,LILO : 28-29,159.77394257750257,4.73,107.507126,"5°48'37"" R",9.47224301286041,77.9860200360417,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9860200360417 9.47224301286041, 77.9885249678045 9.47282798588275)"
3,30,T,DC,26,29-30,282.8406314387022,4.12,105.109138,"1°5'51"" L",9.47282798588275,77.9885249678045,GOOD,Available,400 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9885249678045 9.47282798588275, 77.9910439811646 9.47346702218055)"
4,31,S,DA,26,30-31,285.77024104619994,1.57,104.706978,,9.47346702218055,77.9910439811646,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9910439811646 9.47346702218055, 77.9935769923031 9.47406196966767)"
5,32,S,DA,26,31-32,286.0983488685824,2.33,104.208145,,9.47406196966767,77.9935769923031,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9935769923031 9.47406196966767, 77.9961590375751 9.47475599125027)"
6,33,S,DA,26,32-33,294.0197445200772,4.61,101.664199999999,,9.47475599125027,77.9961590375751,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9961590375751 9.47475599125027, 77.9987150151282 9.4753469992429)"
7,34,S,DA,26,33-34,288.45652047129556,5.03,99.3635639999999,,9.4753469992429,77.9987150151282,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9987150151282 9.4753469992429, 78.0012180190533 9.47601302526891)"
8,35,T,DC,26,34-35,282,2.78,98.010323,"17°40'46"" L",9.47601302526891,78.0012180190533,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0012180190533 9.47601302526891, 78.0038109607994 9.47528296150267)"
9,36,S,DA,26,35-36,296.23936461936376,6.13,97.7943949999999,,9.47528296150267,78.0038109607994,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0038109607994 9.47528296150267, 78.0062380246818 9.47454895824194)"
10,37,S,DA,26,36-37,278.8698721294335,1.55,96.03434,,9.47454895824194,78.0062380246818,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0062380246818 9.47454895824194, 78.0085899867117 9.47381897829473)"
11,38,T,DC,26,37-38,270.85074442117923,3.11,96.7983399999999,"35°27'21"" L",9.47381897829473,78.0085899867117,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0085899867117 9.47381897829473, 78.0107909906655 9.47453303262591)"
12,39,S,DA,26,38-39,254.50857054596824,5.6,97.2817759999999,,9.47453303262591,78.0107909906655,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0107909906655 9.47453303262591, 78.0132570303976 9.47536200284957)"
13,40,S,DA,26,39-40,286.16534349355646,7.43,98.668327,,9.47536200284957,78.0132570303976,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0132570303976 9.47536200284957, 78.0156890396028 9.47617697529494)"
14,41,T,DC,26,40-41,282.12443712238536,2.02,98.168068,"40°58'59"" L",9.47617697529494,78.0156890396028,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0156890396028 9.47617697529494, 78.0169159825891 9.47825602255761)"
15,42,S,DA,26,41-42,266.76237683766425,2.22,96.6572879999999,,9.47825602255761,78.0169159825891,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0169159825891 9.47825602255761, 78.0179949849843 9.48024798184633)"
16,43,T,DC,26,42-43,250.39056685720774,1.81,98.056786,"50°47'3"" R",9.48024798184633,78.0179949849843,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0179949849843 9.48024798184633, 78.0206930357962 9.48076598346233)"
17,44,S,DA,26,43-44,302.03865204457765,1.96,99.0121309999999,,9.48076598346233,78.0206930357962,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0206930357962 9.48076598346233, 78.023403994739 9.48123696260154)"
18,45,S,DA,26,44-45,302.4899147789269,2.19,100.140289,,9.48123696260154,78.023403994739,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.023403994739 9.48123696260154, 78.0258550308644 9.48166603222489)"
19,46,S,DA,26,45-46,273.54884170517346,3.72,100.217026,,9.48166603222489,78.0258550308644,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0258550308644 9.48166603222489, 78.0285749584436 9.48216601274907)"
20,47,S,DA,26,46-47,304.0268815604055,2.94,101.882492,,9.48216601274907,78.0285749584436,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0285749584436 9.48216601274907, 78.0312839895486 9.48261402547359)"
21,48,S,DA,26,47-48,301.8497314615934,1.86,100.661407,,9.48261402547359,78.0312839895486,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0312839895486 9.48261402547359, 78.0337689723819 9.48304401710629)"
22,49,T,DC,26,48-49,277.23848537239246,3.1,100.364853,"9°33'24"" R",9.48304401710629,78.0337689723819,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0337689723819 9.48304401710629, 78.0367479845881 9.48306103236973)"
23,50,S,DA,26,49-50,327.42371643263346,3.03,98.535172,,9.48306103236973,78.0367479845881,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0367479845881 9.48306103236973, 78.0396130029112 9.48305801488459)"
24,51,S,DA,26,50-51,314.88877569887177,4.08,96.577629,,9.48305801488459,78.0396130029112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0396130029112 9.48305801488459, 78.0422259774059 9.48307000100612)"
