S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Vannikonendal SS),2W,Gantry,DP,12,,,,112.363289,,8.984838026,77.62770097,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6277009677141 8.98483802564442, 77.6281100045889 8.9850100222975)"
2,54,,T,DC,26,Gantry- 21,50,3.12,111.113785,"26°53'27"" R",8.985010022,77.62811,GOOD,NO E/W,,,PLAIN,Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6281100045889 8.9850100222975, 77.6276930049061 8.98454901762306)"
3,53,,T,DC,26, 21-53,75,2.89,113.134933,"48°11'0"" R",8.984549018,77.627693,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6276930049061 8.98454901762306, 77.6269149966537 8.98455102927982)"
4,52,,T,DC,26,53-52,85.60627092,3.46,112.261238,"26°20'55"" L",8.984551029,77.626915,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6269149966537 8.98455102927982, 77.6253920048475 8.98380596190691)"
5,51,,S,DC,26,52-51,190,2.06,111.009689,,8.983805962,77.625392,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6253920048475 8.98380596190691, 77.6238659955561 8.98303398862481)"
6,50,,T,DC,26,51-50,188.3960081,1.94,110.161957,"18°45'4"" R",8.983033989,77.623866,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6238659955561 8.98303398862481, 77.6211220119148 8.98264003917574)"
7,49,,S,DC,26,50-49,305.058537,0.97,109.652885,,8.982640039,77.62112201,GOOD,Available,HT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6211220119148 8.98264003917574, 77.6187220215797 8.98232697509229)"
8,48,,T,DC,26,49-48,266.3394116,2.03,108.671951,"12°35'35"" R",8.982326975,77.61872202,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6187220215797 8.98232697509229, 77.6160150021314 8.9825680386275)"
9,LILO : 47,3W,S,DC,26,48-47,299.0511684,0.8,109.172073,,8.982568039,77.616015,GOOD,Available,HT - 2NO,,PLAIN,LILO to Kanrpatty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6160150021314 8.9825680386275, 77.6134259998798 8.9828130416572)"
10,46,,T,DC,26,47-46,286.159821,1.12,113.85672,"1°6'34"" R",8.982813042,77.613426,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6134259998798 8.9828130416572, 77.6110860239714 8.98308000527322)"
11,45,,S,DC,26,46-45,259.1604587,0.56,116.308678,,8.983080005,77.61108602,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6110860239714 8.98308000527322, 77.6087290327996 8.98335300385952)"
12,44,,S,DC,26,45-44,261.096325,1.64,117.268929,,8.983353004,77.60872903,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6087290327996 8.98335300385952, 77.6065799966454 8.98357202298939)"
