S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO 53 KADAYANALLUR 110KV,T,DB,24,"=B6&""-""&B7",,8.06,187,,9.06088888888889,77.3214722222222,GOOD,GOOD,NO,,,HILL ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3214722222222 9.06088888888889, 77.3224722222222 9.06266666666666)"
2,T.NO 1,T,SB,24,"=B7&""-""&B8",227.37853900489378,3.99,180,"1°37'57.57""",9.06266666666666,77.3224722222222,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3224722222222 9.06266666666666, 77.3235 9.06463888888889)"
3,T.NO 2,S,SA,26,"=B8&""-""&B9",244.1986895951737,4.12,186,,9.06463888888889,77.3235,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3235 9.06463888888889, 77.3245277777777 9.06658333333333)"
4,T.NO 3,S,SA,26,"=B9&""-""&B10",242.85180666406416,3.61,187,,9.06658333333333,77.3245277777777,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3245277777777 9.06658333333333, 77.3254722222222 9.06838888888888)"
5,T.NO 4,S,SA,29,"=B10&""-""&B11",226.74434943345335,4.36,187,,9.06838888888888,77.3254722222222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3254722222222 9.06838888888888, 77.3265555555555 9.07030555555555)"
6,T.NO 5,S,SA,26,"=B11&""-""&B12",242.62728618191318,4.42,186,,9.07030555555555,77.3265555555555,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3265555555555 9.07030555555555, 77.3274444444444 9.07219444444444)"
7,T.NO 6,T,SB,24,"=B12&""-""&B13",230.99134182908242,1.4,189,"3°48'40.46""",9.07219444444444,77.3274444444444,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3274444444444 9.07219444444444, 77.3284722222222 9.07416666666666)"
8,T.NO 7,S,SA,26,"=B13&""-""&B14",244.23758924457144,4.17,190,,9.07416666666666,77.3284722222222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3284722222222 9.07416666666666, 77.3293333333333 9.07561111111111)"
9,T.NO 8,S,SA,29,"=B14&""-""&B15",185.80904176062046,AT PRESENT WATER,191,,9.07561111111111,77.3293333333333,GOOD,GOOD,NO,,TAAR ROAD,INSIDE THE POND,"HEAVY BUSHES, AT PRESENT WATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3293333333333 9.07561111111111, 77.3302499999999 9.07738888888888)"
10,T.NO 9,S,SA,26,"=B15&""-""&B16",220.95248357961492,5.02,193,,9.07738888888888,77.3302499999999,GOOD,GOOD,NO,2nos LT,,CULTIVATION,EARTH WIRE NOT IN PEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3302499999999 9.07738888888888, 77.3311944444444 9.07922222222222)"
