,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV KODIKURICHI,2W,GANTRY,GANTRY,,,,,179,,9.00189082,77.3235103,GOOD,,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3235103 9.00189082, 77.32367312 9.00176326)"
2,T.NO-1 LILO 110KV WIND FIRM,,DD,T,28,GANTRY-1,22.8035085,4.02,177,"135°41'46.57""",9.00176326,77.32367312,GOOD,MISSING,,,INSIDE SS,NEED 3WAY JUNCTION BOX. 2 FEEDER ON THIS TOWER 1.110KV KADAYANALLUR 2.WIND FIRM KODIKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32367312 9.00176326, 77.32302723 9.00169503)"
3,T.NO-2,,DB,T,24,01-Feb,71.44928271,1.58,167,"6°25'43.49""",9.00169503,77.32302723,GOOD,GOOD,,,INSIDE SS,KADAYANALLUR FEEDER ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32302723 9.00169503, 77.32205454 9.00170117)"
4,T.NO-3,,DD,T,28,02-Mar,107,2.88,166,"92°2'43.47""",9.00170117,77.32205454,GOOD,GOOD,,,INSIDE SS,VEERANAM FEEDER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32205454 9.00170117, 77.32206525 9.00195416)"
5,T.NO-4,,DP TOWER,DP TOWER,20,03-Apr,28.01785145,DP TOWER,174,,9.00195416,77.32206525,GOOD,MISSING,230KV DC LINE CROSSING ABOVE OUR LINE,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32206525 9.00195416, 77.32208429 9.00208961)"
6,T.NO-5,,DD,T,28,04-May,15.13274595,4.91,176,"75°47'35.64""",9.00208961,77.32208429,GOOD,MISSING,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32208429 9.00208961, 77.32194828 9.0021447)"
7,T.NO-6,,DB,T,24,05-Jun,16.15549442,4.22,174,"8°27'18.10""",9.0021447,77.32194828,GOOD,GOOD,,,INSIDE SS,2FEEDER ON THIS TOWER 1.110KV KADAYANALLUR 2.230KV VEERANAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32194828 9.0021447, 77.32151355 9.0024005)"
8,T.NO-7,,DC,T,26,06-Jul,55.56977596,3.18,172,"18°37'22.09""",9.0024005,77.32151355,GOOD,GOOD,33KV,,PLAIN LAND,3 FEEDER ON THIS TOWER. 1 &2-230KV VEERANAM FEEDER 3.KADAYANALLUR .  ALREADY HAVE 12CORE FIBER FOR 230KV VEERANAM 230KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32151355 9.0024005, 77.31997017 9.00272656)"
9,T.NO-8,,MD,T,45,07-Aug,173.5655496,1.11,176,"82°50'28.81""",9.00272656,77.31997017,GOOD,GOOD,,,CULTIVATION,ALREADY HAVE OPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31997017 9.00272656, 77.3190627 9.00012934)"
10,T.NO-9,,MA,S,45,08-Sep,304.2170278,1.51,182,,9.00012934,77.3190627,GOOD,GOOD,2nos 11KV,TAAR ROAD,PLAIN LAND,ALREADY HAVE OPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3190627 9.00012934, 77.31834989 8.99811835)"
