S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,110KV KAYATHAR- PERIYAR-SURULIYAR  MAIN LINE 172-374 LILO,,,,,,,,,9.36497150416665,77.5512684881687,,,,, 110KV KAYATHAR-PERIYAR-SURULIYAR MAIN LINE LOC.172-374 LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5512684881687 9.36497150416665, 77.5512684881687 9.36497150416665)"
1,172,T,,MA,21.95,110KV KAYATHAR- PERIYAR-SURULIYAR  MAIN LINE 172-374 LILO  - T172,,8.92,135,9.36497150416665,77.5512684881687,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"DC line,LT Line-2Nos,2 COMPOUND WALL,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5512684881687 9.36497150416665, 77.5508668273687 9.36267668489699)"
=1+A7,173,S,,LA,24.2,T172 - T173,257.7689098494696,5.98,134,9.36267668489699,77.5508668273687,AVAILABLE,"LT LINE, 11KV LINE",CART TRACK,PLAIN LAND,"DC line,LT LINE,11 KVLINE,NALA,CART TRACK,FENCING,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5508668273687 9.36267668489699, 77.550386711955 9.35996337319464)"
=1+A8,174,S,,LA,24.2,T173 - T174,304.87517372365073,2.67,132,9.35996337319464,77.550386711955,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.550386711955 9.35996337319464, 77.5498700514435 9.35711837597398)"
=1+A9,175,S,,LA,24.2,T174 - T175,319.92595708535134,3.23,133,9.35711837597398,77.5498700514435,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5498700514435 9.35711837597398, 77.5493600964546 9.3542551605017)"
=1+A10,176,S,,LA,24.2,T175 - T176,321.78275613531025,2.83,130,9.3542551605017,77.5493600964546,AVAILABLE,LT LINE,WELL,AGRI LAND,"DC line,WELL,LT LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5493600964546 9.3542551605017, 77.5488682463765 9.35138828243472)"
=1+A11,177,S,,LA,24.2,T176 - T177,321.8399146610103,3.34,130,9.35138828243472,77.5488682463765,AVAILABLE,33KV LINE,WELL,AGRI LAND,"DC line,WELL,33 KV LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5488682463765 9.35138828243472, 77.5483817607164 9.34860838722488)"
=1+A12,178,S,,LA,24.2,T177 - T178,312.2536956146572,6.88,131,9.34860838722488,77.5483817607164,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC line,LT LINE,ROAD,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5483817607164 9.34860838722488, 77.5481698662042 9.34722157412465)"
=1+A13,178A,T (LILO ),"00°00'00""",KCR+3,27,T178 - T178A,155.2317452101598,3.21,132,9.34722157412465,77.5481698662042,AVAILABLE,LT LINE-3NOS,ROAD,PLAIN LAND,"(LILO ON PERUMAL PATTI ),3 lt post,road crossing,plaIn area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5481698662042 9.34722157412465, 77.5478751584887 9.3458949657737)"
=1+A14,179,S,,LA,24.2,T178A - T179,150.3419011519777,2.45,131,9.3458949657737,77.5478751584887,AVAILABLE,,,AGRI LAND,"dc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5478751584887 9.3458949657737, 77.5474158301949 9.34318053068882)"
