,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,PERIYAR-SURULIYAR MAIN LINE,,,,,,,,,9.254417,77.565674,,,,, 110KV KAYATHAR-PERIYAR-SURULIYAR MAIN LINE LOC.172-374 LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.565674 9.254417, 77.5651499256491 9.25459930507128)"
1,1,T,,KCR,,PERIYAR-SURULIYAR MAIN LINE  - T1,15,1.8,129,9.25459930507128,77.5651499256491,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land.er=1.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5651499256491 9.25459930507128, 77.5672437250614 9.256077816742)"
2,2,S,,GC,27,T1-T2,282.42701369724995,2.08,129,9.256077816742,77.5672437250614,AVAILABLE,"11KV LINE, LT LINE",,AGRI LAND,"DC LINE,road,lt Line,11kv line,agri land.er=2.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5672437250614 9.256077816742, 77.5692822039127 9.25748385307085)"
3,3,T,"06°49'55""LT",HCR,24,T2-T3,272.8381394637054,0.76,129,9.25748385307085,77.5692822039127,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land.er=0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5692822039127 9.25748385307085, 77.5711993128061 9.25861423734276)"
4,4,S,,GC,24,T3-T4,245.10239271371526,1.03,129,9.25861423734276,77.5711993128061,AVAILABLE,"LT LINE, 11KV LINE","ROAD, ODAI(NALA)",PLAIN LAND,"DC LINE,lt line,11kv line,road,odai(nala),plain land.er=1.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5711993128061 9.25861423734276, 77.573120445013 9.25963343315981)"
5,5,S,,GC,24,T4-T5,239.44561779458928,0.91,127,9.25963343315981,77.573120445013,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land.er=0.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.573120445013 9.25963343315981, 77.5751150026917 9.26077605404684)"
6,6,S,,GC,24,T5-T6,253.13456483452651,0.12,126,9.26077605404684,77.5751150026917,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,road,plain land.er=0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5751150026917 9.26077605404684, 77.5771223008632 9.26185282109716)"
7,7,T,"07°53'55""LT",HCR,24,T6-T7,250.8058382116484,0.83,126,9.26185282109716,77.5771223008632,AVAILABLE,"LT LINE, 11KV LINE",,PLAIN LAND,"DC LINE,lt line,11kv line,plaine land.er=0.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5771223008632 9.26185282109716, 77.5791808962821 9.26292429038117)"
8,8,S,,GC,24,T7-T8,255.50882503147656,1.12,126,9.26292429038117,77.5791808962821,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land.er=1.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5791808962821 9.26292429038117, 77.5813065469265 9.26397160046689)"
9,9,S,,GC,24,T8-T9,260.86313273053685,1.37,126,9.26397160046689,77.5813065469265,AVAILABLE,,,AGRI LAND,"DC LINE,agri land.er=1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5813065469265 9.26397160046689, 77.583884820342 9.26529521064225)"
10,10,S,,GC,24,T9-T10,319.07264450123455,0.97,126,9.26529521064225,77.583884820342,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,lt line,argi land.er=0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.583884820342 9.26529521064225, 77.5858512148261 9.26633192482855)"
11,11,T,"14°10'02""LT",HCR,24,T10-T11,244.74792154579123,4.32,122,9.26633192482855,77.5858512148261,AVAILABLE,,"CART TRACK, ROAD",,"DC LINE,cart track,road.er=4.32, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5858512148261 9.26633192482855, 77.58811634 9.266854417)"
12,12,S,,GC,24,T11-T12,255.65828207203396,0.32,122,9.266854417,77.58811634,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land. ( e.r 0.32 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58811634 9.266854417, 77.59042405 9.26742522)"
13,13,S,,GC,24,T12-T13,261.459850260008,1.12,122,9.26742522,77.59042405,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 1.12 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59042405 9.26742522, 77.5923311 9.26794771)"
14,14,T,"06°38'46""RT",HCR,24,T13-T14,217.49340592538013,0.94,123,9.26794771,77.5923311,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 0.94 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5923311 9.26794771, 77.59413388 9.268625723)"
15,15,T,"11°28'39""LT",HCR,24,T14-T15,211.92962190783553,0.89,122,9.268625723,77.59413388,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC Line,odai(Nala),plain land. (  e.r 0.89 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59413388 9.268625723, 77.59583406 9.26890103)"
16,16,T,"23°29'28""RT",HCR,24,T15-T16,189.38829388323498,0.42,122,9.26890103,77.59583406,AVAILABLE,,RIVER,PLAIN LAND,"DC Line,river.plain land. ( e.r 0.42 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59583406 9.26890103, 77.5975671 9.270012186)"
