SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Periyar-Suruliyar Main line LILO,,,,,,,,,9.21213478010421,77.5809454545378,,,,, 110KV KAYATHAR-PERIYAR-SURULIYAR MAIN LINE LOC.172-374 LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5809454545378 9.21213478010421, 77.5809454545378 9.21213478010421)"
1,1,S,,KC,24,Periyar-Suruliyar Main Line  -T1,267,1.21,131,9.21213478010421,77.5809454545378,AVAILABLE,,,AGRI LAND,"DC LINE,agri land.( e.r 1.21 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5809454545378 9.21213478010421, 77.5787219032645 9.21112239690401)"
2,2,S,,GC,27,T1-T2,269,0.89,131,9.21112239690401,77.5787219032645,AVAILABLE,LT LINE,odai(NALA),PLAIN LAND,"DC LINE,lt line,odai(Nala),plain land. ( e.r 0.89 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5787219032645 9.21112239690401, 77.5764732062816 9.21011298938679)"
3,3,S,,GC,27,T2-T3,271.3279092353078,0.24,131,9.21011298938679,77.5764732062816,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land. ( e.r 0.24 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5764732062816 9.21011298938679, 77.5741497427225 9.20904764763697)"
4,4,S,,GC,27,T3-T4,281.3768063025079,1.04,129,9.20904764763697,77.5741497427225,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE,lt line,11kv line,plain land. ( e.r 1.04 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5741497427225 9.20904764763697, 77.5717893987894 9.2080279745665)"
5,5,S,,GC,27,T4-T5,283.0115121209655,1.54,132,9.2080279745665,77.5717893987894,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,plain land. ( e.r 1.54 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5717893987894 9.2080279745665, 77.5697995349764 9.20713439302091)"
6,6,T,"03°00'00""RT",HC,24,T5-T6,240.1136967021824,0.74,133,9.20713439302091,77.5697995349764,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC LINE,lt line,cart track,plain land. ( e.r 0.74 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5697995349764 9.20713439302091, 77.5677654147148 9.20625603325566)"
7,7,S,,GC,24,T6-T7,243.88009670743835,1.31,134,9.20625603325566,77.5677654147148,AVAILABLE,,odai(NALA),PLAIN LAND,"DC LINE,odai(nala),plain land. ( 1.31 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5677654147148 9.20625603325566, 77.5659961625933 9.20551634276279)"
8,8,S,,GC,24,T7-T8,211.06593334310583,0.53,134,9.20551634276279,77.5659961625933,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land. ( e.r 0.53 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5659961625933 9.20551634276279, 77.5633303821086 9.20437850711757)"
9,9,S,,GC,24,T8-T9,319.0297287840217,0.84,134,9.20437850711757,77.5633303821086,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,plain land. ( e.r 0.84 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5633303821086 9.20437850711757, 77.5611195713281 9.20341806242877)"
10,10,S,,GC,24,T9-T10,265.3207787151107,0.72,136,9.20341806242877,77.5611195713281,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land. ( e.r 0.72 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5611195713281 9.20341806242877, 77.5589567050337 9.20259959733928)"
11,11,S,,GC,24,T10-T11,254.49200753855484,0.36,136,9.20259959733928,77.5589567050337,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,cart track,plain land. ( e.r 0.36 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5589567050337 9.20259959733928, 77.5569738820195 9.20166363898333)"
12,12,S,,GC,24,T11-T12,241.38380113419302,0.62,138,9.20166363898333,77.5569738820195,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land.( e.r 0.62 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5569738820195 9.20166363898333, 77.5547017157077 9.20065983082278)"
13,13,S,,GC,24,T12-T13,273.43023192028284,0.82,142,9.20065983082278,77.5547017157077,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE,cart track,plain land. ( e.r 0.82 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5547017157077 9.20065983082278, 77.5522381067276 9.19950145980414)"
14,14,T,"56°40'22""LT",NA+4.5,27,T13-T14,299.69917438159996,1.36,145,9.19950145980414,77.5522381067276,AVAILABLE,LT LINE-3NOS,ROAD,PLAIN LAND,"DC LINE,lt line- 3,road,plain land. ( e.r 1.36 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5522381067276 9.19950145980414, 77.5514689832925 9.19999724306441)"
15,15,T,"65°23'17""RT",NA+4.5,24,T14-T15,100.81177814627442,1.46,145,9.19999724306441,77.5514689832925,AVAILABLE,,RAILWAY ,PLAIN LAND,"DC LINE,railway track,plain land. ( e.r 1.46 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5514689832925 9.19999724306441, 77.5492695719003 9.19860653285436)"
16,16,S,,GC,24,T15-T16,286.66473999082,0.13,144,9.19860653285436,77.5492695719003,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,road,plain land.( e.r 0.13 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5492695719003 9.19860653285436, 77.5472344458103 9.19726612398013)"
17,17,S,,GC,24,T16-T17,268.48201971266525,0.82,148,9.19726612398013,77.5472344458103,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE,cart track,plain land. ( e.r 0.82 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5472344458103 9.19726612398013, 77.5449850782752 9.19593299130319)"
