S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Ayyanaruthu SS),2W,Gantry,DP,12,,,,102.021614,,8.944948968,77.72491897,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7249189745634 8.94494896754622, 77.7252300269901 8.94493396393954)"
2,1,,T,DC,26,Gantry -1,34.27244334,1.32,99.498886,"46°24'28"" L",8.944933964,77.72523003,GOOD,NO E/W,HT - 4 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7252300269901 8.94493396393954, 77.7257480286061 8.94542497582733)"
3,2,,T,DC,26,01-Feb,78.76070363,2.11,97.203392,"23°49'29"" L",8.945424976,77.72574803,GOOD,Available,"HT -4NO,400 KV",,PLAIN, Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7257480286061 8.94542497582733, 77.7260139863938 8.94606200046837)"
4,3,,T,DC,26,02-Mar,76.33980417,1.07,97.629822,"10°15'55"" R",8.946062,77.72601399,GOOD,Available,110 KV ,,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7260139863938 8.94606200046837, 77.7273619640618 8.94814096391201)"
5,4,,S,DC,26,03-Apr,273.775405,1.43,97.283783,,8.948140964,77.72736196,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7273619640618 8.94814096391201, 77.7286869753152 8.95019897259771)"
6,5,,T,DC,26,04-May,270.4578349,0.68,94.049355,"25°48'34"" L",8.950198973,77.72868698,GOOD,Available,230 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7286869753152 8.95019897259771, 77.7289169747382 8.95211197435855)"
7,6,,S,DC,26,05-Jun,213.2389917,0.51,98.997429,,8.952111974,77.72891697,GOOD,Available,HT -3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7289169747382 8.95211197435855, 77.7291369996964 8.95377703942358)"
8,7,,T,DC,26,06-Jul,185.8736964,0.98,99.920174,"8°43'42"" R",8.953777039,77.729137,GOOD,Available,"LT, HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7291369996964 8.95377703942358, 77.7291430346667 8.95538703538477)"
9,8,,T,DC,26,07-Aug,178.1959741,1.1,95.764549,"78°21'27"" L",8.955387035,77.72914303,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7291430346667 8.95538703538477, 77.7274809870868 8.95573396235704)"
10,9,,T,DC,26,08-Sep,186.8951414,0.89,96.609497,"8°58'9"" R",8.955733962,77.72748099,GOOD,Available,"HT,230 KV ",,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7274809870868 8.95573396235704, 77.7272349782288 8.95582700148224)"
11,Gantry (Kayathar 400 SS),2W,Gantry,DP,12,9 -Gantry,28.96547678,,95.959854,,8.955827001,77.72723498,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
