,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Gantry (Kayathar) ,2W,T,,,,,,,56,8.888383629,77.77005072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77005071519264 8.888383629422641, 77.770620547235 8.88988539842551)"
2,1,,T,"3°55'26""RT",LS,22,Gantry (Kayathar)  - T1,175.5998446,above 200,56,8.889885398,77.77062055,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,fencing.plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.770620547235 8.88988539842551, 77.7714024111628 8.89156416202215)"
3,2,,T,"46°24'33""LT",KS,22,T1-T2,204.7754485,above 200,56,8.891564162,77.77140241,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7714024111628 8.89156416202215, 77.7705829963088 8.89362683122475)"
4,3,,T,"31°00'02""LT",KS+4.5,22,T2-T3,245.474724,above 200,54,8.893626831,77.770583,GOOD,AVAILABLE,"230KV LINE, 110KV LINE",CART TRACK,PLAIN LAND,"SC Line,230kv Below,110kv line below ,cart track.plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7705829963088 8.89362683122475, 77.7698121964931 8.8942137971157)"
5,4,,T,"13°51'45""LT",KS,25,T3-T4,106.8613361,above 200,55,8.894213797,77.7698122,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"SC Line,lt line,cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7698121964931 8.8942137971157, 77.7670136466622 8.89544834363578)"
6,5,,S,,A+3,25,T4-T5,336.9878403,above 200,53,8.895448344,77.76701365,GOOD,AVAILABLE,"33KV LINE, 11KV LINE, LT LINE",ROAD,PLAIN LAND,"SC Line,33kv line,11kv line,lt line,road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7670136466622 8.89544834363578, 77.7646365389227 8.89646029105906)"
7,6,,T,"35°31'28""LT",D,25,T5-T6,284.6166151,above 200,56,8.896460291,77.76463654,GOOD,NOT AVAILABLE,"110KV LINE, 11KV LINE, LT LINE",,PLAIN LAND,"SC Line,110kv tower above line, 11kv Line, T5 TO T6  earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7646365389227 8.89646029105906, 77.7624575793743 8.89600185106727)"
8,7,,T,"34°57'15""RT",D,22,T6-T7,245.1481573,above 200,56,8.896001851,77.76245758,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7624575793743 8.89600185106727, 77.7605669572949 8.89681041427881)"
9,8,,T,,E,22,T7-T8,226.5296347,above 200,55,8.896810414,77.76056696,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7605669572949 8.89681041427881, 77.7586374431848 8.89765209985391)"
10,9,,T,,E,22,T8-T9,231.9160376,above 200,55,8.8976521,77.75863744,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7586374431848 8.89765209985391, 77.7567595615983 8.89840335476537)"
