S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, Gantry (SR Pudhur SS),Gantry,H-POLE,12,,,,93.832489,,8.25053704,77.48633296,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48633296 8.25053704, 77.48652097 8.251112038)"
2,346,T,DC,26, Gantry -346,66.91701218855856,5.71,90.972969,"19°12'35"" R",8.251112038,77.48652097,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48652097 8.251112038, 77.48802099 8.253077008)"
3,345,S,DA,26,346-345,273.16500228901884,8.34,83.946144,,8.253077008,77.48802099,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48802099 8.253077008, 77.48955798 8.255098974)"
4,344,S,DA,26,345-344,280.65248219472363,8.11,90.041878,,8.255098974,77.48955798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48955798 8.255098974, 77.49093002 8.256933019)"
5,343,T,DC,26,344-343,253.10518497987732,6.39,90.945168,"8°56'39"" R",8.256933019,77.49093002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49093002 8.256933019, 77.49281 8.259485)"
6,342,T,DC,26,343-342,349,5.78,118.486832,"21°6'32"" L",8.259485,77.49281,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49281 8.259485, 77.49378003 8.260344034)"
7,341,T,DC,26,342-341,143,1.23,134.211212,"63°33'10"" R",8.260344034,77.49378003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49378003 8.260344034, 77.49552003 8.260402037)"
8,340,S,DA,26,341-340,191.90951527797213,4.06,117.037979,,8.260402037,77.49552003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49552003 8.260402037, 77.497758 8.260391979)"
9,339,S,DA,26,340-339,246.6968100950932,2.1,107.955101,,8.260391979,77.497758,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.497758 8.260391979, 77.50078596 8.260427015)"
10,338,S,DA,26,339-338,333.7990735061233,3.68,100.532562,,8.260427015,77.50078596,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50078596 8.260427015, 77.50241197 8.260436989)"
11,337,T,DC,26,338-337,179.24121461545323,5.08,96.221214,"23°36'28"" L",8.260436989,77.50241197,GOOD,Available,"LT,HT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50241197 8.260436989, 77.50512502 8.261638032)"
12,336,S,DA,26,337-336,301,2.33,88.577652,,8.261638032,77.50512502,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50512502 8.261638032, 77.50727003 8.262554007)"
13,335,S,DA,26,336-335,287,7.91,91.04866,,8.262554007,77.50727003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50727003 8.262554007, 77.509766 8.263656981)"
