S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
1,56 LILO,3W,T,,,,,,,,,DB+0,22,,,,,3.25,FALSE,306.3034668,,10.09117733,77.57111608,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5711160805076 10.0911773275583, 77.5707672256976 10.0912294629961)"
2,2,,T,,,,25,33,56,RT,35°39'5''RT,DP 2,12,T 84,T  1,56 LILO DP 2,42.69242256,NIL,FALSE,306.7840576,51°57'18''RT,10.09122946,77.57076723,NO E/W,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5707672256976 10.0912294629961, 77.5709748454391 10.0908653531223)"
3,3,,T,23,40,54.26920442,,,,,20°41'55''RT,DP 3,12,T 1,T  2,DP 2- DP 3,50.28536076,NIL,FALSE,304.1405029,1°56'33''RT,10.09086535,77.57097485,NO E/W,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5709748454391 10.0908653531223, 77.5712028332054 10.0904318410903)"
4,4,,T,,,,,,,,33°34'40''RT,DB+0,22,T 2,T  3,DP 3-4,58.10259059,7.48,FALSE,303.1791992,51°4'51''LT,10.09043184,77.57120283,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5712028332054 10.0904318410903, 77.5737658515572 10.0899200420826)"
5,5,,S,,,,,,,,1°53'60''RT,DA+0,22,T 3,T  4,04-May,290.7439954,11.45,FALSE,301.4969482,,10.08992004,77.57376585,Good,Good,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5737658515572 10.0899200420826, 77.5760044064372 10.0894842669367)"
6,6,,T,4,54,42.18547677,12,25,18,RT,0°7'23''RT,DB+0,22,T 4,T  5,05-Jun,254.2020497,1.4,FALSE,313.75354,20°5'42''RT,10.08948427,77.57600441,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5760044064372 10.0894842669367, 77.5782972760498 10.0890339910984)"
7,7,,T,12,34,53.34986609,19,2,57,RT,1°3'24''RT,DD+0,22,T 5,T  6,06-Jul,260.3576978,2.64,FALSE,314.4744873,34°10'52''RT,10.08903399,77.57829728,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5782972760498 10.0890339910984, 77.5799133069813 10.0874105840921)"
8,8,,S,,,,35,20,50,RT,1°15'31''RT,DA+0,22,T 6,T  7,07-Aug,256.3758195,4.14,FALSE,305.5825195,,10.08741058,77.57991331,Good,Good,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5799133069813 10.0874105840921, 77.5813860911875 10.0858793780207)"
9,9,,S,15,49,20.0504287,,,,,0°44'22''RT,DA+0,22,T 7,T  8,08-Sep,238.1136243,3.7,FALSE,299.5742188,,10.08587938,77.58138609,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5813860911875 10.0858793780207, 77.5830398406833 10.0842112954705)"
10,10,,S,,,,36,10,14,RT,0°28'43''RT,DA+0,22,T 8,T  9,09-Oct,262.8032847,7.36,FALSE,296.9306641,,10.0842113,77.58303984,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5830398406833 10.0842112954705, 77.584711946547 10.0824997946619)"
11,11,2W,T,21,33,12.3055836,34,31,15,RT,22°2'55''RT,DB+0,22,T 9,T  10,10-Nov,267.6500343,6.72,FALSE,301.2565918,8°21'20''LT,10.08249979,77.58471195,Good,Good,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.584711946547 10.0824997946619, 77.5865017343312 10.0811353046447)"
12,12,,S,,,,57,59,5,LT,0°14'43''RT,DA+0,22,T 10,T  11,11-Dec,251.6654373,1.72,FALSE,297.1708984,,10.0811353,77.58650173,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5865017343312 10.0811353046447, 77.5883513689041 10.0797535479068)"
13,13,,S,17,49,52.33989923,,,,,0°4'2''RT,DA+0,22,T 11,T  12,Dec-13,258.0463133,2.34,FALSE,286.5966797,,10.07975355,77.58835137,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5883513689041 10.0797535479068, 77.5902243051677 10.0783492438495)"
14,14,,S,10,0,3.534980713,16,22,56,LT,0°12'40''RT,DA+0,22,T 12,T  13,13-14,261.5906841,0.97,FALSE,283.9528809,,10.07834924,77.59022431,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5902243051677 10.0783492438495, 77.5920662283897 10.0769264157861)"
15,15,,S,,,,9,52,50,LT,0°21'20''RT,DA+0,22,T 13,T  14,14-15,260.142701,9.12,FALSE,282.9915771,,10.07692642,77.59206623,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5920662283897 10.0769264157861, 77.5939952395856 10.0754307489842)"
16,16,,T,,,,,,,,0°27'28''RT,DD+0,22,T 14,T  15,15-16,272.6336685,6.72,FALSE,285.6352539,31°12'46''RT,10.07543075,77.59399524,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5939952395856 10.0754307489842, 77.5948417279869 10.0732163339853)"
17,17,,S,,,,,,,,0°25'28''RT,DA+0,22,T 15,T  16,16-17,266.0761364,8.32,FALSE,287.317627,,10.07321633,77.59484173,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5948417279869 10.0732163339853, 77.5957529246807 10.0708028487861)"
18,18,,S,,,,,,,,0°4'40''RT,DA+0,22,T 16,T  17,17-18,289.1963936,4.45,FALSE,279.3867188,,10.07080285,77.59575292,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5957529246807 10.0708028487861, 77.5966610200703 10.068371174857)"
19,19,,S,,,,,,,,0°5'17''RT,DA+0,22,T 17,T  18,18-19,290.9648334,4.41,FALSE,290.4418945,,10.06837117,77.59666102,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5966610200703 10.068371174857, 77.5975407846271 10.0660436041653)"
20,20,,T,,,,,,,,,DB+0,22,,,19-20,279.0835041,0.9,FALSE,301.0162354,19°57'44''RT,10.0660436,77.59754078,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5975407846271 10.0660436041653, 77.5975654274225 10.0636023748666)"
21,21,,T,,,,,,,,,DB+0,22,,,20-21,274.1963666,2.85,FALSE,288.7595215,30°50'27''LT,10.06360237,77.59756543,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5975654274225 10.0636023748666, 77.5963689107447 10.0614261813461)"
22,22,,S,,,,,,,,,DA+0,22,,,21-22,278.2852632,5.78,FALSE,282.0302734,,10.06142618,77.59636891,Good,Good,22KV,,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5963689107447 10.0614261813461, 77.5957924872636 10.0600600987672)"
23,23,,T,,,,,,,,,DB+0,22,,,22-23,167.8782336,8.42,FALSE,290.4418945,29°33'36''RT,10.0600601,77.59579249,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5957924872636 10.0600600987672, 77.5960104167461 10.0584723986685)"
24,24,,S,,,,,,,,,DA+0,22,,,23-24,181.3367048,0.14,0,283.7125244,,10.0584724,77.59601042,Good,Good,"22KV,LT",ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5960104167461 10.0584723986685, 77.5953174848109 10.0568607263267)"
25,25,,S,,,,,,,,,DA+0,22,,,24-25,189,3.89,FALSE,274.8205566,,10.05686073,77.59531748,Good,Good,22KV,,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5953174848109 10.0568607263267, 77.5964414980262 10.0546960998326)"
26,26,,S,,,,,,,,,DA+0,22,,,25-26,264,3.62,FALSE,278.9061279,,10.0546961,77.5964415,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5964414980262 10.0546960998326, 77.5965952221304 10.0531641393899)"
27,27,,T,,,,,,,,,DB+0,22,,,26-27,174.3857323,3.31,FALSE,272.4172363,95°41'48''LT,10.05316414,77.59659522,Good,Good,"2-22KV,LT",ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5965952221304 10.0531641393899, 77.5963711738586 10.053119463846)"
28,GANTRY,2W,T,,,,,,,,,GANTRY,12,,,27-GANTRY,29.06777275,NIL,,262.8040771,,10.05311946,77.59637117,NO E/W,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL KM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
