S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,GANTRY,GANTRY,15,,,,114,,10.0788570195436,78.735274085775,GOOD,,,,PLAIN,230KV KARAIKUDI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.735274085775 10.0788570195436, 78.7354892492294 10.0791681557893)"
2,TN - 1,T,SC ON SC,23,"=CONCATENATE(B6, "" : "", B7)",43.73533682203365,4.7,113,20°51'42''LT,10.0791681557893,78.7354892492294,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7354892492294 10.0791681557893, 78.7358342483639 10.079405028373)"
3,TN - 2,T,SC ON SC,23,"=CONCATENATE(B7, "" : "", B8)",48.02225553929528,3.6,114,33°28'1''LT,10.079405028373,78.7358342483639,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7358342483639 10.079405028373, 78.7365166191011 10.0794170144945)"
4,TN - 3,T,SC ON SC,23,"=CONCATENATE(B8, "" : "", B9)",76.83526927108817,4.1,109,26°35'15''RT,10.0794170144945,78.7365166191011,GOOD,AVAILABLE,66KV -2N,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7365166191011 10.0794170144945, 78.7387762963771 10.0805980246514)"
5,TN - 4,S,SC ON SC,23,"=CONCATENATE(B9, "" : "", B10)",282.12563825127023,10.7,108,,10.0805980246514,78.7387762963771,RUSTED,NO E/W,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7387762963771 10.0805980246514, 78.7407362367957 10.0816424936056)"
6,TN - 5,S,SC ON SC,23,"=CONCATENATE(B10, "" : "", B11)",246.01334179678582,3.6,106,,10.0816424936056,78.7407362367957,GOOD,NO E/W,"11KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7407362367957 10.0816424936056, 78.7423398625105 10.0824780017137)"
7,TN - 6,T,SC ON SC,23,"=CONCATENATE(B11, "" : "", B12)",200.66027555718892,4.5,103,5°1'16''RT,10.0824780017137,78.7423398625105,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7423398625105 10.0824780017137, 78.7437403108924 10.0833715964108)"
8,TN - 7,S,SC ON SC,23,"=CONCATENATE(B12, "" : "", B13)",184.6384500591245,2.9,107,,10.0833715964108,78.7437403108924,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7437403108924 10.0833715964108, 78.7457269057631 10.084537602961)"
9,TN - 8,T,SC ON SC,23,"=CONCATENATE(B13, "" : "", B14)",255.1702741094944,4.3,110,43°51'3''RT,10.084537602961,78.7457269057631,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7457269057631 10.084537602961, 78.7482624314725 10.0840107165277)"
10,TN - 9,S,SC ON SC,23,"=CONCATENATE(B14, "" : "", B15)",286.06665392247925,1.6,112,,10.0840107165277,78.7482624314725,GOOD,AVAILABLE,110KV BELOW XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7482624314725 10.0840107165277, 78.7507931794971 10.0834826566278)"
11,TN - 10,S,SC ON SC,23,"=CONCATENATE(B15, "" : "", B16)",285.58063788151566,3.4,115,,10.0834826566278,78.7507931794971,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7507931794971 10.0834826566278, 78.7534534279257 10.0829323846846)"
12,TN - 11,S,SC ON SC,23,"=CONCATENATE(B16, "" : "", B17)",299.98246094129354,2.7,117,,10.0829323846846,78.7534534279257,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7534534279257 10.0829323846846, 78.7563079688698 10.0823289714753)"
13,TN - 12,T,SC ON SC,23,"=CONCATENATE(B17, "" : "", B18)",322.041602051936,4.6,118,7°13'39''RT,10.0823289714753,78.7563079688698,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7563079688698 10.0823289714753, 78.759054550901 10.0821027439087)"
14,TN - 13,S,SC ON SC,23,"=CONCATENATE(B18, "" : "", B19)",304.2005310377694,-,112,,10.0821027439087,78.759054550901,GOOD,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.759054550901 10.0821027439087, 78.7615340016782 10.0818910170346)"
15,TN - 14,T,SC ON SC,23,"=CONCATENATE(B19, "" : "", B20)",274.8783697163642,2.4,114,16°24'29''LT,10.0818910170346,78.7615340016782,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7615340016782 10.0818910170346, 78.7619779910892 10.0817180145531)"
16,LILO  - 15,T,DC ON DC,28,"=CONCATENATE(B20, "" : "", B21)",54.31137890800435,2.85,114,18°47'7''RT,10.0817180145531,78.7619779910892,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,COMMON TOWER FOR 110KV KARAIKUDI 110KV - VAIYALUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7619779910892 10.0817180145531, 78.7643801607191 10.0816129893064)"
17,TN - 16,T,DC ON DC,28,"=CONCATENATE(B21, "" : "", B22)",265.65303408250173,3.03,113,0°47'41''LT,10.0816129893064,78.7643801607191,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7643801607191 10.0816129893064, 78.7662885524332 10.0815030187368)"
18,TN - 17,T,DC ON DC,28,"=CONCATENATE(B22, "" : "", B23)",211.60753199455314,2.36,115,161°1'43''LT,10.0815030187368,78.7662885524332,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7662885524332 10.0815030187368, 78.7664591241627 10.0815508794039)"
19,GANTRY ,GANTRY,GANTRY,15,"=CONCATENATE(B23, "" : "", B24)",21.438328005097766,2.97,114,,10.0815508794039,78.7664591241627,GOOD,NO E/W,,,PLAIN,110KV KARAKUDI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
