S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,GANTRY,GANTRY,15,,,-,28.09203,,8.889184,77.772214,GOOD,,,,PLAIN,230KV KAYATHAR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772214 8.889184, 77.772184 8.88952)"
2,TN - 01 ,T,DC on DC,32,"=CONCATENATE(B6, "" : "", B7)",39.33608394177114,4.62,29,78°10'58''RT,8.88952,77.772184,GOOD,OPGW,,,PLAIN,230KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772184 8.88952, 77.772804 8.889447)"
3,TN -  02,T,SC on SC,28,"=CONCATENATE(B7, "" : "", B8)",70.72236203705965,7.52,30,58°55'24''LT,8.889447,77.772804,GOOD,OPGW,,,PLAIN,230KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772804 8.889447, 77.773706 8.887455)"
4,TN - 03,T,SC on SC,34,"=CONCATENATE(B8, "" : "", B9)",243.80643242275426,3.61,29,8°31'33''LT,8.887455,77.773706,GOOD,OPGW,,,PLAIN,230KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773706 8.887455, 77.773902 8.886764)"
5,TN - 04,T,SC on SC,34,"=CONCATENATE(B9, "" : "", B10)",81.4673172148015,8.66,28.109476,52°44'7''RT,8.886764,77.773902,GOOD,OPGW,110KV KAYATHAR - PALAYAMKOTTAI DOWN XING,,PLAIN,230KV LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773902 8.886764, 77.7745974250137 8.88649106025695)"
6,TN - 3,T,SC on DC,25,"=CONCATENATE(B10, "" : "", B11)",84.29433154762859,4.12,30.272999,33°17'59''LT,8.88649106025695,77.7745974250137,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7745974250137 8.88649106025695, 77.7750770375132 8.88581296429038)"
7,H POLE 1,H POLE,H POLE,15,"=CONCATENATE(B11, "" : "", B12)",93.76218731950974,7.62,26.818712,1°37'22''RT,8.88581296429038,77.7750770375132,GOOD,NO E/W,,,PLAIN,OPGW is connected directly from TN 03 to TN 04  at bottom level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7750770375132 8.88581296429038, 77.7753389719873 8.88546402566134)"
8,H POLE 2,H POLE,H POLE,15,"=CONCATENATE(B12, "" : "", B13)",60,8.54,26.5434,8°42'25''RT,8.88546402566134,77.7753389719873,GOOD,NO E/W,230KV DC UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7753389719873 8.88546402566134, 77.7757709752768 8.88504099100828)"
9,TN - 4,T,SC on DC,25,"=CONCATENATE(B13, "" : "", B14)",80,4.62,26.3296965,5°38'23''LT,8.88504099100828,77.7757709752768,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7757709752768 8.88504099100828, 77.7775549795478 8.88291198760271)"
10,TN - 5,S,SC on DC,26,"=CONCATENATE(B14, "" : "", B15)",308.7457028675249,5.33,25.7734521,,8.88291198760271,77.7775549795478,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7775549795478 8.88291198760271, 77.7794195339083 8.88072540052235)"
