S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 01 (09 ),T,DC,26,,,4.28,28.09203,,8.169616973,77.58321703,GOOD,,,,PLAIN,"Common tower for 
110KV Maharajapuram - Karungulam Link",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58321703 8.169616973, 77.58313699 8.169205002)"
2,TN 02,T,SC,23,LILO : 01 - TN 02,48.43647945186925,3.16,28.109476,4°55'4''RT,8.169205002,77.58313699,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58313699 8.169205002, 77.58240097 8.166625975)"
3,TN 03,S,SA,23,TN 02 - TN 03,298.7181543034204,1.22,27.246119,,8.166625975,77.58240097,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58240097 8.166625975, 77.58169102 8.16422699)"
4,TN 04,S,SA,23,TN 03 - TN 04,278.7805853230886,5.01,30.272999,,8.16422699,77.58169102,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58169102 8.16422699, 77.5809167 8.161694482)"
5,TN 05,S,SA,23,TN 04 - TN 05,294.9725759419358,NIL,26.818712,,8.161694482,77.5809167,GOOD,AVAILABLE,"LT,HT",MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5809167 8.161694482, 77.58016946 8.158958293)"
6,TN 06,T,SC,23,TN 05 - TN 06,315.8054535064204,NIL,26.5434,4°20'35''LT,8.158958293,77.58016946,GOOD,AVAILABLE,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58016946 8.158958293, 77.57969202 8.156483034)"
7,TN 07,T,SC,23,TN 06 - TN 07,280.93288237049074,4.17,22.432137,5°22'39''RT,8.156483034,77.57969202,GOOD,AVAILABLE,"LT,HT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57969202 8.156483034, 77.578925 8.153862013)"
8,TN 08,S,SA,23,TN 07 - TN 08,304.1295800213598,1.39,22.175163,,8.153862013,77.578925,GOOD,AVAILABLE,LT,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.578925 8.153862013, 77.57814724 8.15131668)"
9,TN 09,S,SA,23,TN 08 - TN 09,296.440661517938,NIL,22.895353,,8.15131668,77.57814724,GOOD,AVAILABLE,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57814724 8.15131668, 77.57780501 8.149932995)"
10,TN 10,T,SC,23,TN 09 - TN 10,159.70412933244322,3.09,20.033531,24°33'46''RT,8.149932995,77.57780501,GOOD,AVAILABLE,HT -2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57780501 8.149932995, 77.57643096 8.148205988)"
