S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT 230KV PASUMALAI SS,2W,GANTRY,GANTRY,15,,,,167,,9.906516373,78.08146309,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0814630910754 9.9065163731575, 78.0805552471429 9.90683337673544)"
2,TN - 450,,T,SC on SC,27,GANTRY : TN - 450,107.6489199,6.52,173,11°46'47''RT,9.906833377,78.08055525,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0805552471429 9.90683337673544, 78.0786045268177 9.90708910860121)"
3,TN - 449,,S,SC on SC,28,TN - 446 : TN - 445,217.9857676,8.71,188,,9.907089109,78.07860453,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0786045268177 9.90708910860121, 78.0766255594789 9.90730066783726)"
4,TN - 448,,S,SC on SC,28,TN - 445 : TN - 444,220.4820176,5.68,190,,9.907300668,78.07662556,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0766255594789 9.90730066783726, 78.0746465921401 9.90750811994075)"
5,TN - 447,,T,SC on SC,27,TN - 444 : TN - 443,220.4339851,7.55,180,31°16'3''LT,9.90750812,78.07464659,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0746465921401 9.90750811994075, 78.0733344890177 9.9069032818079)"
6,TN - 446,,S,SC on SC,28,TN - 443 : TN - 442,160.8283833,2.45,182,,9.906903282,78.07333449,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0733344890177 9.9069032818079, 78.072019284591 9.90638117305934)"
7,TN - 445,,T,SC on SC,27,TN - 442 : TN - 441,157.5061698,5.62,172,39°58'31''RT,9.906381173,78.07201928,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.072019284591 9.90638117305934, 78.071015048772 9.90667621605098)"
8,TN - 444,2W,T,DC on DC,30,TN - 441 : TN - 440,116.9689196,3.28,168,4°42'46''LT,9.906676216,78.07101505,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,COMMON TOWER FOR 230KV PANUMALAI - ANUPANKULAM  & 230KV PASUMALAI - KAYATHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.071015048772 9.90667621605098, 78.0692105088382 9.90737199783325)"
9,TN - 443,,S,DC on DC,32,TN - 440 : TN - 439,214.5277082,NOT TAKEN,159,,9.907371998,78.06921051,GOOD,AVAILABLE,,,WATER LOGGED,INSIDE OF POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0692105088382 9.90737199783325, 78.0672505684196 9.90813508629798)"
10,TN - 442,,T,DC on DC,30,TN - 439 : TN - 438,233.1274661,NOT TAKEN,163,54°44'1''LT,9.908135086,78.06725057,GOOD,AVAILABLE,,,WATER LOGGED,INSIDE OF POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0672505684196 9.90813508629798, 78.0653713457286 9.90696111693978)"
11,TN - 441,,T,DC on DC,57,TN - 438 : TN - 437,245.8043049,2.47,164,27°45'49''RT,9.906961117,78.06537135,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0653713457286 9.90696111693978, 78.0650564376264 9.9064209870994)"
12,TN - 440,,T,DC on DC,57,TN - 437 : TN - 436,71.06723257,5.54,162,27°12'5''LT,9.906420987,78.06505644,GOOD,AVAILABLE,230KV SC DOWN XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0650564376264 9.9064209870994, 78.0628958344459 9.90504157729446)"
13,TN - 439,,T,DC on DC,30,TN - 436 : TN - 435,284.0753283,5.5,165,40°23'12''RT,9.905041577,78.06289583,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0628958344459 9.90504157729446, 78.060377407819 9.90535338409245)"
14,TN - 438,,S,DC on DC,32,TN - 435 : TN - 434,280.5896481,6.32,164,,9.905353384,78.06037741,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.060377407819 9.90535338409245, 78.0576619226485 9.90566862747073)"
15,TN - 437,,S,DC on DC,32,TN - 434 : TN - 434A,302.1100818,4.25,163,,9.905668627,78.05766192,GOOD,AVAILABLE,LT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0576619226485 9.90566862747073, 78.0548440944403 9.90599719807505)"
16,TN - 436,,S,DC on DC,32,TN - 434A : TN - 433,313.4399454,6.23,162,,9.905997198,78.05484409,GOOD,AVAILABLE,LT,"CANAL, ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0548440944403 9.90599719807505, 78.0519293714314 9.90631872788071)"
17,TN - 435,,S,DC on DC,32,TN - 433 : TN - 432,323.9189136,7.62,164,,9.906318728,78.05192937,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0519293714314 9.90631872788071, 78.0492389481514 9.90650991909205)"
18,TN - 434,,S,DC on DC,32,TN - 432 : TN - 431,298.0819007,2.77,166,,9.906509919,78.04923895,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0492389481514 9.90650991909205, 78.0477852746844 9.90674469619989)"
19,TN - 434A,,S,DC on DC,32,TN - 431 : TN - 430,163.6710413,6.36,168,,9.906744696,78.04778527,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0477852746844 9.90674469619989, 78.0463693197816 9.90692054852843)"
