S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO,3W,T,KCR,DB+0,22,,,3.31,FALSE,256.5556641,,10.19078552,77.79816197,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7981619723141 10.190785517916, 77.7991752605885 10.1896185893565)"
2,2,,T,KCR+3,DB+3,25,1 LILO-2,174.387786,3.81,0,258.4782715,4°59'34''LT,10.18961859,77.79917526,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7991752605885 10.1896185893565, 77.801087507978 10.1877696253359)"
3,3,,T,KCR,DD+0,24,02-Mar,297.02143,6.73,0,263.5251465,39°22'20''RT,10.18776963,77.80108751,Good,Good,2-LT,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.801087507978 10.1877696253359, 77.8012916073203 10.1859448850154)"
4,4,,S,GCR,DA+0,22,03-Apr,207.22355,3.69,FALSE,263.5251465,,10.18594489,77.80129161,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8012916073203 10.1859448850154, 77.8015545476228 10.1840364933013)"
5,5,,T,KCR,DD+0,24,04-May,217.2058125,5.31,FALSE,263.7653809,42°51'28''LT,10.18403649,77.80155455,Good,Good,,,PLAIN,MANGO FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8015545476228 10.1840364933013, 77.8018815256655 10.1837707031518)"
6,DP 6,,T,DP,DP ,12,5- DP 6,50.38235243,NIL,FALSE,262.0831299,,10.1837707,77.80188153,Good,Good,230KV ,,PLAIN,OUR LINE UNDER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8018815256655 10.1837707031518, 77.8022195678204 10.1834998838603)"
7,DP 7,,T,DP,DP ,12,DP 6- DP 7,51.6746876,NIL,FALSE,265.4477539,,10.18349988,77.80221957,Good,Good,,,PLAIN,MANGO FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8022195678204 10.1834998838603, 77.802435401827 10.1831835508346)"
8,8,,T,KCR,DB+0,22,DP 7-8,46.26503669,3.86,FALSE,264.4863281,14°58'42''LT,10.18318355,77.8024354,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.802435401827 10.1831835508346, 77.8044329769909 10.1814653445035)"
9,9,,S,GCR+3,DA+3,25,08-Sep,294.1041787,0.36,FALSE,266.1687012,,10.18146534,77.80443298,Good,Good,,,PLAIN,MANGO FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8044329769909 10.1814653445035, 77.8060511033982 10.1800773013383)"
10,10,,S,GCR,DA+0,22,09-Oct,238.7242854,0.7,FALSE,272.4172363,,10.1800773,77.8060511,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8060511033982 10.1800773013383, 77.8079532086849 10.1784460991621)"
