S.No,Tower No.,Tower Model,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length(m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T. NO 7 LILO ,,T,DB+6,28,,,13.58,"=IF(I6>15,0)",259.718505859375,,10.414917692542,78.0444582458585,Good,Good,,,PLAIN,T.NO 7 LILO (SEMPATTY TRICHY UPTO AYYALUR SENGURUCHI - LILO THAMARAPADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0444582458585 10.414917692542, 78.0446626804769 10.4149636253714)"
2,1,KCR,T,DB+6,28,"=B6&""-""&B7",26.97496046779648,4.45,"=IF(I7>15,0)",258.718505859375,14°32'12''RT,10.4149636253714,78.0446626804769,Good,Good,,ANDONI WOMENS CLG,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0446626804769 10.4149636253714, 78.0474631581455 10.4148789681494)"
3,2,KCR,T,DB+6,28,"=B7&""-""&B8",311.06252178931237,0.6,"=IF(I8>15,0)",258.718505859375,18°9'13''LT,10.4148789681494,78.0474631581455,Good,Good,,ANDONI WOMENS CLG,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0474631581455 10.4148789681494, 78.0486346129328 10.4152203630656)"
4,3,KCR,T,DD+6,28,"=B8&""-""&B9",137.83353725038424,0.82,"=IF(I9>15,0)",256.5556640625,89°52'45''RT,10.4152203630656,78.0486346129328,Good,Good,,ANDONI WOMENS CLG,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0486346129328 10.4152203630656, 78.0484752729535 10.4157520271837)"
5,4,KCR,T,DD+6,28,"=B9&""-""&B10",65.39601272565284,1.23,"=IF(I10>15,0)",257.516967773437,56°18'45''LT,10.4157520271837,78.0484752729535,Good,Good,,ANDONI WOMENS CLG,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0484752729535 10.4157520271837, 78.0495334044098 10.4170380625873)"
6,5,KCR,T,DD+6,30,"=B10&""-""&B11",187.62715937545477,2.2,"=IF(I11>15,0)",263.525146484375,37°38'24''RT,10.4170380625873,78.0495334044098,Good,Good,,ANDONI WOMENS CLG,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0495334044098 10.4170380625873, 78.0517111066728 10.4175435751676)"
7,6,KCR,T,DB+6,28,"=B11&""-""&B12",249.13725644771858,NIL,"=IF(I12>15,0)",269.773681640625,5°11'43''LT,10.4175435751676,78.0517111066728,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0517111066728 10.4175435751676, 78.051961 10.417526)"
8,THAMARAPADI GANTRY,,T,GANTRY,12,"=B12&""-""&B13",42,NIL,,270,,10.417526,78.051961,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL KM,,=SUM(H6:H13),,,,,,,Good,E/W NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
