S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO :  153 ,T,DC+0,26,,,3.75,"=IF(H6>15,0)",160,,10.520722222222224,78.18491666666667,GOOD,,,,Plain,LILO to Ayyalur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18491666666667 10.520722222222224, 78.18633333333334 10.52063888888889)"
2,154,S,DA+0,26,"=B6 &"" - "" &B7",154.32343852144876,1.76,"=IF(H7>15,0)",160,,10.52063888888889,78.18633333333334,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18633333333334 10.52063888888889, 78.18902777777778 10.520305555555556)"
3,155,T,DC+0,26,"=B7 &"" - "" &B8",298.6914608837045,2.24,"=IF(H8>15,0)",158,"22°48'39"" R",10.520305555555556,78.18902777777778,GOOD,Available,"LT, HT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18902777777778 10.520305555555556, 78.19186111111111 10.521111111111113)"
4,156,S,DA+0,26,"=B8 &"" - "" &B9",322.1478303318369,1.89,"=IF(H9>15,0)",159,,10.521111111111113,78.19186111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19186111111111 10.521111111111113, 78.19472222222223 10.521833333333333)"
5,157,S,DA+0,26,"=B9 &"" - "" &B10",322.8114337601893,3.65,"=IF(H10>15,0)",160,,10.521833333333333,78.19472222222223,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19472222222223 10.521833333333333, 78.19725 10.522527777777778)"
7,158,S,DA+0,26,"=B10 &"" - "" &B11",288.3959896280285,4.15,"=IF(H11>15,0)",158,,10.522527777777778,78.19725,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19725 10.522527777777778, 78.2003611111111 10.52338888888889)"
8,159,S,DA+0,26,"=B11 &"" - "" &B12",353.1940907574507,1.85,"=IF(H12>15,0)",160,"3°12'30""",10.52338888888889,78.2003611111111,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2003611111111 10.52338888888889, 78.20172222222223 10.523833333333334)"
9,LILO :  159/1,T,DC+9,=26+9,"=B12 &"" - "" &B13",157.20196862876833,5.72,"=IF(H13>15,0)",160.633743,,10.523833333333334,78.20172222222223,GOOD,,,,Plain,LILO to Puthanatham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
