S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO KOVILUR (105/48),3W,T,DB+0,22,,,5.21,FALSE,247.9038086,,10.53907874,78.01859588,Good,Good,,,PLAIN,LILO KOVILUR AT RENGANATHAPURAM LILO FROM SEMBATTY-TRICHY UPTO AYYALUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0185958836227 10.539078740403, 78.0182809755206 10.5414330493658)"
2,2,,T,DB+0,22,001 LILO-2,269,3.21,FALSE,247.1827393,27°52'44''LT,10.54143305,78.01828098,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0182809755206 10.5414330493658, 78.01910944283 10.5438715964555)"
3,3,,S,DA+0,24,02-Mar,290,2.58,FALSE,239.732666,1°12'29''RT,10.5438716,78.01910944,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01910944283 10.5438715964555, 78.0198287777602 10.545849809423)"
4,4,,S,DA+0,24,03-Apr,238,5.62,FALSE,236.8487549,,10.54584981,78.01982878,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0198287777602 10.545849809423, 78.0206470191478 10.5482238158583)"
5,5,,T,DB+0,22,04-May,283,8.96,FALSE,233.9647217,19°8'10''LT,10.54822382,78.02064702,Good,Good,"22KV,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0206470191478 10.5482238158583, 78.0206344462931 10.5505680665373)"
6,6,,S,DA+0,24,05-Jun,265,9.21,FALSE,234.4454346,,10.55056807,78.02063445,Good,Good,LT,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0206344462931 10.5505680665373, 78.0206778645515 10.5528305936604)"
7,7,,T,DC+0,22,06-Jul,256,2.31,FALSE,235.4067383,26°29'29''RT,10.55283059,78.02067786,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0206778645515 10.5528305936604, 78.0217858683317 10.5549295898526)"
8,8,,S,DA+0,24,07-Aug,267,2.22,FALSE,227.956543,,10.55492959,78.02178587,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0217858683317 10.5549295898526, 78.0229427386075 10.5571024306118)"
9,9,,S,DA+0,24,08-Sep,277,3.62,FALSE,237.3294678,,10.55710243,78.02294274,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0229427386075 10.5571024306118, 78.0239067412912 10.5589060485363)"
10,10,,S,DA+0,24,09-Oct,231,5.62,FALSE,230.8405762,,10.55890605,78.02390674,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0239067412912 10.5589060485363, 78.0250491108745 10.5610086)"
11,11,,S,DA+0,24,10-Nov,271,4.21,FALSE,231.8017578,,10.5610086,78.02504911,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0250491108745 10.5610086, 78.0260111019015 10.5628126021474)"
12,12,,S,DA+0,24,11-Dec,230,5.23,FALSE,238.7713623,,10.5628126,78.0260111,Good,Good,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0260111019015 10.5628126021474, 78.0271134059876 10.5648820102214)"
13,13,,T,DB+0,22,Dec-13,264,5.69,FALSE,235.6469727,18°30'59''LT,10.56488201,78.02711341,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0271134059876 10.5648820102214, 78.027497716248 10.5672104191035)"
14,14,,S,DA+0,24,13-14,267,8.92,FALSE,239.0117188,,10.56721042,78.02749772,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.027497716248 10.5672104191035, 78.0279110278934 10.569743765518)"
15,15,,S,DA+0,24,14-15,290,2.11,FALSE,238.2907715,,10.56974377,78.02791103,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0279110278934 10.569743765518, 78.0282782390713 10.5719440989196)"
16,16,,S,DA+3,27,15-16,252,3.2,FALSE,239.9730225,,10.5719441,78.02827824,Good,Good,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0282782390713 10.5719440989196, 78.0285924766212 10.573901021853)"
17,17,2W,T,DB+0,22,16-17,225,6.2,FALSE,235.8873291,18°41'8''RT,10.57390102,78.02859248,Good,Good,22KV,ROAD & POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0285924766212 10.573901021853, 78.0298712197691 10.5763095617294)"
18,18,,S,DA+0,24,17-18,307,4.5,FALSE,236.8487549,,10.57630956,78.02987122,Good,Good,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0298712197691 10.5763095617294, 78.0306145269423 10.5775817669928)"
19,19,,T,DB+3,25,18-19,168,6.12,FALSE,244.2989502,4°42'28''LT,10.57758177,78.03061453,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0306145269423 10.5775817669928, 78.0317750014364 10.5800081603229)"
20,20,,T,DB+0,22,19-20,303,1.1,FALSE,243.8182373,11°16'55''RT,10.58000816,78.031775,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0317750014364 10.5800081603229, 78.0332566704601 10.5819816794246)"
21,21,,S,DA+0,24,20-21,277,0.92,FALSE,245.7408447,,10.58198168,78.03325667,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0332566704601 10.5819816794246, 78.0348126031458 10.5840412806719)"
22,22,,T,DB+0,22,21-22,290,1.03,FALSE,242.1359863,2°5'26''LT,10.58404128,78.0348126,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0348126031458 10.5840412806719, 78.0360797792673 10.5858528614044)"
23,23,,S,DA+0,24,22-23,249,8.96,FALSE,239.2520752,,10.58585286,78.03607978,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0360797792673 10.5858528614044, 78.0375376436859 10.5878528673201)"
24,24,,S,DA+0,24,23-24,278,5.65,FALSE,245,,10.58785287,78.03753764,Good,Good,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0375376436859 10.5878528673201, 78.038787888363 10.5897391308099)"
25,25,,S,DA+0,24,24-25,255,4.52,FALSE,249.1053467,,10.58973913,78.03878789,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.038787888363 10.5897391308099, 78.0403583217412 10.5919390451163)"
26,26,,T,DB+0,22,25-26,303,7.28,FALSE,241.8956299,7°34'39''RT,10.59193905,78.04035832,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0403583217412 10.5919390451163, 78.0419242288917 10.5936114862561)"
27,27,,S,DA+0,24,26-27,257,5.36,FALSE,252.4700928,,10.59361149,78.04192423,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0419242288917 10.5936114862561, 78.0436134338378 10.5955391563475)"
28,28,,S,DA+0,24,27-28,287,3.22,FALSE,254.1523438,,10.59553916,78.04361343,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0436134338378 10.5955391563475, 78.045191578567 10.5973099172115)"
29,29,,S,DA+0,24,28-29,266,1.23,FALSE,249.1053467,,10.59730992,78.04519158,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.045191578567 10.5973099172115, 78.046943899244 10.5992163810878)"
30,30,2W,T,DB+0,22,29-30,290,2.31,FALSE,254.1523438,14°51'20''RT,10.59921638,78.0469439,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.046943899244 10.5992163810878, 78.0490003153681 10.6005306635051)"
31,31,,S,DA+0,24,30-31,273,4.21,FALSE,245.0198975,,10.60053066,78.04900032,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0490003153681 10.6005306635051, 78.0505630373954 10.6015062332153)"
32,32,,S,DA+0,24,31-32,207,5.36,FALSE,244.0585938,,10.60150623,78.05056304,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0505630373954 10.6015062332153, 78.0521095823496 10.6024873349815)"
33,33,,T,DD+3,27,32-33,206,3.54,FALSE,241.1746826,48°38'35''RT,10.60248733,78.05210958,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0521095823496 10.6024873349815, 78.0548389814794 10.601714355871)"
34,34,,T,DD+0,24,33-34,315,5.98,FALSE,241.1746826,37°18'2''LT,10.60171436,78.05483898,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0548389814794 10.601714355871, 78.0567085649818 10.6024364568293)"
35,35,,S,DA+0,24,34-35,224,9.36,FALSE,247.4230957,,10.60243646,78.05670856,Good,Good,,NEAR MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0567085649818 10.6024364568293, 78.0586439464241 10.6031182408332)"
36,36,,S,DA+0,24,35-36,229,2.36,FALSE,246.9425049,,10.60311824,78.05864395,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0586439464241 10.6031182408332, 78.0600634217262 10.6036656629294)"
37,37,,T,DB+0,22,36-37,171,5.78,FALSE,242.6165771,18°22'17''RT,10.60366566,78.06006342,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0600634217262 10.6036656629294, 78.0621444806456 10.6037708558142)"
38,38,,S,DA+0,24,37-38,232,2.15,FALSE,246.2215576,,10.60377086,78.06214448,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0621444806456 10.6037708558142, 78.0640521179884 10.6038578599691)"
39,39,,S,DA+0,24,38-39,213,2.63,FALSE,245.7408447,,10.60385786,78.06405212,Good,Good,,GOLD ROCK MINES,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0640521179884 10.6038578599691, 78.0666654277592 10.6040745321661)"
40,40,,T,DB+0,22,39-40,291,4.56,FALSE,246.7021484,12°24'27''RT,10.60407453,78.06666543,Good,Good,"22KV, LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0666654277592 10.6040745321661, 78.0681884195655 10.6038730312138)"
41,41,,T,DD+0,24,40-41,172,5.96,FALSE,251.9893799,36°56'49''LT,10.60387303,78.06818842,Good,Good,22KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0681884195655 10.6038730312138, 78.069968400523 10.6048624310642)"
42,42,,T,DD+0,24,41-42,228,2.47,FALSE,256.0749512,48°46'25''RT,10.60486243,78.0699684,Good,Good,"22KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.069968400523 10.6048624310642, 78.0715528316795 10.6043090578168)"
43,43,,S,DA+0,24,42-43,188,3.66,FALSE,250.0667725,,10.60430906,78.07155283,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0715528316795 10.6043090578168, 78.0731996241956 10.6036941614001)"
44,44,,T,DB+0,22,43-44,197,9.21,FALSE,255.8347168,15°23'52''RT,10.60369416,78.07319962,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0731996241956 10.6036941614001, 78.0745276529341 10.602736948058)"
45,45,,T,DB+6,28,44-45,184,5.24,FALSE,254.3927002,15°8'49''LT,10.60273695,78.07452765,Good,Good,2-22KV,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0745276529341 10.602736948058, 78.0755471438169 10.602351212874)"
46,46,2W,T,DB+6,28,45-46,124,4.32,FALSE,257.5169678,18°29'37''LT,10.60235121,78.07554714,Good,Good,22KV,RAILWAY CROSSING,RAILWAY,SLM-MDU RAILWAY TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0755471438169 10.602351212874, 78.077947217971 10.6022502109408)"
47,47,,S,DA+0,24,46-47,267,3.31,0,254.6330566,,10.60225021,78.07794722,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.077947217971 10.6022502109408, 78.0805192049592 10.6021533999592)"
48,48,,T,DD+0,24,47-48,286,2.25,FALSE,265.6879883,50°8'52''RT,10.6021534,78.0805192,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0805192049592 10.6021533999592, 78.0812856461852 10.6011713761836)"
49,49,,T,DD+0,24,48-49,142,4.56,FALSE,266.4089355,68°57'32''LT,10.60117138,78.08128565,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0812856461852 10.6011713761836, 78.0815502628684 10.6012495793402)"
50,50 (105/48/50),,T,DD+0,24,49-50,35,5.64,FALSE,265.6879883,69°4'47''LT,10.60124958,78.08155026,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0815502628684 10.6012495793402, 78.0815693736076 10.6015017069876)"
51,Kovilur GANTRY,2W,T,GANTRY,12,50-Gantry Kovilur,33,NIL,,264.4863281,,10.60150171,78.08156937,Good,NO E/W,,,PLAIN,KOVILUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL KM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
