S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 291/1,T,DC,26,,,2.11,"=IF(H6>15,0)",319.439055999999,,10.4350409656763,77.8089179657399,GOOD,,,,PLAIN,Sempatti - Renganathapuram LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8089179657399 10.4350409656763, 77.8077299986034 10.4364349599927)"
2,291,S,SC,25,LILO : 291/1 - 291,208.88079412233742,4.05,"=IF(H7>15,0)",320.533690999999,,10.4364349599927,77.8077299986034,GOOD,Available,LT - 2 No,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8077299986034 10.4364349599927, 77.8063029795885 10.4380749631673)"
3,290,S,SC,25,291 - 290,246.59749746727687,1.63,"=IF(H8>15,0)",321.914154,,10.4380749631673,77.8063029795885,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8063029795885 10.4380749631673, 77.8049850091338 10.4396790079772)"
4,289,S,SC,25,290 - 289,235.8739335287839,2.58,"=IF(H9>15,0)",322.870971999999,,10.4396790079772,77.8049850091338,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8049850091338 10.4396790079772, 77.8036470059305 10.4412729945033)"
5,288,S,SC,25,289 - 288,236.40706529382726,4.13,"=IF(H10>15,0)",326.055634,,10.4412729945033,77.8036470059305,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8036470059305 10.4412729945033, 77.8023000340908 10.4428750276565)"
6,287,S,SC,25,288 - 287,237.7195372631281,3.91,"=IF(H11>15,0)",327.856964,,10.4428750276565,77.8023000340908,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8023000340908 10.4428750276565, 77.8007620386779 10.4446769692003)"
7,286,T,SC,24,287 - 286,268.1240595276019,4.02,"=IF(H12>15,0)",329.397461,1°1'21''LT,10.4446769692003,77.8007620386779,GOOD,Available,LT - 2 No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8007620386779 10.4446769692003, 77.7995429746806 10.4461579676717)"
8,285,S,SC,25,286 - 285,218.46616517674497,3.61,"=IF(H13>15,0)",328.899475,,10.4461579676717,77.7995429746806,GOOD,Available,"LT, 110KV",,AGRI,110KV UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7995429746806 10.4461579676717, 77.7982629742473 10.4476539697498)"
9,284,S,SC,25,285 - 284,224.00976128481548,3.11,"=IF(H14>15,0)",328.385253999999,,10.4476539697498,77.7982629742473,GOOD,Available,HT,Sempatti - Oddanchatram Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7982629742473 10.4476539697498, 77.7969330176711 10.449279975146)"
10,283,S,SC,25,284 - 283,238.584839603722,2.74,"=IF(H15>15,0)",327.440520999999,,10.449279975146,77.7969330176711,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7969330176711 10.449279975146, 77.7955940086394 10.4508599638938)"
11,282,S,SC,25,283 - 282,235.2838906666324,5.01,"=IF(H16>15,0)",329.415253,,10.4508599638938,77.7955940086394,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7955940086394 10.4508599638938, 77.7941959910094 10.452512037009)"
12,281,S,SC,25,282 - 281,245.55168971694744,3.67,"=IF(H17>15,0)",328.604491999999,,10.452512037009,77.7941959910094,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7941959910094 10.452512037009, 77.7929139789193 10.4540510382503)"
13,280,T,SC,25,281 - 280,227.8008009238597,3.92,"=IF(H18>15,0)",329.319396999999,0°22'4''RT,10.4540510382503,77.7929139789193,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7929139789193 10.4540510382503, 77.7916810009628 10.4555120039731)"
14,279,S,SC,25,280 - 279,217.7219311179961,4.15,"=IF(H19>15,0)",329.467315999999,,10.4555120039731,77.7916810009628,GOOD,Available,2LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7916810009628 10.4555120039731, 77.7903369627892 10.4571039788424)"
15,278,S,SC,25,279 - 278,236.6521008055721,3.36,"=IF(H20>15,0)",326.062682999999,,10.4571039788424,77.7903369627892,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7903369627892 10.4571039788424, 77.7889709640294 10.458736019209)"
16,277,S,SC,25,278 - 277,241.59956629335173,4.08,"=IF(H21>15,0)",326.660399999999,,10.458736019209,77.7889709640294,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7889709640294 10.458736019209, 77.7876260038465 10.4603630304336)"
17,276,S,SC,25,277 - 276,239.70390672832733,2.7,"=IF(H22>15,0)",328.470123,,10.4603630304336,77.7876260038465,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7876260038465 10.4603630304336, 77.7862099651247 10.461962968111)"
18,275,T,SC,25,276 - 275,242.44863618174338,5.31,"=IF(H23>15,0)",331.088286999999,48°20'14''LT,10.461962968111,77.7862099651247,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7862099651247 10.461962968111, 77.7865009848028 10.4643939714878)"
19,274,S,SC,25,275 - 274,277.97998400795024,4.09,"=IF(H24>15,0)",333.157653999999,,10.4643939714878,77.7865009848028,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7865009848028 10.4643939714878, 77.7867439761757 10.4668089654296)"
20,273,S,SC,25,274 - 273,275.64790299235193,2.53,"=IF(H25>15,0)",331.114319,,10.4668089654296,77.7867439761757,GOOD,Available,LT- 2 NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7867439761757 10.4668089654296, 77.786964001134 10.4689750168472)"
21,272,T,SC,25,273 - 272,247.97789323424206,2.68,"=IF(H26>15,0)",329.205444,33°16'22''RT,10.4689750168472,77.786964001134,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.786964001134 10.4689750168472, 77.7862989809364 10.4702540114521)"
