S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 58/1,3W,T,SC,26,,,,,345,,10.56053608,77.42046948,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42046947591 10.560536077246, 77.4219833314418 10.5602916609495)"
2,58,,S,DC,26,LILO : 41-41/1,173.9557783,2.18,FALSE,346,0°49'54''LT,10.56029166,77.42198333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4219833314418 10.5602916609495, 77.424172181636 10.5599055904895)"
3,59,,S,DC,26,41/1-41/2,249.4525676,1.29,FALSE,347,0°18'4''RT,10.55990559,77.42417218,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.424172181636 10.5599055904895, 77.4254738073796 10.5596830509603)"
4, LILO : 59/1,3W,T,DC,26,41/2-59/1,150.6375561,3.56,FALSE,344.0349121,92°54'31''LT,10.55968305,77.42547381,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4254738073796 10.5596830509603, 77.4253680277615 10.5592102278023)"
5,59/2,,T,DC,26,59/5 - 59/6,59.59104578,4.23,FALSE,346.6784668,33°59'36''LT,10.55921023,77.42536803,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4253680277615 10.5592102278023, 77.4239662382751 10.5578847974538)"
6,59/3,,T,DC,26,59/6 - 59/7,218.3076047,2.18,FALSE,339.7089844,20°24'51''RT,10.5578848,77.42396624,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4239662382751 10.5578847974538, 77.4238298647105 10.5576075240969)"
7,59/4,,T,H-POLE,15,59/7 - 59/8,40.12475702,1.29,FALSE,340.6702881,18°17'44''RT,10.55760752,77.42382986,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4238298647105 10.5576075240969, 77.4237918946892 10.5573336873203)"
8,59/5,,T,H-POLE,15,59/8 - 59/9,36.58765515,3.56,FALSE,342.5928955,16°28'45''LT,10.55733369,77.42379189,GOOD,NO E/W,220KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4237918946892 10.5573336873203, 77.4236341472715 10.5569855030626)"
9,59/6,,T,DC,26,59/9 - 59/10,48.22588896,4.23,FALSE,343.7945557,0°2'6''LT,10.5569855,77.42363415,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4236341472715 10.5569855030626, 77.4228134751319 10.5551770236343)"
10,59/7,,S,DC,26,59/10 - 59/11,225.3820626,4.05,FALSE,349.0817871,0°56'30''RT,10.55517702,77.42281348,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4228134751319 10.5551770236343, 77.4217184633016 10.5526546575129)"
11,59/8,,T,DC,26,59/11 - 59/12,309.7969548,3.82,FALSE,347.6397705,23°18'41''RT,10.55265466,77.42171846,GOOD,Available,HT - 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217184633016 10.5526546575129, 77.4217119254171 10.5502463690936)"
12,59/9,,S,DC,26,59/12 - 59/13,272.510382,2.95,FALSE,346.197876,1°5'20''RT,10.55024637,77.42171193,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217119254171 10.5502463690936, 77.4217488896101 10.5479768011718)"
13,59/10,,T,DC,26,59/13 - 59/14,257.1907193,5.82,FALSE,338.9880371,10°14'27''LT,10.5479768,77.42174889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4217488896101 10.5479768011718, 77.4213645793497 10.5456318799406)"
14,59/11,,S,DC,26,59/14 - 59/15,268.8870627,2.47,FALSE,337.5460205,1°17'3''LT,10.54563188,77.42136458,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4213645793497 10.5456318799406, 77.4209469091147 10.5433982703834)"
15,59/12,,T,DC,26,59/15 - 59/16,257.3744101,3.92,FALSE,346.9188232,28°23'29''LT,10.54339827,77.42094691,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4209469091147 10.5433982703834, 77.4193825945258 10.541465319693)"
16,59/13,,S,DC,26,59/16 - 59/17,280.0423393,4.89,FALSE,341.151001,1°18'8''LT,10.54146532,77.41938259,GOOD,Available,HT - 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4193825945258 10.541465319693, 77.418220359832 10.5400941241532)"
17,59/14,,S,DC,26,59/17 - 59/18,204.0476045,5.25,FALSE,345.4768066,1°37'33''RT,10.54009412,77.41822036,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.418220359832 10.5400941241532, 77.4168348312377 10.5383621715009)"
18,59/15,,T,DC,26,59/18 - 59/19,250.446957,4.74,FALSE,348.6011963,46°34'37''LT,10.53836217,77.41683483,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4168348312377 10.5383621715009, 77.4135581776499 10.5380890890955)"
19,59/16,,T,DC,26,59/19 - 59/20,266,3.23,FALSE,345.7171631,166°49'46''RT,10.53808909,77.41355818,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4135581776499 10.5380890890955, 77.4151791539043 10.5378495343029)"
